Start usl/plainnet experiments on stl10 at l6 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.4, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.9020, e_total_loss: 2.3870, e_dis_loss: 0.9922, d_total_loss: 0.0553, d_dis_loss: 1.5548, attack_loss: 0.0847, label_acc: 0.0928
[199]: fg_loss: 1.6837, e_total_loss: 2.3929, e_dis_loss: 0.6317, d_total_loss: 0.0612, d_dis_loss: 1.5286, attack_loss: 0.0861, label_acc: 0.0966
[299]: fg_loss: 1.5976, e_total_loss: 2.3950, e_dis_loss: 0.5528, d_total_loss: 0.0622, d_dis_loss: 1.4939, attack_loss: 0.0737, label_acc: 0.1172
[399]: fg_loss: 1.5784, e_total_loss: 2.3352, e_dis_loss: 0.3730, d_total_loss: 0.0504, d_dis_loss: 1.4941, attack_loss: 0.0825, label_acc: 0.1950
[499]: fg_loss: 1.5128, e_total_loss: 2.3535, e_dis_loss: 0.2510, d_total_loss: 0.0486, d_dis_loss: 1.5140, attack_loss: 0.0608, label_acc: 0.2628
[599]: fg_loss: 1.5013, e_total_loss: 2.3003, e_dis_loss: 0.4447, d_total_loss: 0.0476, d_dis_loss: 1.4982, attack_loss: 0.0602, label_acc: 0.2703
[699]: fg_loss: 1.4180, e_total_loss: 2.2766, e_dis_loss: 0.4784, d_total_loss: 0.0456, d_dis_loss: 1.5011, attack_loss: 0.0566, label_acc: 0.3309
[799]: fg_loss: 1.3982, e_total_loss: 2.2902, e_dis_loss: 0.5026, d_total_loss: 0.0481, d_dis_loss: 1.5040, attack_loss: 0.0557, label_acc: 0.3684
[899]: fg_loss: 1.3249, e_total_loss: 2.2874, e_dis_loss: 0.4718, d_total_loss: 0.0489, d_dis_loss: 1.5218, attack_loss: 0.0603, label_acc: 0.3984
[999]: fg_loss: 1.2866, e_total_loss: 2.2648, e_dis_loss: 0.4333, d_total_loss: 0.0491, d_dis_loss: 1.4914, attack_loss: 0.0570, label_acc: 0.4000
[1099]: fg_loss: 1.2155, e_total_loss: 2.2835, e_dis_loss: 0.5268, d_total_loss: 0.0430, d_dis_loss: 1.5076, attack_loss: 0.0593, label_acc: 0.4422
[1199]: fg_loss: 1.2256, e_total_loss: 2.2848, e_dis_loss: 0.3740, d_total_loss: 0.0473, d_dis_loss: 1.4859, attack_loss: 0.0605, label_acc: 0.4259
[1299]: fg_loss: 1.1489, e_total_loss: 2.2135, e_dis_loss: 0.5459, d_total_loss: 0.0509, d_dis_loss: 1.4768, attack_loss: 0.0579, label_acc: 0.4916
[1399]: fg_loss: 1.1582, e_total_loss: 2.2513, e_dis_loss: 0.5080, d_total_loss: 0.0499, d_dis_loss: 1.5001, attack_loss: 0.0572, label_acc: 0.4747
[1499]: fg_loss: 1.0679, e_total_loss: 2.2945, e_dis_loss: 0.6176, d_total_loss: 0.0521, d_dis_loss: 1.4850, attack_loss: 0.0615, label_acc: 0.5125
[1599]: fg_loss: 1.0971, e_total_loss: 2.2637, e_dis_loss: 0.5497, d_total_loss: 0.0487, d_dis_loss: 1.4950, attack_loss: 0.0569, label_acc: 0.4822
[1699]: fg_loss: 1.0409, e_total_loss: 2.2481, e_dis_loss: 0.5289, d_total_loss: 0.0492, d_dis_loss: 1.5065, attack_loss: 0.0569, label_acc: 0.5222
[1799]: fg_loss: 1.0244, e_total_loss: 2.2252, e_dis_loss: 0.5416, d_total_loss: 0.0490, d_dis_loss: 1.4928, attack_loss: 0.0584, label_acc: 0.5447
[1899]: fg_loss: 0.9879, e_total_loss: 2.1967, e_dis_loss: 0.5304, d_total_loss: 0.0442, d_dis_loss: 1.5170, attack_loss: 0.0573, label_acc: 0.5597
[1999]: fg_loss: 0.9857, e_total_loss: 2.1640, e_dis_loss: 0.4978, d_total_loss: 0.0449, d_dis_loss: 1.4896, attack_loss: 0.0578, label_acc: 0.5575
[2099]: fg_loss: 0.9579, e_total_loss: 2.2007, e_dis_loss: 0.5134, d_total_loss: 0.0447, d_dis_loss: 1.5112, attack_loss: 0.0569, label_acc: 0.5684
[2199]: fg_loss: 0.9157, e_total_loss: 2.1956, e_dis_loss: 0.6640, d_total_loss: 0.0453, d_dis_loss: 1.4758, attack_loss: 0.0580, label_acc: 0.5922
[2299]: fg_loss: 0.9075, e_total_loss: 2.1806, e_dis_loss: 0.6282, d_total_loss: 0.0464, d_dis_loss: 1.4981, attack_loss: 0.0542, label_acc: 0.6116
[2399]: fg_loss: 0.8833, e_total_loss: 2.1551, e_dis_loss: 0.4777, d_total_loss: 0.0470, d_dis_loss: 1.4852, attack_loss: 0.0490, label_acc: 0.5772
[2499]: fg_loss: 0.8615, e_total_loss: 2.1673, e_dis_loss: 0.4149, d_total_loss: 0.0467, d_dis_loss: 1.5022, attack_loss: 0.0518, label_acc: 0.6228
[2599]: fg_loss: 0.8400, e_total_loss: 2.1639, e_dis_loss: 0.5433, d_total_loss: 0.0463, d_dis_loss: 1.4913, attack_loss: 0.0519, label_acc: 0.6256
[2699]: fg_loss: 0.8429, e_total_loss: 2.1646, e_dis_loss: 0.5258, d_total_loss: 0.0438, d_dis_loss: 1.5162, attack_loss: 0.0537, label_acc: 0.6097
