Start usl/resnet experiments on stl10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.2, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8667, e_total_loss: 2.3121, e_dis_loss: 0.4749, d_total_loss: 0.0368, d_dis_loss: 1.4391, attack_loss: 0.0957, label_acc: 0.0859
[199]: fg_loss: 1.6232, e_total_loss: 2.2176, e_dis_loss: 0.2862, d_total_loss: 0.0317, d_dis_loss: 1.5023, attack_loss: 0.0831, label_acc: 0.1194
[299]: fg_loss: 1.5166, e_total_loss: 2.1936, e_dis_loss: 0.3625, d_total_loss: 0.0334, d_dis_loss: 1.4648, attack_loss: 0.0773, label_acc: 0.1453
[399]: fg_loss: 1.4446, e_total_loss: 2.2484, e_dis_loss: 0.2847, d_total_loss: 0.0316, d_dis_loss: 1.5116, attack_loss: 0.0973, label_acc: 0.1366
[499]: fg_loss: 1.3815, e_total_loss: 2.2075, e_dis_loss: 0.3080, d_total_loss: 0.0371, d_dis_loss: 1.5183, attack_loss: 0.1046, label_acc: 0.1300
[599]: fg_loss: 1.3214, e_total_loss: 2.2601, e_dis_loss: 0.3937, d_total_loss: 0.0371, d_dis_loss: 1.5363, attack_loss: 0.1047, label_acc: 0.1363
[699]: fg_loss: 1.2477, e_total_loss: 2.1992, e_dis_loss: 0.4359, d_total_loss: 0.0440, d_dis_loss: 1.4766, attack_loss: 0.0788, label_acc: 0.1603
[799]: fg_loss: 1.2199, e_total_loss: 2.1985, e_dis_loss: 0.4611, d_total_loss: 0.0394, d_dis_loss: 1.4798, attack_loss: 0.0643, label_acc: 0.2106
[899]: fg_loss: 1.1561, e_total_loss: 2.1696, e_dis_loss: 0.5448, d_total_loss: 0.0374, d_dis_loss: 1.4706, attack_loss: 0.0589, label_acc: 0.2516
[999]: fg_loss: 1.1447, e_total_loss: 2.1181, e_dis_loss: 0.5938, d_total_loss: 0.0414, d_dis_loss: 1.4487, attack_loss: 0.0609, label_acc: 0.2938
[1099]: fg_loss: 1.1031, e_total_loss: 2.1353, e_dis_loss: 0.4677, d_total_loss: 0.0416, d_dis_loss: 1.4674, attack_loss: 0.0610, label_acc: 0.3306
[1199]: fg_loss: 1.1097, e_total_loss: 2.1048, e_dis_loss: 0.3811, d_total_loss: 0.0390, d_dis_loss: 1.4618, attack_loss: 0.0580, label_acc: 0.3613
[1299]: fg_loss: 1.0322, e_total_loss: 2.1344, e_dis_loss: 0.4569, d_total_loss: 0.0414, d_dis_loss: 1.4673, attack_loss: 0.0626, label_acc: 0.3650
[1399]: fg_loss: 1.0430, e_total_loss: 2.1019, e_dis_loss: 0.4218, d_total_loss: 0.0383, d_dis_loss: 1.4575, attack_loss: 0.0546, label_acc: 0.4012
[1499]: fg_loss: 0.9911, e_total_loss: 2.1102, e_dis_loss: 0.4020, d_total_loss: 0.0390, d_dis_loss: 1.4760, attack_loss: 0.0534, label_acc: 0.4387
[1599]: fg_loss: 0.9923, e_total_loss: 2.0684, e_dis_loss: 0.4146, d_total_loss: 0.0359, d_dis_loss: 1.4497, attack_loss: 0.0497, label_acc: 0.4475
[1699]: fg_loss: 0.9336, e_total_loss: 2.0287, e_dis_loss: 0.4536, d_total_loss: 0.0371, d_dis_loss: 1.4458, attack_loss: 0.0510, label_acc: 0.4769
[1799]: fg_loss: 0.9256, e_total_loss: 2.0108, e_dis_loss: 0.5028, d_total_loss: 0.0363, d_dis_loss: 1.4331, attack_loss: 0.0518, label_acc: 0.5069
[1899]: fg_loss: 0.8873, e_total_loss: 1.9749, e_dis_loss: 0.5202, d_total_loss: 0.0385, d_dis_loss: 1.4425, attack_loss: 0.0528, label_acc: 0.5212
[1999]: fg_loss: 0.8965, e_total_loss: 1.9653, e_dis_loss: 0.5809, d_total_loss: 0.0357, d_dis_loss: 1.4322, attack_loss: 0.0434, label_acc: 0.5253
[2099]: fg_loss: 0.8429, e_total_loss: 1.9886, e_dis_loss: 0.4927, d_total_loss: 0.0316, d_dis_loss: 1.4501, attack_loss: 0.0474, label_acc: 0.5634
[2199]: fg_loss: 0.8153, e_total_loss: 1.9661, e_dis_loss: 0.5478, d_total_loss: 0.0347, d_dis_loss: 1.4326, attack_loss: 0.0467, label_acc: 0.5616
[2299]: fg_loss: 0.8024, e_total_loss: 1.9097, e_dis_loss: 0.4849, d_total_loss: 0.0373, d_dis_loss: 1.4574, attack_loss: 0.0476, label_acc: 0.5881
[2399]: fg_loss: 0.7714, e_total_loss: 1.9076, e_dis_loss: 0.5638, d_total_loss: 0.0363, d_dis_loss: 1.4305, attack_loss: 0.0458, label_acc: 0.6112
[2499]: fg_loss: 0.7423, e_total_loss: 1.9130, e_dis_loss: 0.5078, d_total_loss: 0.0333, d_dis_loss: 1.4679, attack_loss: 0.0424, label_acc: 0.6188
[2599]: fg_loss: 0.7208, e_total_loss: 1.9196, e_dis_loss: 0.6442, d_total_loss: 0.0323, d_dis_loss: 1.4725, attack_loss: 0.0449, label_acc: 0.6112
[2699]: fg_loss: 0.7188, e_total_loss: 1.9505, e_dis_loss: 0.5459, d_total_loss: 0.0316, d_dis_loss: 1.4781, attack_loss: 0.0469, label_acc: 0.6319
[2799]: fg_loss: 0.6655, e_total_loss: 1.8913, e_dis_loss: 0.4876, d_total_loss: 0.0351, d_dis_loss: 1.4552, attack_loss: 0.0442, label_acc: 0.6528
[2899]: fg_loss: 0.6622, e_total_loss: 1.9181, e_dis_loss: 0.6227, d_total_loss: 0.0333, d_dis_loss: 1.4644, attack_loss: 0.0417, label_acc: 0.6359
[2999]: fg_loss: 0.6175, e_total_loss: 1.8735, e_dis_loss: 0.4959, d_total_loss: 0.0319, d_dis_loss: 1.4619, attack_loss: 0.0422, label_acc: 0.6566
[3099]: fg_loss: 0.5671, e_total_loss: 1.8384, e_dis_loss: 0.4719, d_total_loss: 0.0303, d_dis_loss: 1.4873, attack_loss: 0.0409, label_acc: 0.6941
[3199]: fg_loss: 0.5678, e_total_loss: 1.8687, e_dis_loss: 0.4733, d_total_loss: 0.0324, d_dis_loss: 1.4555, attack_loss: 0.0408, label_acc: 0.6900
[3299]: fg_loss: 0.5129, e_total_loss: 1.8366, e_dis_loss: 0.4792, d_total_loss: 0.0295, d_dis_loss: 1.5013, attack_loss: 0.0422, label_acc: 0.7122
[3399]: fg_loss: 0.5283, e_total_loss: 1.8157, e_dis_loss: 0.4172, d_total_loss: 0.0285, d_dis_loss: 1.4891, attack_loss: 0.0432, label_acc: 0.7163
[3499]: fg_loss: 0.4420, e_total_loss: 1.8012, e_dis_loss: 0.5052, d_total_loss: 0.0298, d_dis_loss: 1.4806, attack_loss: 0.0425, label_acc: 0.7366
[3599]: fg_loss: 0.4445, e_total_loss: 1.7994, e_dis_loss: 0.5628, d_total_loss: 0.0297, d_dis_loss: 1.4475, attack_loss: 0.0410, label_acc: 0.7438
[3699]: fg_loss: 0.4131, e_total_loss: 1.8111, e_dis_loss: 0.4522, d_total_loss: 0.0301, d_dis_loss: 1.4884, attack_loss: 0.0396, label_acc: 0.7375
[3799]: fg_loss: 0.3692, e_total_loss: 1.7849, e_dis_loss: 0.4924, d_total_loss: 0.0308, d_dis_loss: 1.4765, attack_loss: 0.0428, label_acc: 0.7344
[3899]: fg_loss: 0.3319, e_total_loss: 1.7967, e_dis_loss: 0.4319, d_total_loss: 0.0311, d_dis_loss: 1.4735, attack_loss: 0.0411, label_acc: 0.7612
[3999]: fg_loss: 0.3430, e_total_loss: 1.7856, e_dis_loss: 0.3929, d_total_loss: 0.0299, d_dis_loss: 1.4703, attack_loss: 0.0416, label_acc: 0.7831
[4099]: fg_loss: 0.3012, e_total_loss: 1.7919, e_dis_loss: 0.3317, d_total_loss: 0.0316, d_dis_loss: 1.4832, attack_loss: 0.0409, label_acc: 0.7997
[4199]: fg_loss: 0.2681, e_total_loss: 1.8167, e_dis_loss: 0.3473, d_total_loss: 0.0336, d_dis_loss: 1.4485, attack_loss: 0.0412, label_acc: 0.8069
[4299]: fg_loss: 0.2687, e_total_loss: 1.7813, e_dis_loss: 0.4095, d_total_loss: 0.0291, d_dis_loss: 1.4537, attack_loss: 0.0423, label_acc: 0.8050
[4399]: fg_loss: 0.2424, e_total_loss: 1.8001, e_dis_loss: 0.4221, d_total_loss: 0.0300, d_dis_loss: 1.4553, attack_loss: 0.0400, label_acc: 0.8172
[4499]: fg_loss: 0.2425, e_total_loss: 1.7992, e_dis_loss: 0.3790, d_total_loss: 0.0300, d_dis_loss: 1.4591, attack_loss: 0.0429, label_acc: 0.8078
[4599]: fg_loss: 0.2028, e_total_loss: 1.7935, e_dis_loss: 0.3798, d_total_loss: 0.0302, d_dis_loss: 1.4712, attack_loss: 0.0415, label_acc: 0.8044
[4699]: fg_loss: 0.1741, e_total_loss: 1.7850, e_dis_loss: 0.3523, d_total_loss: 0.0301, d_dis_loss: 1.4529, attack_loss: 0.0410, label_acc: 0.8434
[4799]: fg_loss: 0.1767, e_total_loss: 1.8154, e_dis_loss: 0.3431, d_total_loss: 0.0292, d_dis_loss: 1.4612, attack_loss: 0.0392, label_acc: 0.8597
[4899]: fg_loss: 0.1405, e_total_loss: 1.8067, e_dis_loss: 0.3162, d_total_loss: 0.0275, d_dis_loss: 1.4660, attack_loss: 0.0407, label_acc: 0.8800
[4999]: fg_loss: 0.1489, e_total_loss: 1.7875, e_dis_loss: 0.3628, d_total_loss: 0.0291, d_dis_loss: 1.4582, attack_loss: 0.0418, label_acc: 0.8488
[5099]: fg_loss: 0.1337, e_total_loss: 1.8160, e_dis_loss: 0.3912, d_total_loss: 0.0299, d_dis_loss: 1.4474, attack_loss: 0.0416, label_acc: 0.8116
[5199]: fg_loss: 0.1255, e_total_loss: 1.8047, e_dis_loss: 0.3707, d_total_loss: 0.0309, d_dis_loss: 1.4643, attack_loss: 0.0379, label_acc: 0.8634
[5299]: fg_loss: 0.0976, e_total_loss: 1.7682, e_dis_loss: 0.2743, d_total_loss: 0.0321, d_dis_loss: 1.4669, attack_loss: 0.0423, label_acc: 0.8684
[5399]: fg_loss: 0.0848, e_total_loss: 1.8349, e_dis_loss: 0.2627, d_total_loss: 0.0316, d_dis_loss: 1.4524, attack_loss: 0.0440, label_acc: 0.9122
[5499]: fg_loss: 0.0882, e_total_loss: 1.7621, e_dis_loss: 0.3441, d_total_loss: 0.0294, d_dis_loss: 1.4764, attack_loss: 0.0411, label_acc: 0.8866
[5599]: fg_loss: 0.0967, e_total_loss: 1.7793, e_dis_loss: 0.3014, d_total_loss: 0.0309, d_dis_loss: 1.4628, attack_loss: 0.0393, label_acc: 0.9097
[5699]: fg_loss: 0.1046, e_total_loss: 1.8027, e_dis_loss: 0.3976, d_total_loss: 0.0297, d_dis_loss: 1.4446, attack_loss: 0.0404, label_acc: 0.8803
[5799]: fg_loss: 0.1241, e_total_loss: 1.8028, e_dis_loss: 0.3132, d_total_loss: 0.0302, d_dis_loss: 1.4316, attack_loss: 0.0376, label_acc: 0.8788
[5899]: fg_loss: 0.1093, e_total_loss: 1.7744, e_dis_loss: 0.2974, d_total_loss: 0.0307, d_dis_loss: 1.4890, attack_loss: 0.0407, label_acc: 0.8803
[5999]: fg_loss: 0.0895, e_total_loss: 1.8151, e_dis_loss: 0.2399, d_total_loss: 0.0297, d_dis_loss: 1.4366, attack_loss: 0.0405, label_acc: 0.9044
[6099]: fg_loss: 0.1315, e_total_loss: 1.7934, e_dis_loss: 0.2720, d_total_loss: 0.0322, d_dis_loss: 1.4254, attack_loss: 0.0401, label_acc: 0.8534
[6199]: fg_loss: 0.1071, e_total_loss: 1.8076, e_dis_loss: 0.3405, d_total_loss: 0.0298, d_dis_loss: 1.4423, attack_loss: 0.0400, label_acc: 0.8688
[6299]: fg_loss: 0.0761, e_total_loss: 1.8096, e_dis_loss: 0.3246, d_total_loss: 0.0291, d_dis_loss: 1.4676, attack_loss: 0.0393, label_acc: 0.9275
[6399]: fg_loss: 0.0798, e_total_loss: 1.7368, e_dis_loss: 0.2996, d_total_loss: 0.0288, d_dis_loss: 1.4428, attack_loss: 0.0390, label_acc: 0.8947
[6499]: fg_loss: 0.0710, e_total_loss: 1.7976, e_dis_loss: 0.3703, d_total_loss: 0.0289, d_dis_loss: 1.4548, attack_loss: 0.0378, label_acc: 0.9172
