Start usl/resnet experiments on stl10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.2, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8162, e_total_loss: 2.2545, e_dis_loss: 0.4395, d_total_loss: 0.0348, d_dis_loss: 1.5592, attack_loss: 0.0914, label_acc: 0.1203
[199]: fg_loss: 1.5907, e_total_loss: 2.2329, e_dis_loss: 0.3067, d_total_loss: 0.0313, d_dis_loss: 1.5651, attack_loss: 0.0891, label_acc: 0.1875
[299]: fg_loss: 1.4757, e_total_loss: 2.2732, e_dis_loss: 0.2741, d_total_loss: 0.0377, d_dis_loss: 1.6576, attack_loss: 0.0638, label_acc: 0.2031
[399]: fg_loss: 1.4037, e_total_loss: 2.2669, e_dis_loss: 0.3656, d_total_loss: 0.0404, d_dis_loss: 1.7190, attack_loss: 0.0642, label_acc: 0.2228
[499]: fg_loss: 1.3102, e_total_loss: 2.2009, e_dis_loss: 0.3200, d_total_loss: 0.0390, d_dis_loss: 1.6519, attack_loss: 0.0605, label_acc: 0.2491
[599]: fg_loss: 1.2747, e_total_loss: 2.1540, e_dis_loss: 0.3539, d_total_loss: 0.0363, d_dis_loss: 1.6822, attack_loss: 0.0542, label_acc: 0.2603
[699]: fg_loss: 1.2000, e_total_loss: 2.1964, e_dis_loss: 0.3335, d_total_loss: 0.0353, d_dis_loss: 1.6524, attack_loss: 0.0563, label_acc: 0.2897
[799]: fg_loss: 1.1605, e_total_loss: 2.1733, e_dis_loss: 0.3158, d_total_loss: 0.0318, d_dis_loss: 1.6349, attack_loss: 0.0763, label_acc: 0.3312
[899]: fg_loss: 1.1093, e_total_loss: 2.1732, e_dis_loss: 0.3255, d_total_loss: 0.0437, d_dis_loss: 1.6937, attack_loss: 0.0516, label_acc: 0.3412
[999]: fg_loss: 1.0892, e_total_loss: 2.1150, e_dis_loss: 0.3471, d_total_loss: 0.0416, d_dis_loss: 1.6647, attack_loss: 0.0550, label_acc: 0.3491
[1099]: fg_loss: 1.0442, e_total_loss: 2.1301, e_dis_loss: 0.3541, d_total_loss: 0.0388, d_dis_loss: 1.6682, attack_loss: 0.0491, label_acc: 0.3569
[1199]: fg_loss: 1.0486, e_total_loss: 2.1604, e_dis_loss: 0.4636, d_total_loss: 0.0385, d_dis_loss: 1.6603, attack_loss: 0.0487, label_acc: 0.3778
[1299]: fg_loss: 1.0088, e_total_loss: 2.1172, e_dis_loss: 0.5140, d_total_loss: 0.0409, d_dis_loss: 1.6733, attack_loss: 0.0500, label_acc: 0.3906
