Start usl/plainnet experiments on stl10 at l5 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.4, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[3299]: fg_loss: 0.6878, e_total_loss: 2.1486, e_dis_loss: 0.3845, d_total_loss: 0.0365, d_dis_loss: 1.4212, attack_loss: 0.0511, label_acc: 0.6700
[3399]: fg_loss: 0.7029, e_total_loss: 2.1765, e_dis_loss: 0.3171, d_total_loss: 0.0325, d_dis_loss: 1.4653, attack_loss: 0.0481, label_acc: 0.6675
[3499]: fg_loss: 0.6594, e_total_loss: 2.1476, e_dis_loss: 0.3942, d_total_loss: 0.0370, d_dis_loss: 1.4546, attack_loss: 0.0457, label_acc: 0.6737
[3599]: fg_loss: 0.6304, e_total_loss: 2.1928, e_dis_loss: 0.3928, d_total_loss: 0.0386, d_dis_loss: 1.4718, attack_loss: 0.0504, label_acc: 0.7000
[3699]: fg_loss: 0.6220, e_total_loss: 2.1400, e_dis_loss: 0.3892, d_total_loss: 0.0368, d_dis_loss: 1.4263, attack_loss: 0.0489, label_acc: 0.6953
[3799]: fg_loss: 0.5726, e_total_loss: 2.1941, e_dis_loss: 0.3881, d_total_loss: 0.0395, d_dis_loss: 1.4611, attack_loss: 0.0471, label_acc: 0.7103
[3899]: fg_loss: 0.5801, e_total_loss: 2.2108, e_dis_loss: 0.4683, d_total_loss: 0.0349, d_dis_loss: 1.4337, attack_loss: 0.0489, label_acc: 0.6984
[3999]: fg_loss: 0.5443, e_total_loss: 2.1378, e_dis_loss: 0.3195, d_total_loss: 0.0349, d_dis_loss: 1.4515, attack_loss: 0.0456, label_acc: 0.7134
[4099]: fg_loss: 0.5191, e_total_loss: 2.1164, e_dis_loss: 0.3343, d_total_loss: 0.0368, d_dis_loss: 1.4590, attack_loss: 0.0473, label_acc: 0.7141
[4199]: fg_loss: 0.5138, e_total_loss: 2.1565, e_dis_loss: 0.3120, d_total_loss: 0.0375, d_dis_loss: 1.4658, attack_loss: 0.0449, label_acc: 0.7094
[4299]: fg_loss: 0.5058, e_total_loss: 2.1358, e_dis_loss: 0.3656, d_total_loss: 0.0376, d_dis_loss: 1.4426, attack_loss: 0.0465, label_acc: 0.7353
[4399]: fg_loss: 0.4477, e_total_loss: 2.1673, e_dis_loss: 0.2926, d_total_loss: 0.0382, d_dis_loss: 1.4672, attack_loss: 0.0446, label_acc: 0.7341
[4499]: fg_loss: 0.4538, e_total_loss: 2.1841, e_dis_loss: 0.2633, d_total_loss: 0.0396, d_dis_loss: 1.4567, attack_loss: 0.0454, label_acc: 0.7253
[4599]: fg_loss: 0.4339, e_total_loss: 2.1376, e_dis_loss: 0.3076, d_total_loss: 0.0374, d_dis_loss: 1.4814, attack_loss: 0.0433, label_acc: 0.7559
[4699]: fg_loss: 0.4197, e_total_loss: 2.1992, e_dis_loss: 0.3804, d_total_loss: 0.0370, d_dis_loss: 1.4426, attack_loss: 0.0436, label_acc: 0.7406
[4799]: fg_loss: 0.3930, e_total_loss: 2.1764, e_dis_loss: 0.2249, d_total_loss: 0.0368, d_dis_loss: 1.4390, attack_loss: 0.0435, label_acc: 0.7137
[4899]: fg_loss: 0.3704, e_total_loss: 2.1342, e_dis_loss: 0.2783, d_total_loss: 0.0391, d_dis_loss: 1.4590, attack_loss: 0.0461, label_acc: 0.7494
[4999]: fg_loss: 0.3376, e_total_loss: 2.1798, e_dis_loss: 0.2813, d_total_loss: 0.0387, d_dis_loss: 1.4495, attack_loss: 0.0453, label_acc: 0.7922
[5099]: fg_loss: 0.3058, e_total_loss: 2.1667, e_dis_loss: 0.2918, d_total_loss: 0.0376, d_dis_loss: 1.4590, attack_loss: 0.0444, label_acc: 0.7469
[5199]: fg_loss: 0.2831, e_total_loss: 2.1698, e_dis_loss: 0.2622, d_total_loss: 0.0354, d_dis_loss: 1.4647, attack_loss: 0.0419, label_acc: 0.7841
[5299]: fg_loss: 0.2906, e_total_loss: 2.1612, e_dis_loss: 0.2671, d_total_loss: 0.0399, d_dis_loss: 1.4619, attack_loss: 0.0455, label_acc: 0.7600
[5399]: fg_loss: 0.2901, e_total_loss: 2.1928, e_dis_loss: 0.2754, d_total_loss: 0.0367, d_dis_loss: 1.4647, attack_loss: 0.0435, label_acc: 0.7834
[5499]: fg_loss: 0.2560, e_total_loss: 2.1522, e_dis_loss: 0.2698, d_total_loss: 0.0346, d_dis_loss: 1.4542, attack_loss: 0.0445, label_acc: 0.7872
[5599]: fg_loss: 0.2479, e_total_loss: 2.1734, e_dis_loss: 0.2091, d_total_loss: 0.0343, d_dis_loss: 1.4334, attack_loss: 0.0445, label_acc: 0.8144
[5699]: fg_loss: 0.2687, e_total_loss: 2.1524, e_dis_loss: 0.1769, d_total_loss: 0.0347, d_dis_loss: 1.4637, attack_loss: 0.0453, label_acc: 0.7591
[5799]: fg_loss: 0.2241, e_total_loss: 2.1976, e_dis_loss: 0.2261, d_total_loss: 0.0341, d_dis_loss: 1.4576, attack_loss: 0.0438, label_acc: 0.7831
[5899]: fg_loss: 0.2596, e_total_loss: 2.1244, e_dis_loss: 0.2728, d_total_loss: 0.0362, d_dis_loss: 1.4794, attack_loss: 0.0442, label_acc: 0.8094
[5999]: fg_loss: 0.2491, e_total_loss: 2.1522, e_dis_loss: 0.2417, d_total_loss: 0.0362, d_dis_loss: 1.4479, attack_loss: 0.0416, label_acc: 0.8006
