Start usl/resnet experiments on stl10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.2, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[3299]: fg_loss: 0.5456, e_total_loss: 1.8603, e_dis_loss: 0.5148, d_total_loss: 0.0361, d_dis_loss: 1.4885, attack_loss: 0.0526, label_acc: 0.6641
[3399]: fg_loss: 0.5783, e_total_loss: 1.8171, e_dis_loss: 0.5257, d_total_loss: 0.0398, d_dis_loss: 1.5010, attack_loss: 0.0476, label_acc: 0.7016
[3499]: fg_loss: 0.5204, e_total_loss: 1.8598, e_dis_loss: 0.5369, d_total_loss: 0.0371, d_dis_loss: 1.4887, attack_loss: 0.0478, label_acc: 0.7081
[3599]: fg_loss: 0.4981, e_total_loss: 1.7939, e_dis_loss: 0.4470, d_total_loss: 0.0363, d_dis_loss: 1.4966, attack_loss: 0.0441, label_acc: 0.7353
[3699]: fg_loss: 0.4801, e_total_loss: 1.7672, e_dis_loss: 0.4290, d_total_loss: 0.0371, d_dis_loss: 1.4991, attack_loss: 0.0460, label_acc: 0.7269
[3799]: fg_loss: 0.4400, e_total_loss: 1.7646, e_dis_loss: 0.4772, d_total_loss: 0.0364, d_dis_loss: 1.4828, attack_loss: 0.0455, label_acc: 0.7406
[3899]: fg_loss: 0.4430, e_total_loss: 1.7851, e_dis_loss: 0.4525, d_total_loss: 0.0354, d_dis_loss: 1.4924, attack_loss: 0.0487, label_acc: 0.7547
[3999]: fg_loss: 0.4329, e_total_loss: 1.7917, e_dis_loss: 0.4772, d_total_loss: 0.0341, d_dis_loss: 1.4919, attack_loss: 0.0463, label_acc: 0.7622
[4099]: fg_loss: 0.3961, e_total_loss: 1.7576, e_dis_loss: 0.4911, d_total_loss: 0.0333, d_dis_loss: 1.5104, attack_loss: 0.0457, label_acc: 0.7628
[4199]: fg_loss: 0.3729, e_total_loss: 1.8021, e_dis_loss: 0.4470, d_total_loss: 0.0359, d_dis_loss: 1.4868, attack_loss: 0.0501, label_acc: 0.7887
[4299]: fg_loss: 0.3748, e_total_loss: 1.8217, e_dis_loss: 0.4622, d_total_loss: 0.0384, d_dis_loss: 1.4995, attack_loss: 0.0489, label_acc: 0.7759
[4399]: fg_loss: 0.3327, e_total_loss: 1.8243, e_dis_loss: 0.4187, d_total_loss: 0.0358, d_dis_loss: 1.4800, attack_loss: 0.0474, label_acc: 0.7972
[4499]: fg_loss: 0.3156, e_total_loss: 1.7991, e_dis_loss: 0.5766, d_total_loss: 0.0344, d_dis_loss: 1.4814, attack_loss: 0.0479, label_acc: 0.8031
[4599]: fg_loss: 0.3029, e_total_loss: 1.8159, e_dis_loss: 0.4753, d_total_loss: 0.0353, d_dis_loss: 1.4879, attack_loss: 0.0481, label_acc: 0.8175
[4699]: fg_loss: 0.2863, e_total_loss: 1.7862, e_dis_loss: 0.5565, d_total_loss: 0.0391, d_dis_loss: 1.5029, attack_loss: 0.0484, label_acc: 0.7900
[4799]: fg_loss: 0.2612, e_total_loss: 1.7582, e_dis_loss: 0.4143, d_total_loss: 0.0352, d_dis_loss: 1.4756, attack_loss: 0.0459, label_acc: 0.7647
[4899]: fg_loss: 0.2470, e_total_loss: 1.7706, e_dis_loss: 0.3795, d_total_loss: 0.0346, d_dis_loss: 1.4795, attack_loss: 0.0476, label_acc: 0.8225
