Start vsl/plainnet experiments on tinyimagenet at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 5.2438, e_total_loss: 5.2624, e_dis_loss: 1.9673, d_total_loss: 0.0725, d_dis_loss: 1.4580, attack_loss: 0.0789
[199]: fg_loss: 5.0808, e_total_loss: 5.0956, e_dis_loss: 1.5282, d_total_loss: 0.0667, d_dis_loss: 1.4791, attack_loss: 0.0738
[299]: fg_loss: 4.9140, e_total_loss: 4.9339, e_dis_loss: 1.3567, d_total_loss: 0.0673, d_dis_loss: 1.4710, attack_loss: 0.0713
[399]: fg_loss: 4.7660, e_total_loss: 4.7827, e_dis_loss: 1.1532, d_total_loss: 0.0671, d_dis_loss: 1.4704, attack_loss: 0.0703
[499]: fg_loss: 4.6256, e_total_loss: 4.6391, e_dis_loss: 1.0254, d_total_loss: 0.0656, d_dis_loss: 1.4806, attack_loss: 0.0689
[599]: fg_loss: 4.5027, e_total_loss: 4.5339, e_dis_loss: 0.9983, d_total_loss: 0.0660, d_dis_loss: 1.4758, attack_loss: 0.0679
[699]: fg_loss: 4.4002, e_total_loss: 4.4364, e_dis_loss: 0.9351, d_total_loss: 0.0649, d_dis_loss: 1.4746, attack_loss: 0.0684
[799]: fg_loss: 4.3468, e_total_loss: 4.3651, e_dis_loss: 0.8797, d_total_loss: 0.0652, d_dis_loss: 1.4670, attack_loss: 0.0676
[899]: fg_loss: 4.2704, e_total_loss: 4.2755, e_dis_loss: 0.7487, d_total_loss: 0.0641, d_dis_loss: 1.4510, attack_loss: 0.0666
[999]: fg_loss: 4.2204, e_total_loss: 4.2405, e_dis_loss: 0.7610, d_total_loss: 0.0637, d_dis_loss: 1.4622, attack_loss: 0.0646
[1099]: fg_loss: 4.1622, e_total_loss: 4.1801, e_dis_loss: 0.6729, d_total_loss: 0.0609, d_dis_loss: 1.4804, attack_loss: 0.0650
[1199]: fg_loss: 4.1396, e_total_loss: 4.1498, e_dis_loss: 0.7328, d_total_loss: 0.0606, d_dis_loss: 1.5124, attack_loss: 0.0648
[1299]: fg_loss: 4.0929, e_total_loss: 4.0811, e_dis_loss: 0.6962, d_total_loss: 0.0591, d_dis_loss: 1.4904, attack_loss: 0.0628
[1399]: fg_loss: 4.0417, e_total_loss: 4.0571, e_dis_loss: 0.7282, d_total_loss: 0.0598, d_dis_loss: 1.4953, attack_loss: 0.0632
[1499]: fg_loss: 4.0073, e_total_loss: 3.9874, e_dis_loss: 0.6676, d_total_loss: 0.0584, d_dis_loss: 1.5047, attack_loss: 0.0638
[1599]: fg_loss: 3.9647, e_total_loss: 3.9239, e_dis_loss: 0.7470, d_total_loss: 0.0578, d_dis_loss: 1.5238, attack_loss: 0.0642
[1699]: fg_loss: 3.9453, e_total_loss: 3.9058, e_dis_loss: 0.6857, d_total_loss: 0.0584, d_dis_loss: 1.4561, attack_loss: 0.0634
[1799]: fg_loss: 3.8977, e_total_loss: 3.8461, e_dis_loss: 0.6843, d_total_loss: 0.0569, d_dis_loss: 1.4760, attack_loss: 0.0613
[1899]: fg_loss: 3.8627, e_total_loss: 3.8022, e_dis_loss: 0.6173, d_total_loss: 0.0576, d_dis_loss: 1.4775, attack_loss: 0.0618
[1999]: fg_loss: 3.8136, e_total_loss: 3.7487, e_dis_loss: 0.6637, d_total_loss: 0.0579, d_dis_loss: 1.4616, attack_loss: 0.0605
[2099]: fg_loss: 3.8236, e_total_loss: 3.6962, e_dis_loss: 0.6373, d_total_loss: 0.0567, d_dis_loss: 1.4547, attack_loss: 0.0622
[2199]: fg_loss: 3.7776, e_total_loss: 3.6463, e_dis_loss: 0.7413, d_total_loss: 0.0564, d_dis_loss: 1.4733, attack_loss: 0.0599
[2299]: fg_loss: 3.7404, e_total_loss: 3.5984, e_dis_loss: 0.7120, d_total_loss: 0.0560, d_dis_loss: 1.4515, attack_loss: 0.0597
[2399]: fg_loss: 3.7018, e_total_loss: 3.5487, e_dis_loss: 0.6873, d_total_loss: 0.0561, d_dis_loss: 1.4818, attack_loss: 0.0584
[2499]: fg_loss: 3.6918, e_total_loss: 3.4997, e_dis_loss: 0.6393, d_total_loss: 0.0559, d_dis_loss: 1.4643, attack_loss: 0.0594
[2599]: fg_loss: 3.6565, e_total_loss: 3.4493, e_dis_loss: 0.6212, d_total_loss: 0.0560, d_dis_loss: 1.4854, attack_loss: 0.0583
[2699]: fg_loss: 3.6120, e_total_loss: 3.3905, e_dis_loss: 0.6224, d_total_loss: 0.0555, d_dis_loss: 1.4908, attack_loss: 0.0583
[2799]: fg_loss: 3.6002, e_total_loss: 3.3506, e_dis_loss: 0.5715, d_total_loss: 0.0553, d_dis_loss: 1.4856, attack_loss: 0.0586
[2899]: fg_loss: 3.5745, e_total_loss: 3.3104, e_dis_loss: 0.6239, d_total_loss: 0.0548, d_dis_loss: 1.4912, attack_loss: 0.0588
[2999]: fg_loss: 3.5584, e_total_loss: 3.2590, e_dis_loss: 0.5803, d_total_loss: 0.0551, d_dis_loss: 1.4962, attack_loss: 0.0570
[3099]: fg_loss: 3.5160, e_total_loss: 3.2303, e_dis_loss: 0.5411, d_total_loss: 0.0545, d_dis_loss: 1.4888, attack_loss: 0.0568
[3199]: fg_loss: 3.5073, e_total_loss: 3.1815, e_dis_loss: 0.5797, d_total_loss: 0.0546, d_dis_loss: 1.4831, attack_loss: 0.0569
[3299]: fg_loss: 3.4532, e_total_loss: 3.1376, e_dis_loss: 0.5574, d_total_loss: 0.0542, d_dis_loss: 1.4926, attack_loss: 0.0568
[3399]: fg_loss: 3.4737, e_total_loss: 3.0854, e_dis_loss: 0.5527, d_total_loss: 0.0541, d_dis_loss: 1.4690, attack_loss: 0.0571
[3499]: fg_loss: 3.4153, e_total_loss: 3.0604, e_dis_loss: 0.5584, d_total_loss: 0.0544, d_dis_loss: 1.4788, attack_loss: 0.0560
[3599]: fg_loss: 3.3841, e_total_loss: 3.0062, e_dis_loss: 0.4716, d_total_loss: 0.0532, d_dis_loss: 1.4894, attack_loss: 0.0566
[3699]: fg_loss: 3.3803, e_total_loss: 2.9783, e_dis_loss: 0.4547, d_total_loss: 0.0535, d_dis_loss: 1.4823, attack_loss: 0.0564
[3799]: fg_loss: 3.3729, e_total_loss: 2.9246, e_dis_loss: 0.4791, d_total_loss: 0.0535, d_dis_loss: 1.4850, attack_loss: 0.0563
[3899]: fg_loss: 3.3379, e_total_loss: 2.9054, e_dis_loss: 0.4086, d_total_loss: 0.0534, d_dis_loss: 1.4866, attack_loss: 0.0562
[3999]: fg_loss: 3.3130, e_total_loss: 2.8546, e_dis_loss: 0.4108, d_total_loss: 0.0528, d_dis_loss: 1.4840, attack_loss: 0.0554
[4099]: fg_loss: 3.3033, e_total_loss: 2.8326, e_dis_loss: 0.4127, d_total_loss: 0.0529, d_dis_loss: 1.5008, attack_loss: 0.0551
[4199]: fg_loss: 3.2642, e_total_loss: 2.8052, e_dis_loss: 0.3969, d_total_loss: 0.0527, d_dis_loss: 1.4901, attack_loss: 0.0545
