Start vsl/resnet experiments on tinyimagenet at l5 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 5.2483, e_total_loss: 5.2834, e_dis_loss: 1.1223, d_total_loss: 0.0502, d_dis_loss: 1.4699, attack_loss: 0.0733
[199]: fg_loss: 4.9957, e_total_loss: 5.0747, e_dis_loss: 0.7786, d_total_loss: 0.0521, d_dis_loss: 1.4887, attack_loss: 0.0522
[299]: fg_loss: 4.7649, e_total_loss: 4.9178, e_dis_loss: 0.5981, d_total_loss: 0.0484, d_dis_loss: 1.4836, attack_loss: 0.0475
[399]: fg_loss: 4.6075, e_total_loss: 4.7645, e_dis_loss: 0.5959, d_total_loss: 0.0486, d_dis_loss: 1.4695, attack_loss: 0.0434
[499]: fg_loss: 4.4411, e_total_loss: 4.6579, e_dis_loss: 0.5070, d_total_loss: 0.0522, d_dis_loss: 1.4697, attack_loss: 0.0455
[599]: fg_loss: 4.3222, e_total_loss: 4.5575, e_dis_loss: 0.4859, d_total_loss: 0.0513, d_dis_loss: 1.4759, attack_loss: 0.0464
[699]: fg_loss: 4.2156, e_total_loss: 4.4699, e_dis_loss: 0.5400, d_total_loss: 0.0488, d_dis_loss: 1.4726, attack_loss: 0.0459
[799]: fg_loss: 4.1647, e_total_loss: 4.3750, e_dis_loss: 0.4461, d_total_loss: 0.0468, d_dis_loss: 1.4822, attack_loss: 0.0443
[899]: fg_loss: 4.0755, e_total_loss: 4.3195, e_dis_loss: 0.3947, d_total_loss: 0.0471, d_dis_loss: 1.4684, attack_loss: 0.0439
[999]: fg_loss: 4.0170, e_total_loss: 4.2559, e_dis_loss: 0.3927, d_total_loss: 0.0463, d_dis_loss: 1.4518, attack_loss: 0.0463
[1099]: fg_loss: 3.9582, e_total_loss: 4.2210, e_dis_loss: 0.4517, d_total_loss: 0.0462, d_dis_loss: 1.4746, attack_loss: 0.0430
[1199]: fg_loss: 3.9237, e_total_loss: 4.1989, e_dis_loss: 0.3340, d_total_loss: 0.0455, d_dis_loss: 1.4733, attack_loss: 0.0432
[1299]: fg_loss: 3.8512, e_total_loss: 4.1167, e_dis_loss: 0.3417, d_total_loss: 0.0452, d_dis_loss: 1.4600, attack_loss: 0.0424
[1399]: fg_loss: 3.8169, e_total_loss: 4.0688, e_dis_loss: 0.3905, d_total_loss: 0.0426, d_dis_loss: 1.4574, attack_loss: 0.0422
[1499]: fg_loss: 3.7627, e_total_loss: 4.0461, e_dis_loss: 0.3268, d_total_loss: 0.0437, d_dis_loss: 1.4526, attack_loss: 0.0418
[1599]: fg_loss: 3.7218, e_total_loss: 4.0058, e_dis_loss: 0.3229, d_total_loss: 0.0428, d_dis_loss: 1.4532, attack_loss: 0.0407
[1699]: fg_loss: 3.7047, e_total_loss: 3.9762, e_dis_loss: 0.2935, d_total_loss: 0.0421, d_dis_loss: 1.4492, attack_loss: 0.0416
[1799]: fg_loss: 3.6358, e_total_loss: 3.9309, e_dis_loss: 0.2956, d_total_loss: 0.0429, d_dis_loss: 1.4424, attack_loss: 0.0397
[1899]: fg_loss: 3.6069, e_total_loss: 3.9138, e_dis_loss: 0.2619, d_total_loss: 0.0420, d_dis_loss: 1.4392, attack_loss: 0.0389
[1999]: fg_loss: 3.5590, e_total_loss: 3.9189, e_dis_loss: 0.2415, d_total_loss: 0.0404, d_dis_loss: 1.4479, attack_loss: 0.0397
[2099]: fg_loss: 3.5550, e_total_loss: 3.8605, e_dis_loss: 0.3285, d_total_loss: 0.0401, d_dis_loss: 1.4350, attack_loss: 0.0373
[2199]: fg_loss: 3.4921, e_total_loss: 3.8437, e_dis_loss: 0.2388, d_total_loss: 0.0368, d_dis_loss: 1.4479, attack_loss: 0.0356
[2299]: fg_loss: 3.4694, e_total_loss: 3.8165, e_dis_loss: 0.1826, d_total_loss: 0.0374, d_dis_loss: 1.4776, attack_loss: 0.0369
[2399]: fg_loss: 3.4235, e_total_loss: 3.7696, e_dis_loss: 0.2281, d_total_loss: 0.0351, d_dis_loss: 1.4518, attack_loss: 0.0354
[2499]: fg_loss: 3.4149, e_total_loss: 3.7435, e_dis_loss: 0.1563, d_total_loss: 0.0343, d_dis_loss: 1.4396, attack_loss: 0.0347
[2599]: fg_loss: 3.3819, e_total_loss: 3.7333, e_dis_loss: 0.2024, d_total_loss: 0.0337, d_dis_loss: 1.4185, attack_loss: 0.0339
[2699]: fg_loss: 3.3473, e_total_loss: 3.6988, e_dis_loss: 0.1927, d_total_loss: 0.0345, d_dis_loss: 1.4399, attack_loss: 0.0340
[2799]: fg_loss: 3.3313, e_total_loss: 3.6945, e_dis_loss: 0.2116, d_total_loss: 0.0329, d_dis_loss: 1.4440, attack_loss: 0.0331
[2899]: fg_loss: 3.2960, e_total_loss: 3.6808, e_dis_loss: 0.2301, d_total_loss: 0.0326, d_dis_loss: 1.4370, attack_loss: 0.0331
[2999]: fg_loss: 3.2761, e_total_loss: 3.6759, e_dis_loss: 0.1838, d_total_loss: 0.0330, d_dis_loss: 1.4471, attack_loss: 0.0310
[3099]: fg_loss: 3.2415, e_total_loss: 3.6370, e_dis_loss: 0.1781, d_total_loss: 0.0326, d_dis_loss: 1.4542, attack_loss: 0.0315
[3199]: fg_loss: 3.2164, e_total_loss: 3.6183, e_dis_loss: 0.1659, d_total_loss: 0.0314, d_dis_loss: 1.4544, attack_loss: 0.0320
[3299]: fg_loss: 3.1828, e_total_loss: 3.6121, e_dis_loss: 0.1839, d_total_loss: 0.0313, d_dis_loss: 1.4388, attack_loss: 0.0315
[3399]: fg_loss: 3.1867, e_total_loss: 3.5818, e_dis_loss: 0.1619, d_total_loss: 0.0300, d_dis_loss: 1.4568, attack_loss: 0.0297
[3499]: fg_loss: 3.1375, e_total_loss: 3.5602, e_dis_loss: 0.1904, d_total_loss: 0.0290, d_dis_loss: 1.4820, attack_loss: 0.0291
[3599]: fg_loss: 3.1141, e_total_loss: 3.5623, e_dis_loss: 0.2362, d_total_loss: 0.0296, d_dis_loss: 1.4559, attack_loss: 0.0292
[3699]: fg_loss: 3.0997, e_total_loss: 3.5273, e_dis_loss: 0.2367, d_total_loss: 0.0278, d_dis_loss: 1.4545, attack_loss: 0.0290
[3799]: fg_loss: 3.0978, e_total_loss: 3.5380, e_dis_loss: 0.2189, d_total_loss: 0.0277, d_dis_loss: 1.4437, attack_loss: 0.0293
[3899]: fg_loss: 3.0546, e_total_loss: 3.5264, e_dis_loss: 0.2264, d_total_loss: 0.0275, d_dis_loss: 1.4570, attack_loss: 0.0283
[3999]: fg_loss: 3.0427, e_total_loss: 3.4956, e_dis_loss: 0.2260, d_total_loss: 0.0286, d_dis_loss: 1.4559, attack_loss: 0.0297
[4099]: fg_loss: 3.0308, e_total_loss: 3.4706, e_dis_loss: 0.1991, d_total_loss: 0.0273, d_dis_loss: 1.4575, attack_loss: 0.0280
[4199]: fg_loss: 3.0030, e_total_loss: 3.4564, e_dis_loss: 0.2059, d_total_loss: 0.0259, d_dis_loss: 1.4492, attack_loss: 0.0298
[4299]: fg_loss: 2.9689, e_total_loss: 3.4563, e_dis_loss: 0.1469, d_total_loss: 0.0268, d_dis_loss: 1.4375, attack_loss: 0.0282
[4399]: fg_loss: 2.9694, e_total_loss: 3.4264, e_dis_loss: 0.2174, d_total_loss: 0.0254, d_dis_loss: 1.4513, attack_loss: 0.0287
[4499]: fg_loss: 2.9459, e_total_loss: 3.4136, e_dis_loss: 0.1689, d_total_loss: 0.0256, d_dis_loss: 1.4357, attack_loss: 0.0275
[4599]: fg_loss: 2.9232, e_total_loss: 3.4244, e_dis_loss: 0.2283, d_total_loss: 0.0250, d_dis_loss: 1.4587, attack_loss: 0.0281
[4699]: fg_loss: 2.9280, e_total_loss: 3.4174, e_dis_loss: 0.1674, d_total_loss: 0.0252, d_dis_loss: 1.4631, attack_loss: 0.0282
[4799]: fg_loss: 2.8734, e_total_loss: 3.3896, e_dis_loss: 0.2269, d_total_loss: 0.0238, d_dis_loss: 1.4653, attack_loss: 0.0281
[4899]: fg_loss: 2.8974, e_total_loss: 3.3555, e_dis_loss: 0.2100, d_total_loss: 0.0242, d_dis_loss: 1.4500, attack_loss: 0.0282
[4999]: fg_loss: 2.8502, e_total_loss: 3.3644, e_dis_loss: 0.1699, d_total_loss: 0.0237, d_dis_loss: 1.4672, attack_loss: 0.0258
[5099]: fg_loss: 2.8541, e_total_loss: 3.3658, e_dis_loss: 0.1790, d_total_loss: 0.0237, d_dis_loss: 1.4339, attack_loss: 0.0264
[5199]: fg_loss: 2.8154, e_total_loss: 3.3581, e_dis_loss: 0.1518, d_total_loss: 0.0231, d_dis_loss: 1.4471, attack_loss: 0.0247
[5299]: fg_loss: 2.8168, e_total_loss: 3.3660, e_dis_loss: 0.1285, d_total_loss: 0.0236, d_dis_loss: 1.4391, attack_loss: 0.0269
[5399]: fg_loss: 2.7958, e_total_loss: 3.3169, e_dis_loss: 0.1629, d_total_loss: 0.0232, d_dis_loss: 1.4547, attack_loss: 0.0247
