Start vsl/resnet experiments on cifar10 at l6 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.7276, e_total_loss: 2.0479, e_dis_loss: 0.4904, d_total_loss: 0.0533, d_dis_loss: 1.5176, attack_loss: 0.0673
[199]: fg_loss: 1.3562, e_total_loss: 1.7892, e_dis_loss: 0.1629, d_total_loss: 0.0442, d_dis_loss: 1.4968, attack_loss: 0.0476
[299]: fg_loss: 1.1930, e_total_loss: 1.6187, e_dis_loss: 0.1326, d_total_loss: 0.0473, d_dis_loss: 1.4246, attack_loss: 0.0467
[399]: fg_loss: 1.0691, e_total_loss: 1.5750, e_dis_loss: 0.1412, d_total_loss: 0.0462, d_dis_loss: 1.4299, attack_loss: 0.0420
[499]: fg_loss: 0.9900, e_total_loss: 1.4426, e_dis_loss: 0.1483, d_total_loss: 0.0455, d_dis_loss: 1.4513, attack_loss: 0.0421
[599]: fg_loss: 0.9112, e_total_loss: 1.3845, e_dis_loss: 0.1328, d_total_loss: 0.0444, d_dis_loss: 1.4509, attack_loss: 0.0420
[699]: fg_loss: 0.8610, e_total_loss: 1.3476, e_dis_loss: 0.1703, d_total_loss: 0.0429, d_dis_loss: 1.4307, attack_loss: 0.0418
[799]: fg_loss: 0.7904, e_total_loss: 1.3078, e_dis_loss: 0.1784, d_total_loss: 0.0432, d_dis_loss: 1.4525, attack_loss: 0.0413
[899]: fg_loss: 0.7440, e_total_loss: 1.2464, e_dis_loss: 0.1728, d_total_loss: 0.0393, d_dis_loss: 1.4535, attack_loss: 0.0406
[999]: fg_loss: 0.7136, e_total_loss: 1.2704, e_dis_loss: 0.2043, d_total_loss: 0.0403, d_dis_loss: 1.4581, attack_loss: 0.0400
[1099]: fg_loss: 0.6396, e_total_loss: 1.2388, e_dis_loss: 0.2044, d_total_loss: 0.0398, d_dis_loss: 1.4408, attack_loss: 0.0401
[1199]: fg_loss: 0.6371, e_total_loss: 1.2203, e_dis_loss: 0.1611, d_total_loss: 0.0394, d_dis_loss: 1.4572, attack_loss: 0.0386
[1299]: fg_loss: 0.5789, e_total_loss: 1.2002, e_dis_loss: 0.1729, d_total_loss: 0.0370, d_dis_loss: 1.4401, attack_loss: 0.0377
[1399]: fg_loss: 0.5651, e_total_loss: 1.2202, e_dis_loss: 0.1625, d_total_loss: 0.0378, d_dis_loss: 1.4458, attack_loss: 0.0370
[1499]: fg_loss: 0.5266, e_total_loss: 1.2038, e_dis_loss: 0.1326, d_total_loss: 0.0352, d_dis_loss: 1.4672, attack_loss: 0.0347
