Start vsl/plainnet experiments on stl10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.9109, e_total_loss: 1.8658, e_dis_loss: 0.8035, d_total_loss: 0.0627, d_dis_loss: 1.6748, attack_loss: 0.0717
[199]: fg_loss: 1.7032, e_total_loss: 1.5665, e_dis_loss: 0.5883, d_total_loss: 0.0551, d_dis_loss: 1.6301, attack_loss: 0.0609
[299]: fg_loss: 1.6182, e_total_loss: 1.3618, e_dis_loss: 0.5125, d_total_loss: 0.0567, d_dis_loss: 1.6278, attack_loss: 0.0580
[399]: fg_loss: 1.5724, e_total_loss: 1.1504, e_dis_loss: 0.4376, d_total_loss: 0.0554, d_dis_loss: 1.6167, attack_loss: 0.0588
[499]: fg_loss: 1.5318, e_total_loss: 0.9947, e_dis_loss: 0.4219, d_total_loss: 0.0550, d_dis_loss: 1.6342, attack_loss: 0.0570
[599]: fg_loss: 1.5162, e_total_loss: 0.8648, e_dis_loss: 0.5189, d_total_loss: 0.0550, d_dis_loss: 1.6394, attack_loss: 0.0535
[699]: fg_loss: 1.4292, e_total_loss: 0.7105, e_dis_loss: 0.6127, d_total_loss: 0.0536, d_dis_loss: 1.6430, attack_loss: 0.0563
[799]: fg_loss: 1.4327, e_total_loss: 0.6303, e_dis_loss: 0.5517, d_total_loss: 0.0539, d_dis_loss: 1.6152, attack_loss: 0.0580
[899]: fg_loss: 1.3207, e_total_loss: 0.5604, e_dis_loss: 0.5358, d_total_loss: 0.0521, d_dis_loss: 1.6139, attack_loss: 0.0556
[999]: fg_loss: 1.3200, e_total_loss: 0.4472, e_dis_loss: 0.4806, d_total_loss: 0.0507, d_dis_loss: 1.6043, attack_loss: 0.0575
[1099]: fg_loss: 1.2412, e_total_loss: 0.3714, e_dis_loss: 0.5515, d_total_loss: 0.0508, d_dis_loss: 1.5875, attack_loss: 0.0579
[1199]: fg_loss: 1.2440, e_total_loss: 0.3542, e_dis_loss: 0.6114, d_total_loss: 0.0501, d_dis_loss: 1.6041, attack_loss: 0.0568
[1299]: fg_loss: 1.1884, e_total_loss: 0.2937, e_dis_loss: 0.5993, d_total_loss: 0.0502, d_dis_loss: 1.6092, attack_loss: 0.0570
[1399]: fg_loss: 1.1868, e_total_loss: 0.3143, e_dis_loss: 0.5459, d_total_loss: 0.0494, d_dis_loss: 1.6060, attack_loss: 0.0580
[1499]: fg_loss: 1.1454, e_total_loss: 0.3157, e_dis_loss: 0.6113, d_total_loss: 0.0489, d_dis_loss: 1.6091, attack_loss: 0.0558
[1599]: fg_loss: 1.1353, e_total_loss: 0.2578, e_dis_loss: 0.5129, d_total_loss: 0.0486, d_dis_loss: 1.6034, attack_loss: 0.0566
[1699]: fg_loss: 1.1131, e_total_loss: 0.2367, e_dis_loss: 0.5208, d_total_loss: 0.0477, d_dis_loss: 1.5891, attack_loss: 0.0582
[1799]: fg_loss: 1.1037, e_total_loss: 0.1996, e_dis_loss: 0.6275, d_total_loss: 0.0464, d_dis_loss: 1.5842, attack_loss: 0.0568
[1899]: fg_loss: 1.0486, e_total_loss: 0.1958, e_dis_loss: 0.6123, d_total_loss: 0.0466, d_dis_loss: 1.5780, attack_loss: 0.0583
[1999]: fg_loss: 1.0380, e_total_loss: 0.1604, e_dis_loss: 0.7025, d_total_loss: 0.0463, d_dis_loss: 1.6130, attack_loss: 0.0581
[2099]: fg_loss: 1.0195, e_total_loss: 0.1703, e_dis_loss: 0.7122, d_total_loss: 0.0469, d_dis_loss: 1.5760, attack_loss: 0.0582
[2199]: fg_loss: 0.9849, e_total_loss: 0.1574, e_dis_loss: 0.7344, d_total_loss: 0.0464, d_dis_loss: 1.5866, attack_loss: 0.0558
[2299]: fg_loss: 0.9744, e_total_loss: 0.1603, e_dis_loss: 0.7156, d_total_loss: 0.0453, d_dis_loss: 1.5753, attack_loss: 0.0577
[2399]: fg_loss: 0.9620, e_total_loss: 0.1495, e_dis_loss: 0.7999, d_total_loss: 0.0452, d_dis_loss: 1.5705, attack_loss: 0.0568
[2499]: fg_loss: 0.9394, e_total_loss: 0.1322, e_dis_loss: 0.7378, d_total_loss: 0.0447, d_dis_loss: 1.5777, attack_loss: 0.0581
[2599]: fg_loss: 0.9237, e_total_loss: 0.1126, e_dis_loss: 0.8344, d_total_loss: 0.0441, d_dis_loss: 1.5904, attack_loss: 0.0565
[2699]: fg_loss: 0.9202, e_total_loss: 0.1189, e_dis_loss: 0.7516, d_total_loss: 0.0442, d_dis_loss: 1.6018, attack_loss: 0.0562
[2799]: fg_loss: 0.8909, e_total_loss: 0.1081, e_dis_loss: 0.8622, d_total_loss: 0.0438, d_dis_loss: 1.5725, attack_loss: 0.0567
[2899]: fg_loss: 0.8737, e_total_loss: 0.1185, e_dis_loss: 0.8305, d_total_loss: 0.0448, d_dis_loss: 1.5993, attack_loss: 0.0577
[2999]: fg_loss: 0.8927, e_total_loss: 0.0993, e_dis_loss: 0.8128, d_total_loss: 0.0441, d_dis_loss: 1.5918, attack_loss: 0.0552
[3099]: fg_loss: 0.8032, e_total_loss: 0.0898, e_dis_loss: 0.9716, d_total_loss: 0.0435, d_dis_loss: 1.5858, attack_loss: 0.0563
[3199]: fg_loss: 0.8124, e_total_loss: 0.0933, e_dis_loss: 0.8740, d_total_loss: 0.0435, d_dis_loss: 1.5782, attack_loss: 0.0552
[3299]: fg_loss: 0.7807, e_total_loss: 0.1255, e_dis_loss: 0.7074, d_total_loss: 0.0448, d_dis_loss: 1.5778, attack_loss: 0.0576
[3399]: fg_loss: 0.7802, e_total_loss: 0.1105, e_dis_loss: 0.7135, d_total_loss: 0.0429, d_dis_loss: 1.5702, attack_loss: 0.0561
[3499]: fg_loss: 0.7628, e_total_loss: 0.0902, e_dis_loss: 0.8204, d_total_loss: 0.0419, d_dis_loss: 1.5778, attack_loss: 0.0566
[3599]: fg_loss: 0.7184, e_total_loss: 0.0907, e_dis_loss: 0.7405, d_total_loss: 0.0431, d_dis_loss: 1.5699, attack_loss: 0.0557
[3699]: fg_loss: 0.7265, e_total_loss: 0.1096, e_dis_loss: 0.7467, d_total_loss: 0.0430, d_dis_loss: 1.5930, attack_loss: 0.0558
[3799]: fg_loss: 0.6809, e_total_loss: 0.0773, e_dis_loss: 0.8047, d_total_loss: 0.0421, d_dis_loss: 1.5724, attack_loss: 0.0564
[3899]: fg_loss: 0.6834, e_total_loss: 0.0676, e_dis_loss: 0.9474, d_total_loss: 0.0420, d_dis_loss: 1.5664, attack_loss: 0.0544
[3999]: fg_loss: 0.6763, e_total_loss: 0.0646, e_dis_loss: 0.8086, d_total_loss: 0.0430, d_dis_loss: 1.5691, attack_loss: 0.0544
