Start vsl/resnet experiments on cifar10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.0, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
[6299]: fg_loss: 0.0569, e_total_loss: 0.1049, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 1.4762, attack_loss: 0.0659
[6399]: fg_loss: 0.0662, e_total_loss: 0.1129, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 1.4684, attack_loss: 0.0661
[6499]: fg_loss: 0.0604, e_total_loss: 0.1161, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 1.4652, attack_loss: 0.0662
[6599]: fg_loss: 0.0674, e_total_loss: 0.1277, e_dis_loss: 0.0000, d_total_loss: 0.0170, d_dis_loss: 1.4712, attack_loss: 0.0638
[6699]: fg_loss: 0.0563, e_total_loss: 0.1090, e_dis_loss: 0.0000, d_total_loss: 0.0172, d_dis_loss: 1.4709, attack_loss: 0.0640
[6799]: fg_loss: 0.0679, e_total_loss: 0.1176, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 1.4868, attack_loss: 0.0648
[6899]: fg_loss: 0.0632, e_total_loss: 0.1324, e_dis_loss: 0.0000, d_total_loss: 0.0172, d_dis_loss: 1.4809, attack_loss: 0.0636
[6999]: fg_loss: 0.0643, e_total_loss: 0.1141, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.4879, attack_loss: 0.0608
[7099]: fg_loss: 0.0580, e_total_loss: 0.0926, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.4867, attack_loss: 0.0647
[7199]: fg_loss: 0.0525, e_total_loss: 0.1004, e_dis_loss: 0.0000, d_total_loss: 0.0169, d_dis_loss: 1.4754, attack_loss: 0.0630
[7299]: fg_loss: 0.0498, e_total_loss: 0.0935, e_dis_loss: 0.0000, d_total_loss: 0.0164, d_dis_loss: 1.4716, attack_loss: 0.0613
[7399]: fg_loss: 0.0575, e_total_loss: 0.0879, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 1.4566, attack_loss: 0.0632
[7499]: fg_loss: 0.0545, e_total_loss: 0.0960, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 1.4784, attack_loss: 0.0612
[7599]: fg_loss: 0.0600, e_total_loss: 0.0875, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 1.4555, attack_loss: 0.0664
[7699]: fg_loss: 0.0608, e_total_loss: 0.1067, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 1.4691, attack_loss: 0.0615
[7799]: fg_loss: 0.0615, e_total_loss: 0.1122, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 1.4655, attack_loss: 0.0639
[7899]: fg_loss: 0.0554, e_total_loss: 0.0868, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 1.4718, attack_loss: 0.0646
[7999]: fg_loss: 0.0492, e_total_loss: 0.0658, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 1.4963, attack_loss: 0.0634
[8099]: fg_loss: 0.0462, e_total_loss: 0.0696, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.4676, attack_loss: 0.0673
[8199]: fg_loss: 0.0516, e_total_loss: 0.0902, e_dis_loss: 0.0000, d_total_loss: 0.0164, d_dis_loss: 1.4759, attack_loss: 0.0640
[8299]: fg_loss: 0.0547, e_total_loss: 0.1022, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.4556, attack_loss: 0.0666
[8399]: fg_loss: 0.0534, e_total_loss: 0.0852, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 1.4849, attack_loss: 0.0615
[8499]: fg_loss: 0.0518, e_total_loss: 0.0745, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4987, attack_loss: 0.0627
[8599]: fg_loss: 0.0741, e_total_loss: 0.1028, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 1.4829, attack_loss: 0.0669
[8699]: fg_loss: 0.0600, e_total_loss: 0.0903, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 1.4654, attack_loss: 0.0676
[8799]: fg_loss: 0.0484, e_total_loss: 0.0717, e_dis_loss: 0.0000, d_total_loss: 0.0167, d_dis_loss: 1.4719, attack_loss: 0.0680
[8899]: fg_loss: 0.0428, e_total_loss: 0.0704, e_dis_loss: 0.0000, d_total_loss: 0.0164, d_dis_loss: 1.4723, attack_loss: 0.0636
[8999]: fg_loss: 0.0466, e_total_loss: 0.0731, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4839, attack_loss: 0.0651
[9099]: fg_loss: 0.0355, e_total_loss: 0.0563, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 1.5019, attack_loss: 0.0627
[9199]: fg_loss: 0.0408, e_total_loss: 0.0712, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4966, attack_loss: 0.0604
[9299]: fg_loss: 0.0435, e_total_loss: 0.0914, e_dis_loss: 0.0000, d_total_loss: 0.0168, d_dis_loss: 1.4771, attack_loss: 0.0630
[9399]: fg_loss: 0.0450, e_total_loss: 0.0864, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.5072, attack_loss: 0.0603
[9499]: fg_loss: 0.0665, e_total_loss: 0.0974, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.5217, attack_loss: 0.0621
[9599]: fg_loss: 0.0509, e_total_loss: 0.0882, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 1.5125, attack_loss: 0.0579
[9699]: fg_loss: 0.0423, e_total_loss: 0.0737, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4969, attack_loss: 0.0604
[9799]: fg_loss: 0.0278, e_total_loss: 0.0547, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 1.5133, attack_loss: 0.0590
[9899]: fg_loss: 0.0314, e_total_loss: 0.0545, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.5109, attack_loss: 0.0590
[9999]: fg_loss: 0.0308, e_total_loss: 0.0659, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.5049, attack_loss: 0.0598
[10099]: fg_loss: 0.0347, e_total_loss: 0.0656, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 1.4742, attack_loss: 0.0588
[10199]: fg_loss: 0.0350, e_total_loss: 0.0662, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 1.4790, attack_loss: 0.0614
[10299]: fg_loss: 0.0509, e_total_loss: 0.1239, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.4862, attack_loss: 0.0617
[10399]: fg_loss: 0.0505, e_total_loss: 0.0862, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.4881, attack_loss: 0.0586
[10499]: fg_loss: 0.0530, e_total_loss: 0.0732, e_dis_loss: 0.0000, d_total_loss: 0.0166, d_dis_loss: 1.4740, attack_loss: 0.0603
[10599]: fg_loss: 0.0426, e_total_loss: 0.0856, e_dis_loss: 0.0000, d_total_loss: 0.0164, d_dis_loss: 1.4645, attack_loss: 0.0620
[10699]: fg_loss: 0.0423, e_total_loss: 0.0704, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4795, attack_loss: 0.0605
[10799]: fg_loss: 0.0443, e_total_loss: 0.0660, e_dis_loss: 0.0000, d_total_loss: 0.0160, d_dis_loss: 1.4628, attack_loss: 0.0601
[10899]: fg_loss: 0.0463, e_total_loss: 0.0572, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4286, attack_loss: 0.0642
[10999]: fg_loss: 0.0593, e_total_loss: 0.0586, e_dis_loss: 0.0000, d_total_loss: 0.0160, d_dis_loss: 1.4527, attack_loss: 0.0625
[11099]: fg_loss: 0.0510, e_total_loss: 0.0753, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 1.4394, attack_loss: 0.0631
[11199]: fg_loss: 0.0461, e_total_loss: 0.0521, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4647, attack_loss: 0.0619
[11299]: fg_loss: 0.0371, e_total_loss: 0.0492, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 1.4690, attack_loss: 0.0616
[11399]: fg_loss: 0.0334, e_total_loss: 0.0461, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 1.4766, attack_loss: 0.0656
[11499]: fg_loss: 0.0281, e_total_loss: 0.0408, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 1.4813, attack_loss: 0.0609
