Start experiments on cifar100 at level=4 with {'e_lr': 0.001, 'e_dis_lr': 4e-05, 'lambda1': 0.04, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[99]: fg_loss: 4.3608, e_total_loss: 4.7218, e_dis_loss: 0.5534, d_total_loss: 0.0369, d_dis_loss: 1.4796, attack_loss: 0.0659, label_acc: 0.0091
[199]: fg_loss: 3.9375, e_total_loss: 4.6515, e_dis_loss: 0.4140, d_total_loss: 0.0229, d_dis_loss: 1.4479, attack_loss: 0.0845, label_acc: 0.0208
[299]: fg_loss: 3.6656, e_total_loss: 4.5734, e_dis_loss: 0.4435, d_total_loss: 0.0292, d_dis_loss: 1.3685, attack_loss: 0.0552, label_acc: 0.0405
[399]: fg_loss: 3.4964, e_total_loss: 4.5027, e_dis_loss: 0.5982, d_total_loss: 0.0277, d_dis_loss: 1.3943, attack_loss: 0.0558, label_acc: 0.0524
[499]: fg_loss: 3.3215, e_total_loss: 4.4333, e_dis_loss: 0.4278, d_total_loss: 0.0222, d_dis_loss: 1.4237, attack_loss: 0.0339, label_acc: 0.0703
[599]: fg_loss: 3.1865, e_total_loss: 4.3965, e_dis_loss: 0.4784, d_total_loss: 0.0204, d_dis_loss: 1.4160, attack_loss: 0.0327, label_acc: 0.0906
[699]: fg_loss: 3.0572, e_total_loss: 4.3290, e_dis_loss: 0.4102, d_total_loss: 0.0193, d_dis_loss: 1.4332, attack_loss: 0.0305, label_acc: 0.1148
[799]: fg_loss: 2.9145, e_total_loss: 4.2500, e_dis_loss: 0.4692, d_total_loss: 0.0202, d_dis_loss: 1.4643, attack_loss: 0.0265, label_acc: 0.1501
[899]: fg_loss: 2.8170, e_total_loss: 4.1966, e_dis_loss: 0.4227, d_total_loss: 0.0178, d_dis_loss: 1.4177, attack_loss: 0.0275, label_acc: 0.1663
[999]: fg_loss: 2.7037, e_total_loss: 4.1192, e_dis_loss: 0.3110, d_total_loss: 0.0165, d_dis_loss: 1.4465, attack_loss: 0.0257, label_acc: 0.2034
[1099]: fg_loss: 2.6330, e_total_loss: 4.1208, e_dis_loss: 0.3699, d_total_loss: 0.0167, d_dis_loss: 1.4360, attack_loss: 0.0244, label_acc: 0.2152
[1199]: fg_loss: 2.5319, e_total_loss: 4.0355, e_dis_loss: 0.3263, d_total_loss: 0.0150, d_dis_loss: 1.4644, attack_loss: 0.0246, label_acc: 0.2376
[1299]: fg_loss: 2.4574, e_total_loss: 3.9573, e_dis_loss: 0.2975, d_total_loss: 0.0141, d_dis_loss: 1.4685, attack_loss: 0.0238, label_acc: 0.2532
[1399]: fg_loss: 2.4011, e_total_loss: 3.9652, e_dis_loss: 0.3417, d_total_loss: 0.0143, d_dis_loss: 1.4481, attack_loss: 0.0226, label_acc: 0.2687
[1499]: fg_loss: 2.3072, e_total_loss: 3.9305, e_dis_loss: 0.3206, d_total_loss: 0.0148, d_dis_loss: 1.4507, attack_loss: 0.0229, label_acc: 0.2816
[1599]: fg_loss: 2.2452, e_total_loss: 3.8653, e_dis_loss: 0.4130, d_total_loss: 0.0161, d_dis_loss: 1.4760, attack_loss: 0.0210, label_acc: 0.3019
