Start experiments on cifar100 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 4e-05, 'lambda1': 0.04, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[99]: fg_loss: 4.3869, e_total_loss: 4.6786, e_dis_loss: 1.0331, d_total_loss: 0.0472, d_dis_loss: 1.4905, attack_loss: 0.0862, label_acc: 0.0114
[199]: fg_loss: 3.9268, e_total_loss: 4.5971, e_dis_loss: 1.0459, d_total_loss: 0.0400, d_dis_loss: 1.4879, attack_loss: 0.0963, label_acc: 0.0084
[299]: fg_loss: 3.6463, e_total_loss: 4.4984, e_dis_loss: 0.9973, d_total_loss: 0.0395, d_dis_loss: 1.4985, attack_loss: 0.0947, label_acc: 0.0076
[399]: fg_loss: 3.4886, e_total_loss: 4.4495, e_dis_loss: 0.9330, d_total_loss: 0.0396, d_dis_loss: 1.5027, attack_loss: 0.0972, label_acc: 0.0075
[499]: fg_loss: 3.3168, e_total_loss: 4.4143, e_dis_loss: 0.7604, d_total_loss: 0.0362, d_dis_loss: 1.4891, attack_loss: 0.0848, label_acc: 0.0087
[599]: fg_loss: 3.1854, e_total_loss: 4.3773, e_dis_loss: 0.7090, d_total_loss: 0.0371, d_dis_loss: 1.4838, attack_loss: 0.0735, label_acc: 0.0099
[699]: fg_loss: 3.0440, e_total_loss: 4.3520, e_dis_loss: 0.5953, d_total_loss: 0.0365, d_dis_loss: 1.4897, attack_loss: 0.0735, label_acc: 0.0106
[799]: fg_loss: 2.9313, e_total_loss: 4.3656, e_dis_loss: 0.5826, d_total_loss: 0.0383, d_dis_loss: 1.4895, attack_loss: 0.0905, label_acc: 0.0095
[899]: fg_loss: 2.8462, e_total_loss: 4.3308, e_dis_loss: 0.5692, d_total_loss: 0.0374, d_dis_loss: 1.5056, attack_loss: 0.0956, label_acc: 0.0074
[999]: fg_loss: 2.7025, e_total_loss: 4.2997, e_dis_loss: 0.5715, d_total_loss: 0.0349, d_dis_loss: 1.5195, attack_loss: 0.0895, label_acc: 0.0093
[1099]: fg_loss: 2.6467, e_total_loss: 4.3003, e_dis_loss: 0.5744, d_total_loss: 0.0321, d_dis_loss: 1.4754, attack_loss: 0.0907, label_acc: 0.0080
[1199]: fg_loss: 2.5292, e_total_loss: 4.2886, e_dis_loss: 0.4644, d_total_loss: 0.0324, d_dis_loss: 1.5110, attack_loss: 0.0882, label_acc: 0.0127
[1299]: fg_loss: 2.4670, e_total_loss: 4.2681, e_dis_loss: 0.4492, d_total_loss: 0.0345, d_dis_loss: 1.4891, attack_loss: 0.0812, label_acc: 0.0106
[1399]: fg_loss: 2.4132, e_total_loss: 4.2702, e_dis_loss: 0.5391, d_total_loss: 0.0323, d_dis_loss: 1.5048, attack_loss: 0.0768, label_acc: 0.0146
[1499]: fg_loss: 2.3044, e_total_loss: 4.2534, e_dis_loss: 0.4922, d_total_loss: 0.0338, d_dis_loss: 1.5100, attack_loss: 0.0828, label_acc: 0.0125
[1599]: fg_loss: 2.2727, e_total_loss: 4.2257, e_dis_loss: 0.4374, d_total_loss: 0.0316, d_dis_loss: 1.4454, attack_loss: 0.0815, label_acc: 0.0185
[1699]: fg_loss: 2.1933, e_total_loss: 4.2270, e_dis_loss: 0.3633, d_total_loss: 0.0320, d_dis_loss: 1.4599, attack_loss: 0.0835, label_acc: 0.0203
[1799]: fg_loss: 2.1559, e_total_loss: 4.2288, e_dis_loss: 0.3109, d_total_loss: 0.0290, d_dis_loss: 1.4808, attack_loss: 0.0785, label_acc: 0.0219
[1899]: fg_loss: 2.0822, e_total_loss: 4.1945, e_dis_loss: 0.2941, d_total_loss: 0.0289, d_dis_loss: 1.5256, attack_loss: 0.0849, label_acc: 0.0261
[1999]: fg_loss: 2.0134, e_total_loss: 4.2072, e_dis_loss: 0.2984, d_total_loss: 0.0298, d_dis_loss: 1.4864, attack_loss: 0.0895, label_acc: 0.0277
[2099]: fg_loss: 2.0077, e_total_loss: 4.2193, e_dis_loss: 0.2510, d_total_loss: 0.0290, d_dis_loss: 1.4605, attack_loss: 0.0855, label_acc: 0.0276
[2199]: fg_loss: 1.9198, e_total_loss: 4.1775, e_dis_loss: 0.2922, d_total_loss: 0.0289, d_dis_loss: 1.5006, attack_loss: 0.0813, label_acc: 0.0329
[2299]: fg_loss: 1.8857, e_total_loss: 4.1682, e_dis_loss: 0.2455, d_total_loss: 0.0295, d_dis_loss: 1.4620, attack_loss: 0.0797, label_acc: 0.0372
