Start experiments on cifar100 at level=3 with {'e_lr': 0.001, 'e_dis_lr': 4e-05, 'lambda1': 0.04, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[99]: fg_loss: 4.2791, e_total_loss: 4.8007, e_dis_loss: 0.6374, d_total_loss: 0.0423, d_dis_loss: 1.5162, attack_loss: 0.1087, label_acc: 0.0102
[199]: fg_loss: 3.8185, e_total_loss: 4.7788, e_dis_loss: 0.4799, d_total_loss: 0.0250, d_dis_loss: 1.4908, attack_loss: 0.1004, label_acc: 0.0097
[299]: fg_loss: 3.5810, e_total_loss: 4.6864, e_dis_loss: 0.3290, d_total_loss: 0.0228, d_dis_loss: 1.4621, attack_loss: 0.0980, label_acc: 0.0184
[399]: fg_loss: 3.4171, e_total_loss: 4.6527, e_dis_loss: 0.2732, d_total_loss: 0.0194, d_dis_loss: 1.4682, attack_loss: 0.0665, label_acc: 0.0213
[499]: fg_loss: 3.2319, e_total_loss: 4.5801, e_dis_loss: 0.3105, d_total_loss: 0.0256, d_dis_loss: 1.4651, attack_loss: 0.0440, label_acc: 0.0310
[599]: fg_loss: 3.1028, e_total_loss: 4.5281, e_dis_loss: 0.3218, d_total_loss: 0.0221, d_dis_loss: 1.4706, attack_loss: 0.0387, label_acc: 0.0494
[699]: fg_loss: 2.9850, e_total_loss: 4.4200, e_dis_loss: 0.3308, d_total_loss: 0.0202, d_dis_loss: 1.4839, attack_loss: 0.0365, label_acc: 0.0775
[799]: fg_loss: 2.8430, e_total_loss: 4.3266, e_dis_loss: 0.4035, d_total_loss: 0.0211, d_dis_loss: 1.4886, attack_loss: 0.0331, label_acc: 0.1168
[899]: fg_loss: 2.7906, e_total_loss: 4.2342, e_dis_loss: 0.3077, d_total_loss: 0.0176, d_dis_loss: 1.5145, attack_loss: 0.0262, label_acc: 0.1372
[999]: fg_loss: 2.6646, e_total_loss: 4.1636, e_dis_loss: 0.2944, d_total_loss: 0.0185, d_dis_loss: 1.4744, attack_loss: 0.0268, label_acc: 0.1721
[1099]: fg_loss: 2.6148, e_total_loss: 4.1220, e_dis_loss: 0.2972, d_total_loss: 0.0164, d_dis_loss: 1.4851, attack_loss: 0.0226, label_acc: 0.1854
