Start usl/plainnet experiments on cifar100 at l4 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.1, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 4.4144, e_total_loss: 4.6705, e_dis_loss: 0.8381, d_total_loss: 0.0573, d_dis_loss: 1.4880, attack_loss: 0.0727, label_acc: 0.0148
[199]: fg_loss: 4.0896, e_total_loss: 4.5495, e_dis_loss: 0.6496, d_total_loss: 0.0466, d_dis_loss: 1.4098, attack_loss: 0.0701, label_acc: 0.0334
[299]: fg_loss: 3.9388, e_total_loss: 4.4014, e_dis_loss: 0.6073, d_total_loss: 0.0470, d_dis_loss: 1.3695, attack_loss: 0.0527, label_acc: 0.0492
[399]: fg_loss: 3.8401, e_total_loss: 4.3479, e_dis_loss: 0.6366, d_total_loss: 0.0462, d_dis_loss: 1.3723, attack_loss: 0.0495, label_acc: 0.0592
[499]: fg_loss: 3.7156, e_total_loss: 4.3125, e_dis_loss: 0.4809, d_total_loss: 0.0404, d_dis_loss: 1.3731, attack_loss: 0.0476, label_acc: 0.0705
[599]: fg_loss: 3.6314, e_total_loss: 4.3054, e_dis_loss: 0.4712, d_total_loss: 0.0490, d_dis_loss: 1.3867, attack_loss: 0.0466, label_acc: 0.0791
[699]: fg_loss: 3.5282, e_total_loss: 4.2848, e_dis_loss: 0.3478, d_total_loss: 0.0415, d_dis_loss: 1.3544, attack_loss: 0.0456, label_acc: 0.0891
[799]: fg_loss: 3.4140, e_total_loss: 4.2091, e_dis_loss: 0.3905, d_total_loss: 0.0396, d_dis_loss: 1.3333, attack_loss: 0.0443, label_acc: 0.1141
[899]: fg_loss: 3.3509, e_total_loss: 4.1577, e_dis_loss: 0.4172, d_total_loss: 0.0395, d_dis_loss: 1.3631, attack_loss: 0.0451, label_acc: 0.1243
[999]: fg_loss: 3.2276, e_total_loss: 4.1261, e_dis_loss: 0.3597, d_total_loss: 0.0370, d_dis_loss: 1.4048, attack_loss: 0.0421, label_acc: 0.1431
[1099]: fg_loss: 3.1757, e_total_loss: 4.0533, e_dis_loss: 0.3647, d_total_loss: 0.0354, d_dis_loss: 1.3930, attack_loss: 0.0412, label_acc: 0.1613
[1199]: fg_loss: 3.0689, e_total_loss: 4.0182, e_dis_loss: 0.3634, d_total_loss: 0.0347, d_dis_loss: 1.4129, attack_loss: 0.0389, label_acc: 0.1777
[1299]: fg_loss: 3.0108, e_total_loss: 3.9889, e_dis_loss: 0.3927, d_total_loss: 0.0372, d_dis_loss: 1.3727, attack_loss: 0.0385, label_acc: 0.1864
[1399]: fg_loss: 2.9609, e_total_loss: 3.9157, e_dis_loss: 0.3724, d_total_loss: 0.0309, d_dis_loss: 1.3824, attack_loss: 0.0378, label_acc: 0.1999
[1499]: fg_loss: 2.8594, e_total_loss: 3.8645, e_dis_loss: 0.3470, d_total_loss: 0.0289, d_dis_loss: 1.4486, attack_loss: 0.0359, label_acc: 0.2129
[1599]: fg_loss: 2.8143, e_total_loss: 3.7897, e_dis_loss: 0.2756, d_total_loss: 0.0290, d_dis_loss: 1.4255, attack_loss: 0.0332, label_acc: 0.2251
[1699]: fg_loss: 2.7361, e_total_loss: 3.7834, e_dis_loss: 0.2712, d_total_loss: 0.0277, d_dis_loss: 1.4448, attack_loss: 0.0322, label_acc: 0.2366
[1799]: fg_loss: 2.7054, e_total_loss: 3.7201, e_dis_loss: 0.2435, d_total_loss: 0.0271, d_dis_loss: 1.4773, attack_loss: 0.0325, label_acc: 0.2490
