Start vsl/resnet experiments on stl10 at l5 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8272, e_total_loss: 2.0598, e_dis_loss: 0.5349, d_total_loss: 0.0315, d_dis_loss: 1.4482, attack_loss: 0.0850
[199]: fg_loss: 1.6310, e_total_loss: 1.7990, e_dis_loss: 0.2298, d_total_loss: 0.0212, d_dis_loss: 1.4500, attack_loss: 0.0821
[299]: fg_loss: 1.5440, e_total_loss: 1.7122, e_dis_loss: 0.4215, d_total_loss: 0.0283, d_dis_loss: 1.5016, attack_loss: 0.0610
[399]: fg_loss: 1.4554, e_total_loss: 1.6333, e_dis_loss: 0.4087, d_total_loss: 0.0224, d_dis_loss: 1.4564, attack_loss: 0.0577
[499]: fg_loss: 1.3829, e_total_loss: 1.5966, e_dis_loss: 0.4662, d_total_loss: 0.0276, d_dis_loss: 1.4523, attack_loss: 0.0468
[599]: fg_loss: 1.3278, e_total_loss: 1.5449, e_dis_loss: 0.3927, d_total_loss: 0.0230, d_dis_loss: 1.5114, attack_loss: 0.0527
[699]: fg_loss: 1.2505, e_total_loss: 1.4945, e_dis_loss: 0.4164, d_total_loss: 0.0258, d_dis_loss: 1.4802, attack_loss: 0.0491
[799]: fg_loss: 1.2233, e_total_loss: 1.4613, e_dis_loss: 0.4546, d_total_loss: 0.0244, d_dis_loss: 1.4700, attack_loss: 0.0471
[899]: fg_loss: 1.1463, e_total_loss: 1.4044, e_dis_loss: 0.4356, d_total_loss: 0.0260, d_dis_loss: 1.4800, attack_loss: 0.0480
[999]: fg_loss: 1.1276, e_total_loss: 1.3248, e_dis_loss: 0.4436, d_total_loss: 0.0220, d_dis_loss: 1.5378, attack_loss: 0.0432
[1099]: fg_loss: 1.0618, e_total_loss: 1.3416, e_dis_loss: 0.4293, d_total_loss: 0.0238, d_dis_loss: 1.5108, attack_loss: 0.0435
[1199]: fg_loss: 1.0768, e_total_loss: 1.3815, e_dis_loss: 0.3922, d_total_loss: 0.0220, d_dis_loss: 1.5072, attack_loss: 0.0405
[1299]: fg_loss: 1.0343, e_total_loss: 1.3069, e_dis_loss: 0.3664, d_total_loss: 0.0205, d_dis_loss: 1.5100, attack_loss: 0.0418
[1399]: fg_loss: 1.0101, e_total_loss: 1.2257, e_dis_loss: 0.4337, d_total_loss: 0.0197, d_dis_loss: 1.5076, attack_loss: 0.0378
[1499]: fg_loss: 0.9428, e_total_loss: 1.2549, e_dis_loss: 0.5152, d_total_loss: 0.0185, d_dis_loss: 1.4734, attack_loss: 0.0396
[1599]: fg_loss: 0.9634, e_total_loss: 1.2958, e_dis_loss: 0.3980, d_total_loss: 0.0195, d_dis_loss: 1.4875, attack_loss: 0.0353
[1699]: fg_loss: 0.8952, e_total_loss: 1.1602, e_dis_loss: 0.3729, d_total_loss: 0.0171, d_dis_loss: 1.4865, attack_loss: 0.0403
[1799]: fg_loss: 0.8973, e_total_loss: 1.1702, e_dis_loss: 0.4849, d_total_loss: 0.0170, d_dis_loss: 1.4904, attack_loss: 0.0368
[1899]: fg_loss: 0.8706, e_total_loss: 1.1463, e_dis_loss: 0.4532, d_total_loss: 0.0193, d_dis_loss: 1.4613, attack_loss: 0.0385
[1999]: fg_loss: 0.8493, e_total_loss: 1.1792, e_dis_loss: 0.3298, d_total_loss: 0.0168, d_dis_loss: 1.4897, attack_loss: 0.0363
[2099]: fg_loss: 0.8103, e_total_loss: 1.2036, e_dis_loss: 0.3084, d_total_loss: 0.0191, d_dis_loss: 1.4767, attack_loss: 0.0391
[2199]: fg_loss: 0.7863, e_total_loss: 1.1849, e_dis_loss: 0.3241, d_total_loss: 0.0179, d_dis_loss: 1.4931, attack_loss: 0.0335
[2299]: fg_loss: 0.7369, e_total_loss: 1.0649, e_dis_loss: 0.3420, d_total_loss: 0.0205, d_dis_loss: 1.4904, attack_loss: 0.0392
[2399]: fg_loss: 0.7529, e_total_loss: 1.1710, e_dis_loss: 0.2696, d_total_loss: 0.0184, d_dis_loss: 1.4606, attack_loss: 0.0352
[2499]: fg_loss: 0.7092, e_total_loss: 1.2012, e_dis_loss: 0.2731, d_total_loss: 0.0176, d_dis_loss: 1.4188, attack_loss: 0.0340
[2599]: fg_loss: 0.6939, e_total_loss: 1.2216, e_dis_loss: 0.2545, d_total_loss: 0.0177, d_dis_loss: 1.4437, attack_loss: 0.0358
[2699]: fg_loss: 0.7026, e_total_loss: 1.1811, e_dis_loss: 0.1854, d_total_loss: 0.0158, d_dis_loss: 1.4729, attack_loss: 0.0351
[2799]: fg_loss: 0.6281, e_total_loss: 1.1360, e_dis_loss: 0.2097, d_total_loss: 0.0166, d_dis_loss: 1.4949, attack_loss: 0.0375
