Start vsl/plainnet experiments on cifar10 at l5 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8606, e_total_loss: 2.0377, e_dis_loss: 0.6898, d_total_loss: 0.0529, d_dis_loss: 1.4868, attack_loss: 0.0629
[199]: fg_loss: 1.5571, e_total_loss: 1.7671, e_dis_loss: 0.3955, d_total_loss: 0.0406, d_dis_loss: 1.5243, attack_loss: 0.0582
[299]: fg_loss: 1.4202, e_total_loss: 1.6215, e_dis_loss: 0.5797, d_total_loss: 0.0380, d_dis_loss: 1.5317, attack_loss: 0.0496
[399]: fg_loss: 1.2909, e_total_loss: 1.5343, e_dis_loss: 0.4363, d_total_loss: 0.0356, d_dis_loss: 1.5322, attack_loss: 0.0499
[499]: fg_loss: 1.1965, e_total_loss: 1.4505, e_dis_loss: 0.5126, d_total_loss: 0.0362, d_dis_loss: 1.5647, attack_loss: 0.0459
[599]: fg_loss: 1.1129, e_total_loss: 1.3470, e_dis_loss: 0.5114, d_total_loss: 0.0349, d_dis_loss: 1.5655, attack_loss: 0.0437
[699]: fg_loss: 1.0526, e_total_loss: 1.3051, e_dis_loss: 0.5229, d_total_loss: 0.0339, d_dis_loss: 1.5515, attack_loss: 0.0408
[799]: fg_loss: 0.9770, e_total_loss: 1.2280, e_dis_loss: 0.4209, d_total_loss: 0.0331, d_dis_loss: 1.5465, attack_loss: 0.0408
[899]: fg_loss: 0.9175, e_total_loss: 1.1478, e_dis_loss: 0.4991, d_total_loss: 0.0324, d_dis_loss: 1.5380, attack_loss: 0.0421
[999]: fg_loss: 0.8936, e_total_loss: 1.1564, e_dis_loss: 0.4070, d_total_loss: 0.0319, d_dis_loss: 1.5518, attack_loss: 0.0385
[1099]: fg_loss: 0.8212, e_total_loss: 1.0943, e_dis_loss: 0.4500, d_total_loss: 0.0315, d_dis_loss: 1.5283, attack_loss: 0.0365
[1199]: fg_loss: 0.7980, e_total_loss: 1.0559, e_dis_loss: 0.4277, d_total_loss: 0.0324, d_dis_loss: 1.5395, attack_loss: 0.0351
[1299]: fg_loss: 0.7690, e_total_loss: 1.0440, e_dis_loss: 0.4521, d_total_loss: 0.0306, d_dis_loss: 1.5279, attack_loss: 0.0342
[1399]: fg_loss: 0.7361, e_total_loss: 1.0454, e_dis_loss: 0.4039, d_total_loss: 0.0297, d_dis_loss: 1.5210, attack_loss: 0.0352
[1499]: fg_loss: 0.7021, e_total_loss: 0.9775, e_dis_loss: 0.3854, d_total_loss: 0.0296, d_dis_loss: 1.5060, attack_loss: 0.0330
[1599]: fg_loss: 0.6541, e_total_loss: 0.9440, e_dis_loss: 0.4533, d_total_loss: 0.0282, d_dis_loss: 1.5020, attack_loss: 0.0350
[1699]: fg_loss: 0.6510, e_total_loss: 0.9556, e_dis_loss: 0.4105, d_total_loss: 0.0281, d_dis_loss: 1.5229, attack_loss: 0.0330
[1799]: fg_loss: 0.6079, e_total_loss: 0.9142, e_dis_loss: 0.3733, d_total_loss: 0.0277, d_dis_loss: 1.5274, attack_loss: 0.0333
[1899]: fg_loss: 0.5846, e_total_loss: 0.9406, e_dis_loss: 0.4326, d_total_loss: 0.0283, d_dis_loss: 1.5224, attack_loss: 0.0311
[1999]: fg_loss: 0.5688, e_total_loss: 0.9153, e_dis_loss: 0.4444, d_total_loss: 0.0257, d_dis_loss: 1.5240, attack_loss: 0.0303
[2099]: fg_loss: 0.5400, e_total_loss: 0.8938, e_dis_loss: 0.4200, d_total_loss: 0.0257, d_dis_loss: 1.5202, attack_loss: 0.0314
[2199]: fg_loss: 0.5285, e_total_loss: 0.9028, e_dis_loss: 0.4237, d_total_loss: 0.0248, d_dis_loss: 1.4839, attack_loss: 0.0320
[2299]: fg_loss: 0.5092, e_total_loss: 0.8776, e_dis_loss: 0.3781, d_total_loss: 0.0243, d_dis_loss: 1.4814, attack_loss: 0.0313
[2399]: fg_loss: 0.4859, e_total_loss: 0.8626, e_dis_loss: 0.4206, d_total_loss: 0.0252, d_dis_loss: 1.5040, attack_loss: 0.0315
[2499]: fg_loss: 0.4523, e_total_loss: 0.8878, e_dis_loss: 0.3308, d_total_loss: 0.0244, d_dis_loss: 1.5118, attack_loss: 0.0308
[2599]: fg_loss: 0.4453, e_total_loss: 0.8915, e_dis_loss: 0.3267, d_total_loss: 0.0236, d_dis_loss: 1.5388, attack_loss: 0.0307
[2699]: fg_loss: 0.4217, e_total_loss: 0.8797, e_dis_loss: 0.2938, d_total_loss: 0.0217, d_dis_loss: 1.4814, attack_loss: 0.0313
[2799]: fg_loss: 0.4043, e_total_loss: 0.8996, e_dis_loss: 0.2923, d_total_loss: 0.0230, d_dis_loss: 1.5267, attack_loss: 0.0305
[2899]: fg_loss: 0.3791, e_total_loss: 0.8969, e_dis_loss: 0.2868, d_total_loss: 0.0225, d_dis_loss: 1.5175, attack_loss: 0.0279
[2999]: fg_loss: 0.3761, e_total_loss: 0.8697, e_dis_loss: 0.3319, d_total_loss: 0.0230, d_dis_loss: 1.5030, attack_loss: 0.0286
[3099]: fg_loss: 0.3613, e_total_loss: 0.9099, e_dis_loss: 0.2986, d_total_loss: 0.0225, d_dis_loss: 1.5196, attack_loss: 0.0281
[3199]: fg_loss: 0.3401, e_total_loss: 0.8650, e_dis_loss: 0.2970, d_total_loss: 0.0216, d_dis_loss: 1.4906, attack_loss: 0.0296
[3299]: fg_loss: 0.3266, e_total_loss: 0.9483, e_dis_loss: 0.2673, d_total_loss: 0.0230, d_dis_loss: 1.5016, attack_loss: 0.0266
[3399]: fg_loss: 0.3137, e_total_loss: 0.8706, e_dis_loss: 0.2759, d_total_loss: 0.0218, d_dis_loss: 1.4982, attack_loss: 0.0277
[3499]: fg_loss: 0.2972, e_total_loss: 0.9160, e_dis_loss: 0.2355, d_total_loss: 0.0221, d_dis_loss: 1.4744, attack_loss: 0.0280
[3599]: fg_loss: 0.2775, e_total_loss: 0.8800, e_dis_loss: 0.2634, d_total_loss: 0.0207, d_dis_loss: 1.5021, attack_loss: 0.0272
[3699]: fg_loss: 0.2751, e_total_loss: 0.9025, e_dis_loss: 0.2491, d_total_loss: 0.0214, d_dis_loss: 1.4773, attack_loss: 0.0288
[3799]: fg_loss: 0.2483, e_total_loss: 0.9019, e_dis_loss: 0.2390, d_total_loss: 0.0220, d_dis_loss: 1.4917, attack_loss: 0.0270
[3899]: fg_loss: 0.2482, e_total_loss: 0.9435, e_dis_loss: 0.2547, d_total_loss: 0.0213, d_dis_loss: 1.5147, attack_loss: 0.0281
[3999]: fg_loss: 0.2336, e_total_loss: 0.9060, e_dis_loss: 0.2395, d_total_loss: 0.0205, d_dis_loss: 1.4847, attack_loss: 0.0281
[4099]: fg_loss: 0.2257, e_total_loss: 0.9012, e_dis_loss: 0.1767, d_total_loss: 0.0189, d_dis_loss: 1.4843, attack_loss: 0.0278
[4199]: fg_loss: 0.2293, e_total_loss: 0.9187, e_dis_loss: 0.1729, d_total_loss: 0.0195, d_dis_loss: 1.4879, attack_loss: 0.0267
[4299]: fg_loss: 0.2129, e_total_loss: 0.9296, e_dis_loss: 0.1969, d_total_loss: 0.0190, d_dis_loss: 1.5095, attack_loss: 0.0249
[4399]: fg_loss: 0.2054, e_total_loss: 0.8822, e_dis_loss: 0.1745, d_total_loss: 0.0188, d_dis_loss: 1.5232, attack_loss: 0.0264
[4499]: fg_loss: 0.1914, e_total_loss: 0.9284, e_dis_loss: 0.1755, d_total_loss: 0.0192, d_dis_loss: 1.5121, attack_loss: 0.0257
[4599]: fg_loss: 0.1907, e_total_loss: 0.9088, e_dis_loss: 0.1670, d_total_loss: 0.0192, d_dis_loss: 1.5090, attack_loss: 0.0252
[4699]: fg_loss: 0.1696, e_total_loss: 0.9298, e_dis_loss: 0.1510, d_total_loss: 0.0193, d_dis_loss: 1.5287, attack_loss: 0.0256
[4799]: fg_loss: 0.1685, e_total_loss: 0.8828, e_dis_loss: 0.1462, d_total_loss: 0.0191, d_dis_loss: 1.5079, attack_loss: 0.0254
[4899]: fg_loss: 0.1516, e_total_loss: 0.9388, e_dis_loss: 0.1403, d_total_loss: 0.0197, d_dis_loss: 1.5248, attack_loss: 0.0250
[4999]: fg_loss: 0.1911, e_total_loss: 0.9786, e_dis_loss: 0.1346, d_total_loss: 0.0197, d_dis_loss: 1.5153, attack_loss: 0.0255
[5099]: fg_loss: 0.1531, e_total_loss: 0.8853, e_dis_loss: 0.1301, d_total_loss: 0.0194, d_dis_loss: 1.5119, attack_loss: 0.0263
[5199]: fg_loss: 0.1422, e_total_loss: 0.9658, e_dis_loss: 0.1460, d_total_loss: 0.0189, d_dis_loss: 1.5223, attack_loss: 0.0249
[5299]: fg_loss: 0.1387, e_total_loss: 0.9133, e_dis_loss: 0.1059, d_total_loss: 0.0180, d_dis_loss: 1.4916, attack_loss: 0.0259
[5399]: fg_loss: 0.1372, e_total_loss: 0.9231, e_dis_loss: 0.1334, d_total_loss: 0.0180, d_dis_loss: 1.5020, attack_loss: 0.0245
