Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.0}
Start running.
[99]: fg_loss: 1.8323, e_total_loss: 1.9755, e_dis_loss: 0.4281, d_total_loss: 0.0409, d_dis_loss: 1.4651, attack_loss: 0.0744, label_acc: 0.1484
[199]: fg_loss: 1.4398, e_total_loss: 1.6137, e_dis_loss: 0.2294, d_total_loss: 0.0342, d_dis_loss: 1.4758, attack_loss: 0.0735, label_acc: 0.1830
[299]: fg_loss: 1.2549, e_total_loss: 1.4648, e_dis_loss: 0.2717, d_total_loss: 0.0336, d_dis_loss: 1.4783, attack_loss: 0.0768, label_acc: 0.1962
[399]: fg_loss: 1.0988, e_total_loss: 1.3706, e_dis_loss: 0.2746, d_total_loss: 0.0336, d_dis_loss: 1.4493, attack_loss: 0.0901, label_acc: 0.1913
[499]: fg_loss: 1.0073, e_total_loss: 1.3048, e_dis_loss: 0.3199, d_total_loss: 0.0338, d_dis_loss: 1.4592, attack_loss: 0.0907, label_acc: 0.1856
[599]: fg_loss: 0.9351, e_total_loss: 1.2421, e_dis_loss: 0.2979, d_total_loss: 0.0332, d_dis_loss: 1.4626, attack_loss: 0.0884, label_acc: 0.1652
[699]: fg_loss: 0.8710, e_total_loss: 1.1994, e_dis_loss: 0.3003, d_total_loss: 0.0330, d_dis_loss: 1.4602, attack_loss: 0.0937, label_acc: 0.1690
[799]: fg_loss: 0.8107, e_total_loss: 1.1697, e_dis_loss: 0.2553, d_total_loss: 0.0314, d_dis_loss: 1.5189, attack_loss: 0.0899, label_acc: 0.1580
[899]: fg_loss: 0.7517, e_total_loss: 1.1260, e_dis_loss: 0.2200, d_total_loss: 0.0310, d_dis_loss: 1.4310, attack_loss: 0.0920, label_acc: 0.1456
[999]: fg_loss: 0.7221, e_total_loss: 1.1171, e_dis_loss: 0.2070, d_total_loss: 0.0305, d_dis_loss: 1.4953, attack_loss: 0.1014, label_acc: 0.1620
[1099]: fg_loss: 0.6501, e_total_loss: 1.0716, e_dis_loss: 0.2361, d_total_loss: 0.0305, d_dis_loss: 1.4736, attack_loss: 0.0853, label_acc: 0.1630
[1199]: fg_loss: 0.6467, e_total_loss: 1.0741, e_dis_loss: 0.2734, d_total_loss: 0.0321, d_dis_loss: 1.4597, attack_loss: 0.0857, label_acc: 0.1655
[1299]: fg_loss: 0.5965, e_total_loss: 1.0329, e_dis_loss: 0.3035, d_total_loss: 0.0305, d_dis_loss: 1.4777, attack_loss: 0.0829, label_acc: 0.1905
[1399]: fg_loss: 0.5862, e_total_loss: 1.0307, e_dis_loss: 0.3168, d_total_loss: 0.0314, d_dis_loss: 1.4530, attack_loss: 0.0811, label_acc: 0.2000
[1499]: fg_loss: 0.5415, e_total_loss: 1.0302, e_dis_loss: 0.2696, d_total_loss: 0.0311, d_dis_loss: 1.4468, attack_loss: 0.0870, label_acc: 0.2091
[1599]: fg_loss: 0.4978, e_total_loss: 0.9845, e_dis_loss: 0.2293, d_total_loss: 0.0318, d_dis_loss: 1.4446, attack_loss: 0.0849, label_acc: 0.2380
[1699]: fg_loss: 0.4772, e_total_loss: 0.9824, e_dis_loss: 0.2208, d_total_loss: 0.0318, d_dis_loss: 1.4750, attack_loss: 0.0783, label_acc: 0.2371
[1799]: fg_loss: 0.4430, e_total_loss: 0.9638, e_dis_loss: 0.2425, d_total_loss: 0.0318, d_dis_loss: 1.4620, attack_loss: 0.0768, label_acc: 0.2554
[1899]: fg_loss: 0.4320, e_total_loss: 0.9425, e_dis_loss: 0.2202, d_total_loss: 0.0332, d_dis_loss: 1.4723, attack_loss: 0.0812, label_acc: 0.2466
[1999]: fg_loss: 0.3927, e_total_loss: 0.9234, e_dis_loss: 0.1926, d_total_loss: 0.0309, d_dis_loss: 1.4902, attack_loss: 0.0838, label_acc: 0.2702
[2099]: fg_loss: 0.3924, e_total_loss: 0.9291, e_dis_loss: 0.1969, d_total_loss: 0.0319, d_dis_loss: 1.4737, attack_loss: 0.0838, label_acc: 0.2735
[2199]: fg_loss: 0.3518, e_total_loss: 0.9254, e_dis_loss: 0.1890, d_total_loss: 0.0317, d_dis_loss: 1.5161, attack_loss: 0.0810, label_acc: 0.2913
[2299]: fg_loss: 0.3267, e_total_loss: 0.8896, e_dis_loss: 0.1946, d_total_loss: 0.0311, d_dis_loss: 1.4676, attack_loss: 0.0806, label_acc: 0.3160
[2399]: fg_loss: 0.3092, e_total_loss: 0.8864, e_dis_loss: 0.2027, d_total_loss: 0.0322, d_dis_loss: 1.4880, attack_loss: 0.0825, label_acc: 0.3131
[2499]: fg_loss: 0.2715, e_total_loss: 0.8653, e_dis_loss: 0.1724, d_total_loss: 0.0310, d_dis_loss: 1.4517, attack_loss: 0.0876, label_acc: 0.3370
[2599]: fg_loss: 0.2760, e_total_loss: 0.8632, e_dis_loss: 0.1839, d_total_loss: 0.0332, d_dis_loss: 1.5176, attack_loss: 0.0837, label_acc: 0.3429
[2699]: fg_loss: 0.2426, e_total_loss: 0.8403, e_dis_loss: 0.1834, d_total_loss: 0.0318, d_dis_loss: 1.4931, attack_loss: 0.0753, label_acc: 0.3725
[2799]: fg_loss: 0.2377, e_total_loss: 0.8293, e_dis_loss: 0.1850, d_total_loss: 0.0317, d_dis_loss: 1.4414, attack_loss: 0.0717, label_acc: 0.3747
