Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.0}
Start running.
[3299]: fg_loss: 0.1897, e_total_loss: 0.7577, e_dis_loss: 0.1851, d_total_loss: 0.0313, d_dis_loss: 1.4443, attack_loss: 0.0532, label_acc: 0.3073
[3399]: fg_loss: 0.1546, e_total_loss: 0.7434, e_dis_loss: 0.2097, d_total_loss: 0.0318, d_dis_loss: 1.4910, attack_loss: 0.0587, label_acc: 0.3161
[3499]: fg_loss: 0.1566, e_total_loss: 0.6998, e_dis_loss: 0.2065, d_total_loss: 0.0328, d_dis_loss: 1.4573, attack_loss: 0.0539, label_acc: 0.3113
[3599]: fg_loss: 0.1419, e_total_loss: 0.7134, e_dis_loss: 0.2234, d_total_loss: 0.0322, d_dis_loss: 1.4884, attack_loss: 0.0545, label_acc: 0.3378
[3699]: fg_loss: 0.1385, e_total_loss: 0.6964, e_dis_loss: 0.1957, d_total_loss: 0.0315, d_dis_loss: 1.4822, attack_loss: 0.0579, label_acc: 0.3195
[3799]: fg_loss: 0.1218, e_total_loss: 0.7122, e_dis_loss: 0.1884, d_total_loss: 0.0314, d_dis_loss: 1.4678, attack_loss: 0.0519, label_acc: 0.3276
[3899]: fg_loss: 0.1286, e_total_loss: 0.6837, e_dis_loss: 0.1846, d_total_loss: 0.0307, d_dis_loss: 1.4387, attack_loss: 0.0553, label_acc: 0.3298
[3999]: fg_loss: 0.1369, e_total_loss: 0.6734, e_dis_loss: 0.1950, d_total_loss: 0.0306, d_dis_loss: 1.4544, attack_loss: 0.0564, label_acc: 0.3275
[4099]: fg_loss: 0.1157, e_total_loss: 0.6762, e_dis_loss: 0.1919, d_total_loss: 0.0313, d_dis_loss: 1.4815, attack_loss: 0.0512, label_acc: 0.3330
[4199]: fg_loss: 0.0973, e_total_loss: 0.6730, e_dis_loss: 0.1991, d_total_loss: 0.0312, d_dis_loss: 1.4478, attack_loss: 0.0513, label_acc: 0.3502
[4299]: fg_loss: 0.1191, e_total_loss: 0.6854, e_dis_loss: 0.2137, d_total_loss: 0.0313, d_dis_loss: 1.4702, attack_loss: 0.0495, label_acc: 0.3556
[4399]: fg_loss: 0.1082, e_total_loss: 0.6423, e_dis_loss: 0.1940, d_total_loss: 0.0304, d_dis_loss: 1.4434, attack_loss: 0.0506, label_acc: 0.3622
[4499]: fg_loss: 0.1002, e_total_loss: 0.6469, e_dis_loss: 0.1947, d_total_loss: 0.0307, d_dis_loss: 1.4933, attack_loss: 0.0474, label_acc: 0.3712
[4599]: fg_loss: 0.0692, e_total_loss: 0.6327, e_dis_loss: 0.1603, d_total_loss: 0.0299, d_dis_loss: 1.4528, attack_loss: 0.0482, label_acc: 0.3777
[4699]: fg_loss: 0.0747, e_total_loss: 0.5884, e_dis_loss: 0.1686, d_total_loss: 0.0306, d_dis_loss: 1.4175, attack_loss: 0.0450, label_acc: 0.3751
[4799]: fg_loss: 0.0968, e_total_loss: 0.6315, e_dis_loss: 0.1838, d_total_loss: 0.0310, d_dis_loss: 1.5030, attack_loss: 0.0449, label_acc: 0.3770
[4899]: fg_loss: 0.0864, e_total_loss: 0.6008, e_dis_loss: 0.1846, d_total_loss: 0.0293, d_dis_loss: 1.5095, attack_loss: 0.0481, label_acc: 0.3837
[4999]: fg_loss: 0.0919, e_total_loss: 0.6079, e_dis_loss: 0.1872, d_total_loss: 0.0305, d_dis_loss: 1.4491, attack_loss: 0.0448, label_acc: 0.3900
[5099]: fg_loss: 0.0986, e_total_loss: 0.5798, e_dis_loss: 0.1820, d_total_loss: 0.0291, d_dis_loss: 1.4990, attack_loss: 0.0437, label_acc: 0.3932
[5199]: fg_loss: 0.0983, e_total_loss: 0.5870, e_dis_loss: 0.1731, d_total_loss: 0.0298, d_dis_loss: 1.4835, attack_loss: 0.0442, label_acc: 0.3957
[5299]: fg_loss: 0.0778, e_total_loss: 0.5618, e_dis_loss: 0.1700, d_total_loss: 0.0307, d_dis_loss: 1.4601, attack_loss: 0.0426, label_acc: 0.4120
[5399]: fg_loss: 0.0822, e_total_loss: 0.5580, e_dis_loss: 0.1888, d_total_loss: 0.0294, d_dis_loss: 1.4789, attack_loss: 0.0430, label_acc: 0.4072
[5499]: fg_loss: 0.0782, e_total_loss: 0.5514, e_dis_loss: 0.1887, d_total_loss: 0.0300, d_dis_loss: 1.4899, attack_loss: 0.0440, label_acc: 0.4116
[5599]: fg_loss: 0.0823, e_total_loss: 0.5356, e_dis_loss: 0.1679, d_total_loss: 0.0295, d_dis_loss: 1.4781, attack_loss: 0.0413, label_acc: 0.4030
[5699]: fg_loss: 0.0651, e_total_loss: 0.5467, e_dis_loss: 0.1736, d_total_loss: 0.0299, d_dis_loss: 1.4736, attack_loss: 0.0404, label_acc: 0.4115
[5799]: fg_loss: 0.0755, e_total_loss: 0.5290, e_dis_loss: 0.1643, d_total_loss: 0.0301, d_dis_loss: 1.4853, attack_loss: 0.0406, label_acc: 0.4156
[5899]: fg_loss: 0.0728, e_total_loss: 0.5332, e_dis_loss: 0.1628, d_total_loss: 0.0294, d_dis_loss: 1.5112, attack_loss: 0.0408, label_acc: 0.4119
[5999]: fg_loss: 0.0606, e_total_loss: 0.5257, e_dis_loss: 0.1547, d_total_loss: 0.0297, d_dis_loss: 1.4801, attack_loss: 0.0413, label_acc: 0.4188
[6099]: fg_loss: 0.0748, e_total_loss: 0.5195, e_dis_loss: 0.1590, d_total_loss: 0.0290, d_dis_loss: 1.4330, attack_loss: 0.0424, label_acc: 0.4181
[6199]: fg_loss: 0.0689, e_total_loss: 0.5240, e_dis_loss: 0.1730, d_total_loss: 0.0296, d_dis_loss: 1.4744, attack_loss: 0.0391, label_acc: 0.4280
