Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.0}
Start running.
[99]: fg_loss: 1.8171, e_total_loss: 1.9375, e_dis_loss: 0.2582, d_total_loss: 0.0349, d_dis_loss: 1.4215, attack_loss: 0.0766, label_acc: 0.0677
[199]: fg_loss: 1.4215, e_total_loss: 1.6146, e_dis_loss: 0.1231, d_total_loss: 0.0307, d_dis_loss: 1.4111, attack_loss: 0.0734, label_acc: 0.0490
[299]: fg_loss: 1.2763, e_total_loss: 1.4699, e_dis_loss: 0.1623, d_total_loss: 0.0323, d_dis_loss: 1.3709, attack_loss: 0.0791, label_acc: 0.0716
[399]: fg_loss: 1.1320, e_total_loss: 1.3860, e_dis_loss: 0.3213, d_total_loss: 0.0324, d_dis_loss: 1.3867, attack_loss: 0.0819, label_acc: 0.0516
[499]: fg_loss: 1.0667, e_total_loss: 1.3028, e_dis_loss: 0.3513, d_total_loss: 0.0341, d_dis_loss: 1.3800, attack_loss: 0.0768, label_acc: 0.0433
[599]: fg_loss: 0.9838, e_total_loss: 1.2253, e_dis_loss: 0.4364, d_total_loss: 0.0335, d_dis_loss: 1.3981, attack_loss: 0.0843, label_acc: 0.0467
[699]: fg_loss: 0.9309, e_total_loss: 1.1698, e_dis_loss: 0.3059, d_total_loss: 0.0333, d_dis_loss: 1.4281, attack_loss: 0.0886, label_acc: 0.0392
[799]: fg_loss: 0.8666, e_total_loss: 1.1513, e_dis_loss: 0.3196, d_total_loss: 0.0328, d_dis_loss: 1.3901, attack_loss: 0.0960, label_acc: 0.0444
[899]: fg_loss: 0.8214, e_total_loss: 1.1066, e_dis_loss: 0.3143, d_total_loss: 0.0346, d_dis_loss: 1.3870, attack_loss: 0.0923, label_acc: 0.0431
[999]: fg_loss: 0.7856, e_total_loss: 1.1010, e_dis_loss: 0.2394, d_total_loss: 0.0354, d_dis_loss: 1.4143, attack_loss: 0.0925, label_acc: 0.0375
[1099]: fg_loss: 0.7191, e_total_loss: 1.0582, e_dis_loss: 0.2250, d_total_loss: 0.0348, d_dis_loss: 1.3976, attack_loss: 0.0951, label_acc: 0.0383
[1199]: fg_loss: 0.6950, e_total_loss: 1.0606, e_dis_loss: 0.2339, d_total_loss: 0.0333, d_dis_loss: 1.3951, attack_loss: 0.0865, label_acc: 0.0383
[1299]: fg_loss: 0.6488, e_total_loss: 1.0360, e_dis_loss: 0.2615, d_total_loss: 0.0340, d_dis_loss: 1.3507, attack_loss: 0.0901, label_acc: 0.0345
[1399]: fg_loss: 0.6374, e_total_loss: 0.9935, e_dis_loss: 0.2186, d_total_loss: 0.0339, d_dis_loss: 1.4042, attack_loss: 0.0885, label_acc: 0.0430
[1499]: fg_loss: 0.5792, e_total_loss: 0.9835, e_dis_loss: 0.2174, d_total_loss: 0.0334, d_dis_loss: 1.4022, attack_loss: 0.0980, label_acc: 0.0427
[1599]: fg_loss: 0.5437, e_total_loss: 0.9528, e_dis_loss: 0.1966, d_total_loss: 0.0340, d_dis_loss: 1.3736, attack_loss: 0.0907, label_acc: 0.0377
[1699]: fg_loss: 0.5257, e_total_loss: 0.9510, e_dis_loss: 0.2024, d_total_loss: 0.0329, d_dis_loss: 1.3897, attack_loss: 0.0844, label_acc: 0.0434
[1799]: fg_loss: 0.4812, e_total_loss: 0.9397, e_dis_loss: 0.2149, d_total_loss: 0.0324, d_dis_loss: 1.3755, attack_loss: 0.0913, label_acc: 0.0427
[1899]: fg_loss: 0.4665, e_total_loss: 0.8992, e_dis_loss: 0.1890, d_total_loss: 0.0326, d_dis_loss: 1.4161, attack_loss: 0.0971, label_acc: 0.0432
[1999]: fg_loss: 0.4399, e_total_loss: 0.9121, e_dis_loss: 0.1681, d_total_loss: 0.0323, d_dis_loss: 1.4193, attack_loss: 0.0924, label_acc: 0.0398
[2099]: fg_loss: 0.4239, e_total_loss: 0.9101, e_dis_loss: 0.1572, d_total_loss: 0.0323, d_dis_loss: 1.3802, attack_loss: 0.0940, label_acc: 0.0466
[2199]: fg_loss: 0.3857, e_total_loss: 0.8924, e_dis_loss: 0.1806, d_total_loss: 0.0323, d_dis_loss: 1.4244, attack_loss: 0.0921, label_acc: 0.0304
[2299]: fg_loss: 0.3610, e_total_loss: 0.8714, e_dis_loss: 0.1694, d_total_loss: 0.0320, d_dis_loss: 1.3630, attack_loss: 0.1007, label_acc: 0.0276
[2399]: fg_loss: 0.3434, e_total_loss: 0.8472, e_dis_loss: 0.1753, d_total_loss: 0.0329, d_dis_loss: 1.3886, attack_loss: 0.0977, label_acc: 0.0317
[2499]: fg_loss: 0.3131, e_total_loss: 0.8567, e_dis_loss: 0.1315, d_total_loss: 0.0307, d_dis_loss: 1.4253, attack_loss: 0.1014, label_acc: 0.0279
[2599]: fg_loss: 0.2895, e_total_loss: 0.8323, e_dis_loss: 0.1465, d_total_loss: 0.0319, d_dis_loss: 1.3665, attack_loss: 0.1053, label_acc: 0.0342
[2699]: fg_loss: 0.2646, e_total_loss: 0.8265, e_dis_loss: 0.1361, d_total_loss: 0.0313, d_dis_loss: 1.3796, attack_loss: 0.1013, label_acc: 0.0338
[2799]: fg_loss: 0.2613, e_total_loss: 0.8025, e_dis_loss: 0.1259, d_total_loss: 0.0307, d_dis_loss: 1.3854, attack_loss: 0.1000, label_acc: 0.0309
[2899]: fg_loss: 0.2473, e_total_loss: 0.8083, e_dis_loss: 0.1267, d_total_loss: 0.0320, d_dis_loss: 1.3739, attack_loss: 0.0999, label_acc: 0.0314
[2999]: fg_loss: 0.2347, e_total_loss: 0.7990, e_dis_loss: 0.1266, d_total_loss: 0.0315, d_dis_loss: 1.3855, attack_loss: 0.0956, label_acc: 0.0266
[3099]: fg_loss: 0.2219, e_total_loss: 0.7849, e_dis_loss: 0.1279, d_total_loss: 0.0322, d_dis_loss: 1.3671, attack_loss: 0.0998, label_acc: 0.0461
[3199]: fg_loss: 0.1949, e_total_loss: 0.7860, e_dis_loss: 0.1211, d_total_loss: 0.0314, d_dis_loss: 1.4150, attack_loss: 0.0977, label_acc: 0.0366
[3299]: fg_loss: 0.1888, e_total_loss: 0.7628, e_dis_loss: 0.1279, d_total_loss: 0.0318, d_dis_loss: 1.3908, attack_loss: 0.1038, label_acc: 0.0379
[3399]: fg_loss: 0.1896, e_total_loss: 0.7312, e_dis_loss: 0.1311, d_total_loss: 0.0314, d_dis_loss: 1.4014, attack_loss: 0.1021, label_acc: 0.0285
