Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[3799]: fg_loss: 0.1217, e_total_loss: 0.2880, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 0.0000, attack_loss: 0.0691
[3899]: fg_loss: 0.1111, e_total_loss: 0.3256, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 0.0000, attack_loss: 0.0692
[3999]: fg_loss: 0.1074, e_total_loss: 0.2568, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 0.0000, attack_loss: 0.0686
[4099]: fg_loss: 0.1049, e_total_loss: 0.2458, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0658
[4199]: fg_loss: 0.0943, e_total_loss: 0.2420, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0673
[4299]: fg_loss: 0.1020, e_total_loss: 0.2491, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0695
[4399]: fg_loss: 0.0974, e_total_loss: 0.2471, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0682
[4499]: fg_loss: 0.0979, e_total_loss: 0.2202, e_dis_loss: 0.0000, d_total_loss: 0.0155, d_dis_loss: 0.0000, attack_loss: 0.0693
[4599]: fg_loss: 0.0909, e_total_loss: 0.2175, e_dis_loss: 0.0000, d_total_loss: 0.0156, d_dis_loss: 0.0000, attack_loss: 0.0642
[4699]: fg_loss: 0.1031, e_total_loss: 0.2195, e_dis_loss: 0.0000, d_total_loss: 0.0156, d_dis_loss: 0.0000, attack_loss: 0.0671
[4799]: fg_loss: 0.0905, e_total_loss: 0.1933, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0696
[4899]: fg_loss: 0.0841, e_total_loss: 0.1936, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0698
[4999]: fg_loss: 0.0969, e_total_loss: 0.2085, e_dis_loss: 0.0000, d_total_loss: 0.0154, d_dis_loss: 0.0000, attack_loss: 0.0668
[5099]: fg_loss: 0.0919, e_total_loss: 0.1734, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 0.0000, attack_loss: 0.0640
[5199]: fg_loss: 0.0940, e_total_loss: 0.2008, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0643
[5299]: fg_loss: 0.0711, e_total_loss: 0.1681, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 0.0000, attack_loss: 0.0665
[5399]: fg_loss: 0.0765, e_total_loss: 0.1936, e_dis_loss: 0.0000, d_total_loss: 0.0158, d_dis_loss: 0.0000, attack_loss: 0.0669
[5499]: fg_loss: 0.0895, e_total_loss: 0.1794, e_dis_loss: 0.0000, d_total_loss: 0.0155, d_dis_loss: 0.0000, attack_loss: 0.0665
[5599]: fg_loss: 0.0830, e_total_loss: 0.1620, e_dis_loss: 0.0000, d_total_loss: 0.0157, d_dis_loss: 0.0000, attack_loss: 0.0665
[5699]: fg_loss: 0.0701, e_total_loss: 0.1537, e_dis_loss: 0.0000, d_total_loss: 0.0154, d_dis_loss: 0.0000, attack_loss: 0.0683
[5799]: fg_loss: 0.0732, e_total_loss: 0.1602, e_dis_loss: 0.0000, d_total_loss: 0.0159, d_dis_loss: 0.0000, attack_loss: 0.0690
