Start usl/plainnet experiments on cifar10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.1, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8278, e_total_loss: 2.3058, e_dis_loss: 1.5123, d_total_loss: 0.0614, d_dis_loss: 1.3856, attack_loss: 0.0751, label_acc: 0.1115
[199]: fg_loss: 1.5609, e_total_loss: 2.0952, e_dis_loss: 1.3729, d_total_loss: 0.0531, d_dis_loss: 1.3000, attack_loss: 0.0712, label_acc: 0.1430
[299]: fg_loss: 1.4162, e_total_loss: 1.9229, e_dis_loss: 1.1056, d_total_loss: 0.0539, d_dis_loss: 1.3191, attack_loss: 0.0588, label_acc: 0.1531
[399]: fg_loss: 1.3127, e_total_loss: 1.8575, e_dis_loss: 1.0436, d_total_loss: 0.0557, d_dis_loss: 1.3293, attack_loss: 0.0633, label_acc: 0.1938
[499]: fg_loss: 1.2320, e_total_loss: 1.8293, e_dis_loss: 0.8971, d_total_loss: 0.0559, d_dis_loss: 1.3213, attack_loss: 0.0644, label_acc: 0.2107
[599]: fg_loss: 1.1524, e_total_loss: 1.8168, e_dis_loss: 0.7236, d_total_loss: 0.0559, d_dis_loss: 1.3065, attack_loss: 0.0608, label_acc: 0.2261
[699]: fg_loss: 1.0789, e_total_loss: 1.7678, e_dis_loss: 0.7772, d_total_loss: 0.0563, d_dis_loss: 1.2935, attack_loss: 0.0599, label_acc: 0.2558
[799]: fg_loss: 1.0204, e_total_loss: 1.7592, e_dis_loss: 0.6613, d_total_loss: 0.0556, d_dis_loss: 1.3334, attack_loss: 0.0621, label_acc: 0.2686
[899]: fg_loss: 0.9704, e_total_loss: 1.6973, e_dis_loss: 0.5697, d_total_loss: 0.0555, d_dis_loss: 1.3067, attack_loss: 0.0606, label_acc: 0.3041
[999]: fg_loss: 0.9238, e_total_loss: 1.6873, e_dis_loss: 0.5228, d_total_loss: 0.0540, d_dis_loss: 1.3364, attack_loss: 0.0596, label_acc: 0.3477
[1099]: fg_loss: 0.8547, e_total_loss: 1.6870, e_dis_loss: 0.4768, d_total_loss: 0.0532, d_dis_loss: 1.3846, attack_loss: 0.0598, label_acc: 0.4165
[1199]: fg_loss: 0.8334, e_total_loss: 1.6126, e_dis_loss: 0.4758, d_total_loss: 0.0514, d_dis_loss: 1.3105, attack_loss: 0.0547, label_acc: 0.4984
[1299]: fg_loss: 0.7871, e_total_loss: 1.6211, e_dis_loss: 0.4195, d_total_loss: 0.0504, d_dis_loss: 1.3338, attack_loss: 0.0544, label_acc: 0.5723
[1399]: fg_loss: 0.7585, e_total_loss: 1.5732, e_dis_loss: 0.4589, d_total_loss: 0.0515, d_dis_loss: 1.3410, attack_loss: 0.0533, label_acc: 0.6210
[1499]: fg_loss: 0.7193, e_total_loss: 1.5706, e_dis_loss: 0.5489, d_total_loss: 0.0505, d_dis_loss: 1.3418, attack_loss: 0.0524, label_acc: 0.6645
[1599]: fg_loss: 0.6788, e_total_loss: 1.5135, e_dis_loss: 0.4217, d_total_loss: 0.0495, d_dis_loss: 1.3656, attack_loss: 0.0527, label_acc: 0.6987
[1699]: fg_loss: 0.6705, e_total_loss: 1.5338, e_dis_loss: 0.4539, d_total_loss: 0.0511, d_dis_loss: 1.3608, attack_loss: 0.0525, label_acc: 0.7117
[1799]: fg_loss: 0.6186, e_total_loss: 1.4981, e_dis_loss: 0.4120, d_total_loss: 0.0493, d_dis_loss: 1.3611, attack_loss: 0.0522, label_acc: 0.7341
[1899]: fg_loss: 0.6030, e_total_loss: 1.4571, e_dis_loss: 0.4240, d_total_loss: 0.0481, d_dis_loss: 1.3608, attack_loss: 0.0511, label_acc: 0.7415
