Start experiments on cifar10 at level=5 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[99]: fg_loss: 1.7562, e_total_loss: 2.2085, e_dis_loss: 0.5077, d_total_loss: 0.0338, d_dis_loss: 1.5306, attack_loss: 0.0909, label_acc: 0.1026
[199]: fg_loss: 1.3755, e_total_loss: 2.0605, e_dis_loss: 0.4524, d_total_loss: 0.0262, d_dis_loss: 1.4671, attack_loss: 0.0697, label_acc: 0.0659
[299]: fg_loss: 1.2201, e_total_loss: 2.0159, e_dis_loss: 0.5560, d_total_loss: 0.0286, d_dis_loss: 1.4783, attack_loss: 0.0710, label_acc: 0.0482
[399]: fg_loss: 1.0950, e_total_loss: 1.9667, e_dis_loss: 0.6349, d_total_loss: 0.0282, d_dis_loss: 1.4447, attack_loss: 0.0938, label_acc: 0.0409
[499]: fg_loss: 1.0227, e_total_loss: 1.9335, e_dis_loss: 0.6116, d_total_loss: 0.0315, d_dis_loss: 1.4495, attack_loss: 0.0988, label_acc: 0.0433
[599]: fg_loss: 0.9464, e_total_loss: 1.8974, e_dis_loss: 0.4777, d_total_loss: 0.0300, d_dis_loss: 1.4948, attack_loss: 0.1140, label_acc: 0.0484
[699]: fg_loss: 0.8880, e_total_loss: 1.8892, e_dis_loss: 0.4487, d_total_loss: 0.0299, d_dis_loss: 1.4211, attack_loss: 0.1123, label_acc: 0.0388
[799]: fg_loss: 0.8251, e_total_loss: 1.8977, e_dis_loss: 0.4421, d_total_loss: 0.0271, d_dis_loss: 1.4333, attack_loss: 0.1037, label_acc: 0.0430
[899]: fg_loss: 0.7770, e_total_loss: 1.8622, e_dis_loss: 0.3993, d_total_loss: 0.0281, d_dis_loss: 1.5010, attack_loss: 0.1105, label_acc: 0.0580
[999]: fg_loss: 0.7301, e_total_loss: 1.8682, e_dis_loss: 0.4245, d_total_loss: 0.0281, d_dis_loss: 1.4497, attack_loss: 0.1078, label_acc: 0.0678
[1099]: fg_loss: 0.6765, e_total_loss: 1.8343, e_dis_loss: 0.3791, d_total_loss: 0.0276, d_dis_loss: 1.4391, attack_loss: 0.1091, label_acc: 0.0822
[1199]: fg_loss: 0.6399, e_total_loss: 1.8558, e_dis_loss: 0.3055, d_total_loss: 0.0286, d_dis_loss: 1.3965, attack_loss: 0.0979, label_acc: 0.0857
[1299]: fg_loss: 0.6262, e_total_loss: 1.8194, e_dis_loss: 0.2795, d_total_loss: 0.0275, d_dis_loss: 1.3926, attack_loss: 0.0970, label_acc: 0.0938
