Start usl/plainnet experiments on cifar10 at l6 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.1, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8911, e_total_loss: 2.2646, e_dis_loss: 1.0921, d_total_loss: 0.0538, d_dis_loss: 1.4577, attack_loss: 0.0774, label_acc: 0.1194
[199]: fg_loss: 1.5672, e_total_loss: 2.1088, e_dis_loss: 0.9722, d_total_loss: 0.0492, d_dis_loss: 1.4448, attack_loss: 0.0723, label_acc: 0.1230
[299]: fg_loss: 1.4535, e_total_loss: 2.0242, e_dis_loss: 0.8230, d_total_loss: 0.0508, d_dis_loss: 1.4454, attack_loss: 0.0589, label_acc: 0.1339
[399]: fg_loss: 1.3203, e_total_loss: 1.9975, e_dis_loss: 0.7557, d_total_loss: 0.0503, d_dis_loss: 1.4441, attack_loss: 0.0564, label_acc: 0.1543
[499]: fg_loss: 1.2393, e_total_loss: 1.9412, e_dis_loss: 0.7405, d_total_loss: 0.0517, d_dis_loss: 1.4617, attack_loss: 0.0556, label_acc: 0.1830
[599]: fg_loss: 1.1409, e_total_loss: 1.9279, e_dis_loss: 0.4878, d_total_loss: 0.0513, d_dis_loss: 1.5017, attack_loss: 0.0595, label_acc: 0.2263
[699]: fg_loss: 1.0744, e_total_loss: 1.8815, e_dis_loss: 0.4228, d_total_loss: 0.0526, d_dis_loss: 1.4590, attack_loss: 0.0587, label_acc: 0.2691
[799]: fg_loss: 1.0035, e_total_loss: 1.8522, e_dis_loss: 0.4451, d_total_loss: 0.0536, d_dis_loss: 1.5026, attack_loss: 0.0552, label_acc: 0.3207
[899]: fg_loss: 0.9657, e_total_loss: 1.8527, e_dis_loss: 0.3518, d_total_loss: 0.0534, d_dis_loss: 1.5167, attack_loss: 0.0535, label_acc: 0.3940
[999]: fg_loss: 0.9196, e_total_loss: 1.7735, e_dis_loss: 0.3124, d_total_loss: 0.0517, d_dis_loss: 1.5136, attack_loss: 0.0517, label_acc: 0.4845
[1099]: fg_loss: 0.8405, e_total_loss: 1.6989, e_dis_loss: 0.3594, d_total_loss: 0.0511, d_dis_loss: 1.5223, attack_loss: 0.0508, label_acc: 0.5727
[1199]: fg_loss: 0.8265, e_total_loss: 1.7128, e_dis_loss: 0.3714, d_total_loss: 0.0496, d_dis_loss: 1.5200, attack_loss: 0.0515, label_acc: 0.6277
[1299]: fg_loss: 0.7946, e_total_loss: 1.6293, e_dis_loss: 0.3857, d_total_loss: 0.0467, d_dis_loss: 1.5005, attack_loss: 0.0490, label_acc: 0.6550
[1399]: fg_loss: 0.7549, e_total_loss: 1.5955, e_dis_loss: 0.3727, d_total_loss: 0.0474, d_dis_loss: 1.4829, attack_loss: 0.0513, label_acc: 0.6880
[1499]: fg_loss: 0.7167, e_total_loss: 1.5928, e_dis_loss: 0.3945, d_total_loss: 0.0484, d_dis_loss: 1.4791, attack_loss: 0.0487, label_acc: 0.7114
[1599]: fg_loss: 0.6820, e_total_loss: 1.5686, e_dis_loss: 0.3714, d_total_loss: 0.0464, d_dis_loss: 1.4733, attack_loss: 0.0494, label_acc: 0.7216
[1699]: fg_loss: 0.6758, e_total_loss: 1.5497, e_dis_loss: 0.3155, d_total_loss: 0.0464, d_dis_loss: 1.4817, attack_loss: 0.0484, label_acc: 0.7355
[1799]: fg_loss: 0.6218, e_total_loss: 1.5047, e_dis_loss: 0.3454, d_total_loss: 0.0447, d_dis_loss: 1.4694, attack_loss: 0.0466, label_acc: 0.7620
[1899]: fg_loss: 0.6179, e_total_loss: 1.5211, e_dis_loss: 0.2946, d_total_loss: 0.0449, d_dis_loss: 1.4728, attack_loss: 0.0459, label_acc: 0.7667
[1999]: fg_loss: 0.5736, e_total_loss: 1.5074, e_dis_loss: 0.3334, d_total_loss: 0.0461, d_dis_loss: 1.4993, attack_loss: 0.0458, label_acc: 0.7852
[2099]: fg_loss: 0.5608, e_total_loss: 1.4978, e_dis_loss: 0.3821, d_total_loss: 0.0448, d_dis_loss: 1.4869, attack_loss: 0.0459, label_acc: 0.7939
[2199]: fg_loss: 0.5454, e_total_loss: 1.4795, e_dis_loss: 0.3980, d_total_loss: 0.0467, d_dis_loss: 1.4875, attack_loss: 0.0441, label_acc: 0.7882
[2299]: fg_loss: 0.5214, e_total_loss: 1.4633, e_dis_loss: 0.4110, d_total_loss: 0.0452, d_dis_loss: 1.4831, attack_loss: 0.0449, label_acc: 0.8095
[2399]: fg_loss: 0.5032, e_total_loss: 1.4646, e_dis_loss: 0.3597, d_total_loss: 0.0444, d_dis_loss: 1.4868, attack_loss: 0.0438, label_acc: 0.8131
[2499]: fg_loss: 0.4656, e_total_loss: 1.4657, e_dis_loss: 0.3107, d_total_loss: 0.0430, d_dis_loss: 1.4662, attack_loss: 0.0442, label_acc: 0.8304
[2599]: fg_loss: 0.4550, e_total_loss: 1.4263, e_dis_loss: 0.3803, d_total_loss: 0.0444, d_dis_loss: 1.4948, attack_loss: 0.0441, label_acc: 0.8251
[2699]: fg_loss: 0.4399, e_total_loss: 1.4557, e_dis_loss: 0.3097, d_total_loss: 0.0429, d_dis_loss: 1.4942, attack_loss: 0.0432, label_acc: 0.8287
[2799]: fg_loss: 0.4200, e_total_loss: 1.4467, e_dis_loss: 0.4073, d_total_loss: 0.0439, d_dis_loss: 1.4645, attack_loss: 0.0434, label_acc: 0.8423
[2899]: fg_loss: 0.4113, e_total_loss: 1.4188, e_dis_loss: 0.3357, d_total_loss: 0.0431, d_dis_loss: 1.4905, attack_loss: 0.0427, label_acc: 0.8374
[2999]: fg_loss: 0.3861, e_total_loss: 1.3893, e_dis_loss: 0.3111, d_total_loss: 0.0423, d_dis_loss: 1.4848, attack_loss: 0.0421, label_acc: 0.8476
[3099]: fg_loss: 0.3700, e_total_loss: 1.4235, e_dis_loss: 0.3583, d_total_loss: 0.0442, d_dis_loss: 1.4989, attack_loss: 0.0418, label_acc: 0.8466
[3199]: fg_loss: 0.3607, e_total_loss: 1.4401, e_dis_loss: 0.3630, d_total_loss: 0.0434, d_dis_loss: 1.4667, attack_loss: 0.0424, label_acc: 0.8486
