Start experiments on cifar10 at level=6 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[3299]: fg_loss: 0.1652, e_total_loss: 1.5770, e_dis_loss: 0.2904, d_total_loss: 0.0233, d_dis_loss: 1.5318, attack_loss: 0.0549, label_acc: 0.7176
[3399]: fg_loss: 0.1579, e_total_loss: 1.5485, e_dis_loss: 0.3547, d_total_loss: 0.0227, d_dis_loss: 1.4777, attack_loss: 0.0559, label_acc: 0.7891
[3499]: fg_loss: 0.1482, e_total_loss: 1.5391, e_dis_loss: 0.3681, d_total_loss: 0.0228, d_dis_loss: 1.5361, attack_loss: 0.0462, label_acc: 0.8540
[3599]: fg_loss: 0.1473, e_total_loss: 1.5451, e_dis_loss: 0.3666, d_total_loss: 0.0233, d_dis_loss: 1.5033, attack_loss: 0.0480, label_acc: 0.8723
[3699]: fg_loss: 0.1364, e_total_loss: 1.5248, e_dis_loss: 0.3411, d_total_loss: 0.0229, d_dis_loss: 1.5016, attack_loss: 0.0426, label_acc: 0.8862
[3799]: fg_loss: 0.1286, e_total_loss: 1.5225, e_dis_loss: 0.3843, d_total_loss: 0.0219, d_dis_loss: 1.5564, attack_loss: 0.0430, label_acc: 0.8988
[3899]: fg_loss: 0.1194, e_total_loss: 1.5275, e_dis_loss: 0.4069, d_total_loss: 0.0218, d_dis_loss: 1.5067, attack_loss: 0.0453, label_acc: 0.9118
[3999]: fg_loss: 0.1290, e_total_loss: 1.5173, e_dis_loss: 0.4170, d_total_loss: 0.0214, d_dis_loss: 1.5209, attack_loss: 0.0434, label_acc: 0.9038
[4099]: fg_loss: 0.1126, e_total_loss: 1.4818, e_dis_loss: 0.3789, d_total_loss: 0.0222, d_dis_loss: 1.4610, attack_loss: 0.0496, label_acc: 0.9298
[4199]: fg_loss: 0.1068, e_total_loss: 1.4756, e_dis_loss: 0.3372, d_total_loss: 0.0213, d_dis_loss: 1.5163, attack_loss: 0.0424, label_acc: 0.9328
[4299]: fg_loss: 0.1120, e_total_loss: 1.4945, e_dis_loss: 0.3447, d_total_loss: 0.0211, d_dis_loss: 1.5064, attack_loss: 0.0419, label_acc: 0.9263
[4399]: fg_loss: 0.1100, e_total_loss: 1.4718, e_dis_loss: 0.2826, d_total_loss: 0.0193, d_dis_loss: 1.4966, attack_loss: 0.0405, label_acc: 0.9355
[4499]: fg_loss: 0.1077, e_total_loss: 1.4783, e_dis_loss: 0.3328, d_total_loss: 0.0198, d_dis_loss: 1.5116, attack_loss: 0.0372, label_acc: 0.9340
[4599]: fg_loss: 0.0904, e_total_loss: 1.4796, e_dis_loss: 0.3615, d_total_loss: 0.0196, d_dis_loss: 1.4661, attack_loss: 0.0422, label_acc: 0.9405
[4699]: fg_loss: 0.0922, e_total_loss: 1.4696, e_dis_loss: 0.2821, d_total_loss: 0.0203, d_dis_loss: 1.4690, attack_loss: 0.0386, label_acc: 0.9397
[4799]: fg_loss: 0.0936, e_total_loss: 1.4809, e_dis_loss: 0.3103, d_total_loss: 0.0195, d_dis_loss: 1.5187, attack_loss: 0.0372, label_acc: 0.9370
[4899]: fg_loss: 0.0941, e_total_loss: 1.4549, e_dis_loss: 0.3329, d_total_loss: 0.0188, d_dis_loss: 1.4996, attack_loss: 0.0364, label_acc: 0.9435
[4999]: fg_loss: 0.0994, e_total_loss: 1.4772, e_dis_loss: 0.3838, d_total_loss: 0.0194, d_dis_loss: 1.5070, attack_loss: 0.0358, label_acc: 0.9337
[5099]: fg_loss: 0.0792, e_total_loss: 1.4519, e_dis_loss: 0.3496, d_total_loss: 0.0184, d_dis_loss: 1.4751, attack_loss: 0.0359, label_acc: 0.9460
[5199]: fg_loss: 0.0878, e_total_loss: 1.4730, e_dis_loss: 0.4280, d_total_loss: 0.0197, d_dis_loss: 1.5112, attack_loss: 0.0349, label_acc: 0.9341
[5299]: fg_loss: 0.0785, e_total_loss: 1.4833, e_dis_loss: 0.3867, d_total_loss: 0.0204, d_dis_loss: 1.5007, attack_loss: 0.0347, label_acc: 0.9521
[5399]: fg_loss: 0.0931, e_total_loss: 1.4577, e_dis_loss: 0.3615, d_total_loss: 0.0191, d_dis_loss: 1.5189, attack_loss: 0.0321, label_acc: 0.9430
[5499]: fg_loss: 0.0807, e_total_loss: 1.4541, e_dis_loss: 0.3170, d_total_loss: 0.0184, d_dis_loss: 1.5039, attack_loss: 0.0306, label_acc: 0.9475
[5599]: fg_loss: 0.0798, e_total_loss: 1.4297, e_dis_loss: 0.3599, d_total_loss: 0.0193, d_dis_loss: 1.4713, attack_loss: 0.0328, label_acc: 0.9505
[5699]: fg_loss: 0.0889, e_total_loss: 1.4488, e_dis_loss: 0.3231, d_total_loss: 0.0197, d_dis_loss: 1.4900, attack_loss: 0.0320, label_acc: 0.9366
[5799]: fg_loss: 0.0786, e_total_loss: 1.4257, e_dis_loss: 0.3078, d_total_loss: 0.0182, d_dis_loss: 1.4987, attack_loss: 0.0342, label_acc: 0.9513
[5899]: fg_loss: 0.0664, e_total_loss: 1.4245, e_dis_loss: 0.3012, d_total_loss: 0.0190, d_dis_loss: 1.5085, attack_loss: 0.0297, label_acc: 0.9553
[5999]: fg_loss: 0.0651, e_total_loss: 1.4527, e_dis_loss: 0.2849, d_total_loss: 0.0185, d_dis_loss: 1.4797, attack_loss: 0.0279, label_acc: 0.9545
[6099]: fg_loss: 0.0632, e_total_loss: 1.4406, e_dis_loss: 0.3188, d_total_loss: 0.0179, d_dis_loss: 1.5154, attack_loss: 0.0297, label_acc: 0.9588
[6199]: fg_loss: 0.0595, e_total_loss: 1.4407, e_dis_loss: 0.3162, d_total_loss: 0.0179, d_dis_loss: 1.4994, attack_loss: 0.0293, label_acc: 0.9560
[6299]: fg_loss: 0.0575, e_total_loss: 1.4525, e_dis_loss: 0.3469, d_total_loss: 0.0190, d_dis_loss: 1.4898, attack_loss: 0.0338, label_acc: 0.9652
[6399]: fg_loss: 0.0643, e_total_loss: 1.4290, e_dis_loss: 0.3340, d_total_loss: 0.0181, d_dis_loss: 1.4847, attack_loss: 0.0312, label_acc: 0.9601
[6499]: fg_loss: 0.0751, e_total_loss: 1.4457, e_dis_loss: 0.3357, d_total_loss: 0.0185, d_dis_loss: 1.4906, attack_loss: 0.0376, label_acc: 0.9591
[6599]: fg_loss: 0.0705, e_total_loss: 1.4314, e_dis_loss: 0.3476, d_total_loss: 0.0183, d_dis_loss: 1.4792, attack_loss: 0.0339, label_acc: 0.9606
[6699]: fg_loss: 0.0729, e_total_loss: 1.4279, e_dis_loss: 0.2942, d_total_loss: 0.0183, d_dis_loss: 1.4700, attack_loss: 0.0298, label_acc: 0.9557
[6799]: fg_loss: 0.0747, e_total_loss: 1.4397, e_dis_loss: 0.3547, d_total_loss: 0.0185, d_dis_loss: 1.4759, attack_loss: 0.0328, label_acc: 0.9585
[6899]: fg_loss: 0.0630, e_total_loss: 1.4181, e_dis_loss: 0.3793, d_total_loss: 0.0187, d_dis_loss: 1.4889, attack_loss: 0.0295, label_acc: 0.9584
[6999]: fg_loss: 0.0581, e_total_loss: 1.4274, e_dis_loss: 0.3385, d_total_loss: 0.0183, d_dis_loss: 1.4791, attack_loss: 0.0279, label_acc: 0.9588
[7099]: fg_loss: 0.0529, e_total_loss: 1.4443, e_dis_loss: 0.3091, d_total_loss: 0.0179, d_dis_loss: 1.4700, attack_loss: 0.0311, label_acc: 0.9669
[7199]: fg_loss: 0.0501, e_total_loss: 1.4465, e_dis_loss: 0.2731, d_total_loss: 0.0185, d_dis_loss: 1.4890, attack_loss: 0.0288, label_acc: 0.9627
[7299]: fg_loss: 0.0716, e_total_loss: 1.4097, e_dis_loss: 0.3151, d_total_loss: 0.0190, d_dis_loss: 1.4927, attack_loss: 0.0252, label_acc: 0.9555
[7399]: fg_loss: 0.0723, e_total_loss: 1.4210, e_dis_loss: 0.2560, d_total_loss: 0.0191, d_dis_loss: 1.4925, attack_loss: 0.0262, label_acc: 0.9502
[7499]: fg_loss: 0.0671, e_total_loss: 1.4069, e_dis_loss: 0.2936, d_total_loss: 0.0186, d_dis_loss: 1.4869, attack_loss: 0.0248, label_acc: 0.9573
[7599]: fg_loss: 0.0524, e_total_loss: 1.4250, e_dis_loss: 0.2480, d_total_loss: 0.0180, d_dis_loss: 1.4507, attack_loss: 0.0279, label_acc: 0.9704
[7699]: fg_loss: 0.0428, e_total_loss: 1.4019, e_dis_loss: 0.2836, d_total_loss: 0.0192, d_dis_loss: 1.4949, attack_loss: 0.0273, label_acc: 0.9707
[7799]: fg_loss: 0.0540, e_total_loss: 1.4227, e_dis_loss: 0.2995, d_total_loss: 0.0185, d_dis_loss: 1.4790, attack_loss: 0.0255, label_acc: 0.9701
[7899]: fg_loss: 0.0498, e_total_loss: 1.4358, e_dis_loss: 0.2932, d_total_loss: 0.0178, d_dis_loss: 1.4997, attack_loss: 0.0243, label_acc: 0.9704
[7999]: fg_loss: 0.0567, e_total_loss: 1.4191, e_dis_loss: 0.2843, d_total_loss: 0.0190, d_dis_loss: 1.4767, attack_loss: 0.0245, label_acc: 0.9697
[8099]: fg_loss: 0.0632, e_total_loss: 1.4180, e_dis_loss: 0.3445, d_total_loss: 0.0178, d_dis_loss: 1.4973, attack_loss: 0.0276, label_acc: 0.9670
[8199]: fg_loss: 0.0562, e_total_loss: 1.4091, e_dis_loss: 0.2762, d_total_loss: 0.0182, d_dis_loss: 1.4493, attack_loss: 0.0322, label_acc: 0.9668
[8299]: fg_loss: 0.0571, e_total_loss: 1.4193, e_dis_loss: 0.2894, d_total_loss: 0.0179, d_dis_loss: 1.4880, attack_loss: 0.0276, label_acc: 0.9665
[8399]: fg_loss: 0.0647, e_total_loss: 1.4171, e_dis_loss: 0.3042, d_total_loss: 0.0168, d_dis_loss: 1.4658, attack_loss: 0.0263, label_acc: 0.9648
[8499]: fg_loss: 0.0597, e_total_loss: 1.4084, e_dis_loss: 0.2929, d_total_loss: 0.0186, d_dis_loss: 1.4738, attack_loss: 0.0255, label_acc: 0.9702
[8599]: fg_loss: 0.0472, e_total_loss: 1.4179, e_dis_loss: 0.2603, d_total_loss: 0.0186, d_dis_loss: 1.4611, attack_loss: 0.0258, label_acc: 0.9760
[8699]: fg_loss: 0.0413, e_total_loss: 1.4101, e_dis_loss: 0.2686, d_total_loss: 0.0187, d_dis_loss: 1.4728, attack_loss: 0.0268, label_acc: 0.9748
[8799]: fg_loss: 0.0423, e_total_loss: 1.4059, e_dis_loss: 0.2938, d_total_loss: 0.0184, d_dis_loss: 1.4832, attack_loss: 0.0276, label_acc: 0.9734
[8899]: fg_loss: 0.0393, e_total_loss: 1.3799, e_dis_loss: 0.3141, d_total_loss: 0.0184, d_dis_loss: 1.4996, attack_loss: 0.0259, label_acc: 0.9766
[8999]: fg_loss: 0.0382, e_total_loss: 1.4280, e_dis_loss: 0.2644, d_total_loss: 0.0180, d_dis_loss: 1.4811, attack_loss: 0.0254, label_acc: 0.9812
[9099]: fg_loss: 0.0400, e_total_loss: 1.3950, e_dis_loss: 0.2408, d_total_loss: 0.0181, d_dis_loss: 1.4629, attack_loss: 0.0252, label_acc: 0.9792
[9199]: fg_loss: 0.0454, e_total_loss: 1.3974, e_dis_loss: 0.2650, d_total_loss: 0.0171, d_dis_loss: 1.4887, attack_loss: 0.0294, label_acc: 0.9773
[9299]: fg_loss: 0.0494, e_total_loss: 1.4466, e_dis_loss: 0.2375, d_total_loss: 0.0170, d_dis_loss: 1.4875, attack_loss: 0.0246, label_acc: 0.9707
[9399]: fg_loss: 0.0608, e_total_loss: 1.4201, e_dis_loss: 0.2757, d_total_loss: 0.0172, d_dis_loss: 1.4626, attack_loss: 0.0254, label_acc: 0.9617
[9499]: fg_loss: 0.0573, e_total_loss: 1.4131, e_dis_loss: 0.3132, d_total_loss: 0.0171, d_dis_loss: 1.4903, attack_loss: 0.0235, label_acc: 0.9676
[9599]: fg_loss: 0.0608, e_total_loss: 1.3988, e_dis_loss: 0.2691, d_total_loss: 0.0171, d_dis_loss: 1.4871, attack_loss: 0.0236, label_acc: 0.9698
[9699]: fg_loss: 0.0560, e_total_loss: 1.4023, e_dis_loss: 0.3065, d_total_loss: 0.0171, d_dis_loss: 1.4861, attack_loss: 0.0232, label_acc: 0.9738
[9799]: fg_loss: 0.0579, e_total_loss: 1.4057, e_dis_loss: 0.2862, d_total_loss: 0.0171, d_dis_loss: 1.4634, attack_loss: 0.0228, label_acc: 0.9668
[9899]: fg_loss: 0.0463, e_total_loss: 1.4002, e_dis_loss: 0.2549, d_total_loss: 0.0171, d_dis_loss: 1.4936, attack_loss: 0.0226, label_acc: 0.9721
[9999]: fg_loss: 0.0420, e_total_loss: 1.4045, e_dis_loss: 0.2574, d_total_loss: 0.0167, d_dis_loss: 1.4705, attack_loss: 0.0223, label_acc: 0.9817
[10099]: fg_loss: 0.0467, e_total_loss: 1.3924, e_dis_loss: 0.2766, d_total_loss: 0.0171, d_dis_loss: 1.4594, attack_loss: 0.0237, label_acc: 0.9797
[10199]: fg_loss: 0.0464, e_total_loss: 1.3916, e_dis_loss: 0.2642, d_total_loss: 0.0161, d_dis_loss: 1.4718, attack_loss: 0.0244, label_acc: 0.9780
[10299]: fg_loss: 0.0347, e_total_loss: 1.3979, e_dis_loss: 0.2347, d_total_loss: 0.0161, d_dis_loss: 1.4864, attack_loss: 0.0228, label_acc: 0.9841
[10399]: fg_loss: 0.0365, e_total_loss: 1.3966, e_dis_loss: 0.2655, d_total_loss: 0.0161, d_dis_loss: 1.4710, attack_loss: 0.0233, label_acc: 0.9805
[10499]: fg_loss: 0.0270, e_total_loss: 1.3570, e_dis_loss: 0.2481, d_total_loss: 0.0165, d_dis_loss: 1.4797, attack_loss: 0.0282, label_acc: 0.9819
[10599]: fg_loss: 0.0227, e_total_loss: 1.3964, e_dis_loss: 0.2449, d_total_loss: 0.0160, d_dis_loss: 1.4674, attack_loss: 0.0237, label_acc: 0.9862
