Start usl/plainnet experiments on cifar10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.1, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[3299]: fg_loss: 0.3362, e_total_loss: 1.6661, e_dis_loss: 0.1413, d_total_loss: 0.0522, d_dis_loss: 1.3637, attack_loss: 0.0858, label_acc: 0.0036
[3399]: fg_loss: 0.3223, e_total_loss: 1.6899, e_dis_loss: 0.1325, d_total_loss: 0.0510, d_dis_loss: 1.3366, attack_loss: 0.0837, label_acc: 0.0048
[3499]: fg_loss: 0.2858, e_total_loss: 1.6707, e_dis_loss: 0.1358, d_total_loss: 0.0509, d_dis_loss: 1.3370, attack_loss: 0.0829, label_acc: 0.0047
[3599]: fg_loss: 0.2898, e_total_loss: 1.6562, e_dis_loss: 0.1044, d_total_loss: 0.0517, d_dis_loss: 1.3237, attack_loss: 0.0832, label_acc: 0.0045
[3699]: fg_loss: 0.2821, e_total_loss: 1.6544, e_dis_loss: 0.0814, d_total_loss: 0.0515, d_dis_loss: 1.3543, attack_loss: 0.0825, label_acc: 0.0043
[3799]: fg_loss: 0.2714, e_total_loss: 1.6626, e_dis_loss: 0.1238, d_total_loss: 0.0524, d_dis_loss: 1.3413, attack_loss: 0.0867, label_acc: 0.0041
[3899]: fg_loss: 0.2488, e_total_loss: 1.6693, e_dis_loss: 0.1220, d_total_loss: 0.0521, d_dis_loss: 1.4159, attack_loss: 0.0863, label_acc: 0.0035
[3999]: fg_loss: 0.2641, e_total_loss: 1.6415, e_dis_loss: 0.1359, d_total_loss: 0.0540, d_dis_loss: 1.3707, attack_loss: 0.0783, label_acc: 0.0037
[4099]: fg_loss: 0.2311, e_total_loss: 1.6700, e_dis_loss: 0.1066, d_total_loss: 0.0536, d_dis_loss: 1.3429, attack_loss: 0.0830, label_acc: 0.0037
[4199]: fg_loss: 0.2152, e_total_loss: 1.6288, e_dis_loss: 0.0990, d_total_loss: 0.0523, d_dis_loss: 1.3628, attack_loss: 0.0849, label_acc: 0.0037
[4299]: fg_loss: 0.2336, e_total_loss: 1.6470, e_dis_loss: 0.1098, d_total_loss: 0.0510, d_dis_loss: 1.3134, attack_loss: 0.0793, label_acc: 0.0023
[4399]: fg_loss: 0.2076, e_total_loss: 1.6592, e_dis_loss: 0.0991, d_total_loss: 0.0515, d_dis_loss: 1.3567, attack_loss: 0.0869, label_acc: 0.0018
[4499]: fg_loss: 0.1883, e_total_loss: 1.6373, e_dis_loss: 0.0801, d_total_loss: 0.0527, d_dis_loss: 1.3678, attack_loss: 0.0894, label_acc: 0.0027
[4599]: fg_loss: 0.1905, e_total_loss: 1.6729, e_dis_loss: 0.1089, d_total_loss: 0.0517, d_dis_loss: 1.3842, attack_loss: 0.0890, label_acc: 0.0016
[4699]: fg_loss: 0.1819, e_total_loss: 1.6897, e_dis_loss: 0.0968, d_total_loss: 0.0528, d_dis_loss: 1.3489, attack_loss: 0.0891, label_acc: 0.0023
[4799]: fg_loss: 0.1940, e_total_loss: 1.6442, e_dis_loss: 0.0910, d_total_loss: 0.0535, d_dis_loss: 1.3487, attack_loss: 0.0877, label_acc: 0.0021
[4899]: fg_loss: 0.1906, e_total_loss: 1.6249, e_dis_loss: 0.0730, d_total_loss: 0.0542, d_dis_loss: 1.4185, attack_loss: 0.0826, label_acc: 0.0020
[4999]: fg_loss: 0.1599, e_total_loss: 1.6587, e_dis_loss: 0.0767, d_total_loss: 0.0531, d_dis_loss: 1.3899, attack_loss: 0.0863, label_acc: 0.0021
[5099]: fg_loss: 0.1623, e_total_loss: 1.6452, e_dis_loss: 0.0834, d_total_loss: 0.0521, d_dis_loss: 1.3283, attack_loss: 0.0860, label_acc: 0.0028
[5199]: fg_loss: 0.1625, e_total_loss: 1.6511, e_dis_loss: 0.0801, d_total_loss: 0.0529, d_dis_loss: 1.3134, attack_loss: 0.0820, label_acc: 0.0028
[5299]: fg_loss: 0.1501, e_total_loss: 1.6522, e_dis_loss: 0.0895, d_total_loss: 0.0528, d_dis_loss: 1.3013, attack_loss: 0.0899, label_acc: 0.0014
[5399]: fg_loss: 0.1446, e_total_loss: 1.7350, e_dis_loss: 0.1038, d_total_loss: 0.0537, d_dis_loss: 1.3520, attack_loss: 0.0846, label_acc: 0.0019
[5499]: fg_loss: 0.1394, e_total_loss: 1.6827, e_dis_loss: 0.0819, d_total_loss: 0.0527, d_dis_loss: 1.2788, attack_loss: 0.0870, label_acc: 0.0016
[5599]: fg_loss: 0.1379, e_total_loss: 1.6604, e_dis_loss: 0.0893, d_total_loss: 0.0540, d_dis_loss: 1.4018, attack_loss: 0.0860, label_acc: 0.0033
[5699]: fg_loss: 0.1444, e_total_loss: 1.7205, e_dis_loss: 0.1027, d_total_loss: 0.0531, d_dis_loss: 1.3494, attack_loss: 0.0829, label_acc: 0.0016
[5799]: fg_loss: 0.1259, e_total_loss: 1.7071, e_dis_loss: 0.0899, d_total_loss: 0.0526, d_dis_loss: 1.3696, attack_loss: 0.0853, label_acc: 0.0015
[5899]: fg_loss: 0.1263, e_total_loss: 1.6320, e_dis_loss: 0.0753, d_total_loss: 0.0519, d_dis_loss: 1.3165, attack_loss: 0.0852, label_acc: 0.0015
[5999]: fg_loss: 0.1108, e_total_loss: 1.6813, e_dis_loss: 0.0837, d_total_loss: 0.0522, d_dis_loss: 1.3351, attack_loss: 0.0877, label_acc: 0.0026
