Start experiments on cifar10 at level=3 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[99]: fg_loss: 1.7391, e_total_loss: 2.2619, e_dis_loss: 0.4264, d_total_loss: 0.0535, d_dis_loss: 1.3943, attack_loss: 0.0901, label_acc: 0.1513
[199]: fg_loss: 1.3861, e_total_loss: 2.1132, e_dis_loss: 0.3762, d_total_loss: 0.0252, d_dis_loss: 1.4777, attack_loss: 0.0737, label_acc: 0.2231
[299]: fg_loss: 1.2177, e_total_loss: 2.0556, e_dis_loss: 0.4771, d_total_loss: 0.0236, d_dis_loss: 1.4739, attack_loss: 0.0392, label_acc: 0.2853
[399]: fg_loss: 1.0827, e_total_loss: 1.9789, e_dis_loss: 0.5565, d_total_loss: 0.0181, d_dis_loss: 1.4486, attack_loss: 0.0313, label_acc: 0.3909
[499]: fg_loss: 0.9937, e_total_loss: 1.9208, e_dis_loss: 0.5375, d_total_loss: 0.0149, d_dis_loss: 1.4574, attack_loss: 0.0253, label_acc: 0.4902
[599]: fg_loss: 0.9049, e_total_loss: 1.8489, e_dis_loss: 0.7035, d_total_loss: 0.0164, d_dis_loss: 1.4911, attack_loss: 0.0271, label_acc: 0.5532
[699]: fg_loss: 0.8583, e_total_loss: 1.8296, e_dis_loss: 0.5925, d_total_loss: 0.0157, d_dis_loss: 1.4861, attack_loss: 0.0240, label_acc: 0.6034
[799]: fg_loss: 0.7905, e_total_loss: 1.7479, e_dis_loss: 0.6279, d_total_loss: 0.0131, d_dis_loss: 1.4837, attack_loss: 0.0203, label_acc: 0.6348
[899]: fg_loss: 0.7522, e_total_loss: 1.6983, e_dis_loss: 0.6032, d_total_loss: 0.0127, d_dis_loss: 1.4900, attack_loss: 0.0180, label_acc: 0.6694
[999]: fg_loss: 0.7081, e_total_loss: 1.6969, e_dis_loss: 0.6220, d_total_loss: 0.0114, d_dis_loss: 1.4884, attack_loss: 0.0179, label_acc: 0.6855
[1099]: fg_loss: 0.6458, e_total_loss: 1.6631, e_dis_loss: 0.7701, d_total_loss: 0.0120, d_dis_loss: 1.4832, attack_loss: 0.0167, label_acc: 0.6988
[1199]: fg_loss: 0.6256, e_total_loss: 1.6116, e_dis_loss: 0.7501, d_total_loss: 0.0111, d_dis_loss: 1.4562, attack_loss: 0.0178, label_acc: 0.7289
[1299]: fg_loss: 0.5947, e_total_loss: 1.6335, e_dis_loss: 0.6038, d_total_loss: 0.0093, d_dis_loss: 1.4705, attack_loss: 0.0175, label_acc: 0.7390
[1399]: fg_loss: 0.5664, e_total_loss: 1.6340, e_dis_loss: 0.4852, d_total_loss: 0.0087, d_dis_loss: 1.4707, attack_loss: 0.0161, label_acc: 0.7440
[1499]: fg_loss: 0.5186, e_total_loss: 1.5962, e_dis_loss: 0.6045, d_total_loss: 0.0090, d_dis_loss: 1.4732, attack_loss: 0.0149, label_acc: 0.7745
[1599]: fg_loss: 0.4870, e_total_loss: 1.5865, e_dis_loss: 0.5867, d_total_loss: 0.0097, d_dis_loss: 1.4739, attack_loss: 0.0155, label_acc: 0.7683
[1699]: fg_loss: 0.4749, e_total_loss: 1.5724, e_dis_loss: 0.5714, d_total_loss: 0.0088, d_dis_loss: 1.4590, attack_loss: 0.0149, label_acc: 0.7873
[1799]: fg_loss: 0.4301, e_total_loss: 1.5739, e_dis_loss: 0.5557, d_total_loss: 0.0102, d_dis_loss: 1.4894, attack_loss: 0.0166, label_acc: 0.7970
[1899]: fg_loss: 0.4171, e_total_loss: 1.6165, e_dis_loss: 0.6108, d_total_loss: 0.0094, d_dis_loss: 1.4656, attack_loss: 0.0163, label_acc: 0.7824
[1999]: fg_loss: 0.3748, e_total_loss: 1.5665, e_dis_loss: 0.5634, d_total_loss: 0.0097, d_dis_loss: 1.4775, attack_loss: 0.0170, label_acc: 0.8302
[2099]: fg_loss: 0.3630, e_total_loss: 1.5776, e_dis_loss: 0.6267, d_total_loss: 0.0083, d_dis_loss: 1.4735, attack_loss: 0.0150, label_acc: 0.8191
[2199]: fg_loss: 0.3298, e_total_loss: 1.5864, e_dis_loss: 0.5413, d_total_loss: 0.0083, d_dis_loss: 1.4569, attack_loss: 0.0141, label_acc: 0.8297
[2299]: fg_loss: 0.3217, e_total_loss: 1.5531, e_dis_loss: 0.4823, d_total_loss: 0.0071, d_dis_loss: 1.4709, attack_loss: 0.0125, label_acc: 0.8304
[2399]: fg_loss: 0.2980, e_total_loss: 1.5615, e_dis_loss: 0.5737, d_total_loss: 0.0076, d_dis_loss: 1.4766, attack_loss: 0.0142, label_acc: 0.8491
[2499]: fg_loss: 0.2638, e_total_loss: 1.5705, e_dis_loss: 0.5365, d_total_loss: 0.0069, d_dis_loss: 1.4797, attack_loss: 0.0128, label_acc: 0.8423
[2599]: fg_loss: 0.2556, e_total_loss: 1.5443, e_dis_loss: 0.5292, d_total_loss: 0.0069, d_dis_loss: 1.5029, attack_loss: 0.0144, label_acc: 0.8546
[2699]: fg_loss: 0.2357, e_total_loss: 1.5798, e_dis_loss: 0.4852, d_total_loss: 0.0075, d_dis_loss: 1.4623, attack_loss: 0.0141, label_acc: 0.8491
[2799]: fg_loss: 0.2210, e_total_loss: 1.5251, e_dis_loss: 0.5669, d_total_loss: 0.0069, d_dis_loss: 1.4652, attack_loss: 0.0136, label_acc: 0.8763
[2899]: fg_loss: 0.1941, e_total_loss: 1.5547, e_dis_loss: 0.5274, d_total_loss: 0.0074, d_dis_loss: 1.4557, attack_loss: 0.0147, label_acc: 0.8919
[2999]: fg_loss: 0.1944, e_total_loss: 1.5303, e_dis_loss: 0.4859, d_total_loss: 0.0069, d_dis_loss: 1.4772, attack_loss: 0.0141, label_acc: 0.8832
[3099]: fg_loss: 0.1995, e_total_loss: 1.5502, e_dis_loss: 0.5796, d_total_loss: 0.0083, d_dis_loss: 1.4571, attack_loss: 0.0150, label_acc: 0.8841
[3199]: fg_loss: 0.1884, e_total_loss: 1.5679, e_dis_loss: 0.5595, d_total_loss: 0.0064, d_dis_loss: 1.4714, attack_loss: 0.0116, label_acc: 0.8710
[3299]: fg_loss: 0.1654, e_total_loss: 1.5254, e_dis_loss: 0.4459, d_total_loss: 0.0084, d_dis_loss: 1.4600, attack_loss: 0.0142, label_acc: 0.8998
[3399]: fg_loss: 0.1496, e_total_loss: 1.5334, e_dis_loss: 0.4929, d_total_loss: 0.0073, d_dis_loss: 1.4796, attack_loss: 0.0123, label_acc: 0.8877
[3499]: fg_loss: 0.1268, e_total_loss: 1.4844, e_dis_loss: 0.4955, d_total_loss: 0.0067, d_dis_loss: 1.4683, attack_loss: 0.0127, label_acc: 0.9232
[3599]: fg_loss: 0.1403, e_total_loss: 1.5257, e_dis_loss: 0.5049, d_total_loss: 0.0072, d_dis_loss: 1.4747, attack_loss: 0.0128, label_acc: 0.9188
[3699]: fg_loss: 0.1357, e_total_loss: 1.5143, e_dis_loss: 0.4445, d_total_loss: 0.0064, d_dis_loss: 1.4875, attack_loss: 0.0121, label_acc: 0.8988
[3799]: fg_loss: 0.1210, e_total_loss: 1.5227, e_dis_loss: 0.4269, d_total_loss: 0.0069, d_dis_loss: 1.4775, attack_loss: 0.0115, label_acc: 0.9202
[3899]: fg_loss: 0.1125, e_total_loss: 1.5093, e_dis_loss: 0.4383, d_total_loss: 0.0067, d_dis_loss: 1.4748, attack_loss: 0.0109, label_acc: 0.9330
[3999]: fg_loss: 0.1167, e_total_loss: 1.4995, e_dis_loss: 0.4502, d_total_loss: 0.0073, d_dis_loss: 1.4754, attack_loss: 0.0123, label_acc: 0.9283
[4099]: fg_loss: 0.1018, e_total_loss: 1.4895, e_dis_loss: 0.4915, d_total_loss: 0.0065, d_dis_loss: 1.4595, attack_loss: 0.0112, label_acc: 0.9333
[4199]: fg_loss: 0.1041, e_total_loss: 1.5033, e_dis_loss: 0.5092, d_total_loss: 0.0061, d_dis_loss: 1.4774, attack_loss: 0.0109, label_acc: 0.9329
[4299]: fg_loss: 0.0991, e_total_loss: 1.5221, e_dis_loss: 0.4197, d_total_loss: 0.0063, d_dis_loss: 1.4730, attack_loss: 0.0096, label_acc: 0.9318
[4399]: fg_loss: 0.0931, e_total_loss: 1.4801, e_dis_loss: 0.4142, d_total_loss: 0.0067, d_dis_loss: 1.4660, attack_loss: 0.0106, label_acc: 0.9348
[4499]: fg_loss: 0.1003, e_total_loss: 1.5252, e_dis_loss: 0.4729, d_total_loss: 0.0065, d_dis_loss: 1.4767, attack_loss: 0.0099, label_acc: 0.9396
[4599]: fg_loss: 0.0902, e_total_loss: 1.5036, e_dis_loss: 0.4223, d_total_loss: 0.0061, d_dis_loss: 1.4621, attack_loss: 0.0101, label_acc: 0.9422
[4699]: fg_loss: 0.0926, e_total_loss: 1.5187, e_dis_loss: 0.4282, d_total_loss: 0.0066, d_dis_loss: 1.4524, attack_loss: 0.0098, label_acc: 0.9435
[4799]: fg_loss: 0.1079, e_total_loss: 1.5263, e_dis_loss: 0.3936, d_total_loss: 0.0065, d_dis_loss: 1.4773, attack_loss: 0.0100, label_acc: 0.9142
[4899]: fg_loss: 0.0915, e_total_loss: 1.4912, e_dis_loss: 0.5076, d_total_loss: 0.0066, d_dis_loss: 1.4708, attack_loss: 0.0111, label_acc: 0.9418
[4999]: fg_loss: 0.0861, e_total_loss: 1.4999, e_dis_loss: 0.3771, d_total_loss: 0.0061, d_dis_loss: 1.4763, attack_loss: 0.0099, label_acc: 0.9393
[5099]: fg_loss: 0.0753, e_total_loss: 1.5032, e_dis_loss: 0.3776, d_total_loss: 0.0064, d_dis_loss: 1.4694, attack_loss: 0.0110, label_acc: 0.9475
[5199]: fg_loss: 0.0830, e_total_loss: 1.4989, e_dis_loss: 0.4594, d_total_loss: 0.0063, d_dis_loss: 1.4663, attack_loss: 0.0096, label_acc: 0.9475
[5299]: fg_loss: 0.0691, e_total_loss: 1.4852, e_dis_loss: 0.4212, d_total_loss: 0.0064, d_dis_loss: 1.4959, attack_loss: 0.0105, label_acc: 0.9641
[5399]: fg_loss: 0.0720, e_total_loss: 1.4666, e_dis_loss: 0.4006, d_total_loss: 0.0061, d_dis_loss: 1.4621, attack_loss: 0.0106, label_acc: 0.9609
[5499]: fg_loss: 0.0758, e_total_loss: 1.4667, e_dis_loss: 0.4828, d_total_loss: 0.0058, d_dis_loss: 1.4722, attack_loss: 0.0090, label_acc: 0.9552
[5599]: fg_loss: 0.0969, e_total_loss: 1.5247, e_dis_loss: 0.4608, d_total_loss: 0.0059, d_dis_loss: 1.4640, attack_loss: 0.0096, label_acc: 0.9391
