Start usl/plainnet experiments on tinyimagenet at l6 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.4, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[3299]: fg_loss: 3.4197, e_total_loss: 5.2637, e_dis_loss: 0.4372, d_total_loss: 0.0603, d_dis_loss: 1.5054, attack_loss: 0.0713, label_acc: 0.0994
[3399]: fg_loss: 3.4257, e_total_loss: 5.2424, e_dis_loss: 0.5108, d_total_loss: 0.0642, d_dis_loss: 1.5038, attack_loss: 0.0684, label_acc: 0.0974
[3499]: fg_loss: 3.3816, e_total_loss: 5.2030, e_dis_loss: 0.4275, d_total_loss: 0.0608, d_dis_loss: 1.5316, attack_loss: 0.0701, label_acc: 0.1028
[3599]: fg_loss: 3.3573, e_total_loss: 5.1892, e_dis_loss: 0.4174, d_total_loss: 0.0576, d_dis_loss: 1.5298, attack_loss: 0.0709, label_acc: 0.1073
[3699]: fg_loss: 3.3529, e_total_loss: 5.2142, e_dis_loss: 0.4660, d_total_loss: 0.0601, d_dis_loss: 1.5140, attack_loss: 0.0720, label_acc: 0.1137
[3799]: fg_loss: 3.3397, e_total_loss: 5.2025, e_dis_loss: 0.3827, d_total_loss: 0.0636, d_dis_loss: 1.5180, attack_loss: 0.0701, label_acc: 0.1073
[3899]: fg_loss: 3.2877, e_total_loss: 5.1898, e_dis_loss: 0.3549, d_total_loss: 0.0647, d_dis_loss: 1.5211, attack_loss: 0.0692, label_acc: 0.1131
[3999]: fg_loss: 3.2871, e_total_loss: 5.1702, e_dis_loss: 0.3758, d_total_loss: 0.0636, d_dis_loss: 1.5303, attack_loss: 0.0682, label_acc: 0.1205
[4099]: fg_loss: 3.2744, e_total_loss: 5.1916, e_dis_loss: 0.4071, d_total_loss: 0.0653, d_dis_loss: 1.5153, attack_loss: 0.0706, label_acc: 0.1208
[4199]: fg_loss: 3.2321, e_total_loss: 5.1771, e_dis_loss: 0.4068, d_total_loss: 0.0646, d_dis_loss: 1.5216, attack_loss: 0.0685, label_acc: 0.1314
[4299]: fg_loss: 3.2258, e_total_loss: 5.1961, e_dis_loss: 0.3589, d_total_loss: 0.0640, d_dis_loss: 1.5020, attack_loss: 0.0665, label_acc: 0.1281
[4399]: fg_loss: 3.2163, e_total_loss: 5.1637, e_dis_loss: 0.4549, d_total_loss: 0.0607, d_dis_loss: 1.5184, attack_loss: 0.0670, label_acc: 0.1308
[4499]: fg_loss: 3.1766, e_total_loss: 5.1817, e_dis_loss: 0.4391, d_total_loss: 0.0559, d_dis_loss: 1.5223, attack_loss: 0.0690, label_acc: 0.1365
[4599]: fg_loss: 3.1610, e_total_loss: 5.2267, e_dis_loss: 0.3092, d_total_loss: 0.0497, d_dis_loss: 1.5238, attack_loss: 0.0741, label_acc: 0.1313
[4699]: fg_loss: 3.1831, e_total_loss: 5.1642, e_dis_loss: 0.3465, d_total_loss: 0.0542, d_dis_loss: 1.5318, attack_loss: 0.0759, label_acc: 0.1351
[4799]: fg_loss: 3.1302, e_total_loss: 5.1338, e_dis_loss: 0.3564, d_total_loss: 0.0577, d_dis_loss: 1.5043, attack_loss: 0.0726, label_acc: 0.1416
[4899]: fg_loss: 3.1317, e_total_loss: 5.1614, e_dis_loss: 0.3616, d_total_loss: 0.0620, d_dis_loss: 1.5215, attack_loss: 0.0668, label_acc: 0.1460
[4999]: fg_loss: 3.0912, e_total_loss: 5.1356, e_dis_loss: 0.5660, d_total_loss: 0.0632, d_dis_loss: 1.5096, attack_loss: 0.0661, label_acc: 0.1445
[5099]: fg_loss: 3.1027, e_total_loss: 5.1209, e_dis_loss: 0.4075, d_total_loss: 0.0561, d_dis_loss: 1.5206, attack_loss: 0.0666, label_acc: 0.1548
[5199]: fg_loss: 3.0585, e_total_loss: 5.1274, e_dis_loss: 0.4117, d_total_loss: 0.0592, d_dis_loss: 1.5127, attack_loss: 0.0675, label_acc: 0.1604
[5299]: fg_loss: 3.0668, e_total_loss: 5.1644, e_dis_loss: 0.3234, d_total_loss: 0.0629, d_dis_loss: 1.5104, attack_loss: 0.0647, label_acc: 0.1536
[5399]: fg_loss: 3.0354, e_total_loss: 5.1182, e_dis_loss: 0.3309, d_total_loss: 0.0591, d_dis_loss: 1.5105, attack_loss: 0.0650, label_acc: 0.1670
[5499]: fg_loss: 3.0195, e_total_loss: 5.1340, e_dis_loss: 0.3150, d_total_loss: 0.0582, d_dis_loss: 1.5165, attack_loss: 0.0643, label_acc: 0.1649
[5599]: fg_loss: 3.0129, e_total_loss: 5.1073, e_dis_loss: 0.4905, d_total_loss: 0.0628, d_dis_loss: 1.5003, attack_loss: 0.0646, label_acc: 0.1645
[5699]: fg_loss: 2.9950, e_total_loss: 5.1383, e_dis_loss: 0.4478, d_total_loss: 0.0630, d_dis_loss: 1.4948, attack_loss: 0.0643, label_acc: 0.1622
[5799]: fg_loss: 2.9799, e_total_loss: 5.1161, e_dis_loss: 0.4519, d_total_loss: 0.0594, d_dis_loss: 1.5019, attack_loss: 0.0645, label_acc: 0.1673
[5899]: fg_loss: 2.9539, e_total_loss: 5.0870, e_dis_loss: 0.4286, d_total_loss: 0.0633, d_dis_loss: 1.5071, attack_loss: 0.0623, label_acc: 0.1753
[5999]: fg_loss: 2.9687, e_total_loss: 5.0534, e_dis_loss: 0.4133, d_total_loss: 0.0615, d_dis_loss: 1.5021, attack_loss: 0.0630, label_acc: 0.1824
[6099]: fg_loss: 2.9345, e_total_loss: 5.0559, e_dis_loss: 0.3927, d_total_loss: 0.0608, d_dis_loss: 1.4963, attack_loss: 0.0629, label_acc: 0.1816
[6199]: fg_loss: 2.9090, e_total_loss: 5.0591, e_dis_loss: 0.4443, d_total_loss: 0.0544, d_dis_loss: 1.4998, attack_loss: 0.0633, label_acc: 0.1860
[6299]: fg_loss: 2.8911, e_total_loss: 5.0133, e_dis_loss: 0.4818, d_total_loss: 0.0584, d_dis_loss: 1.5134, attack_loss: 0.0631, label_acc: 0.1956
[6399]: fg_loss: 2.9202, e_total_loss: 5.0313, e_dis_loss: 0.4558, d_total_loss: 0.0633, d_dis_loss: 1.4894, attack_loss: 0.0639, label_acc: 0.1979
[6499]: fg_loss: 2.8730, e_total_loss: 5.0301, e_dis_loss: 0.4287, d_total_loss: 0.0603, d_dis_loss: 1.4954, attack_loss: 0.0639, label_acc: 0.1980
[6599]: fg_loss: 2.8578, e_total_loss: 4.9836, e_dis_loss: 0.4674, d_total_loss: 0.0595, d_dis_loss: 1.4899, attack_loss: 0.0630, label_acc: 0.2011
[6699]: fg_loss: 2.8411, e_total_loss: 4.9712, e_dis_loss: 0.4326, d_total_loss: 0.0535, d_dis_loss: 1.4854, attack_loss: 0.0631, label_acc: 0.2066
[6799]: fg_loss: 2.8411, e_total_loss: 5.0060, e_dis_loss: 0.5098, d_total_loss: 0.0573, d_dis_loss: 1.4880, attack_loss: 0.0614, label_acc: 0.2087
[6899]: fg_loss: 2.8296, e_total_loss: 4.9872, e_dis_loss: 0.5322, d_total_loss: 0.0607, d_dis_loss: 1.4785, attack_loss: 0.0609, label_acc: 0.2141
[6999]: fg_loss: 2.8222, e_total_loss: 5.0204, e_dis_loss: 0.4853, d_total_loss: 0.0539, d_dis_loss: 1.4862, attack_loss: 0.0603, label_acc: 0.2167
[7099]: fg_loss: 2.7881, e_total_loss: 4.9888, e_dis_loss: 0.5092, d_total_loss: 0.0567, d_dis_loss: 1.4860, attack_loss: 0.0620, label_acc: 0.2155
[7199]: fg_loss: 2.7730, e_total_loss: 4.9793, e_dis_loss: 0.5748, d_total_loss: 0.0560, d_dis_loss: 1.4939, attack_loss: 0.0607, label_acc: 0.2224
[7299]: fg_loss: 2.7872, e_total_loss: 4.9851, e_dis_loss: 0.6259, d_total_loss: 0.0596, d_dis_loss: 1.4834, attack_loss: 0.0604, label_acc: 0.2184
[7399]: fg_loss: 2.7677, e_total_loss: 4.9509, e_dis_loss: 0.5225, d_total_loss: 0.0566, d_dis_loss: 1.4873, attack_loss: 0.0605, label_acc: 0.2295
[7499]: fg_loss: 2.7509, e_total_loss: 4.9248, e_dis_loss: 0.4488, d_total_loss: 0.0544, d_dis_loss: 1.4928, attack_loss: 0.0610, label_acc: 0.2280
[7599]: fg_loss: 2.7173, e_total_loss: 4.9563, e_dis_loss: 0.4711, d_total_loss: 0.0551, d_dis_loss: 1.4936, attack_loss: 0.0601, label_acc: 0.2308
