Start usl/plainnet experiments on tinyimagenet at l5 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.4, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 5.2450, e_total_loss: 5.3583, e_dis_loss: 1.4563, d_total_loss: 0.0661, d_dis_loss: 1.5134, attack_loss: 0.0892, label_acc: 0.0065
[199]: fg_loss: 5.0341, e_total_loss: 5.3720, e_dis_loss: 1.0405, d_total_loss: 0.0690, d_dis_loss: 1.5736, attack_loss: 0.0890, label_acc: 0.0064
[299]: fg_loss: 4.8733, e_total_loss: 5.3842, e_dis_loss: 0.6210, d_total_loss: 0.0720, d_dis_loss: 1.6367, attack_loss: 0.0793, label_acc: 0.0095
[399]: fg_loss: 4.7648, e_total_loss: 5.3572, e_dis_loss: 0.6267, d_total_loss: 0.0523, d_dis_loss: 1.5616, attack_loss: 0.0763, label_acc: 0.0144
[499]: fg_loss: 4.6449, e_total_loss: 5.3665, e_dis_loss: 0.3356, d_total_loss: 0.0598, d_dis_loss: 1.5946, attack_loss: 0.0742, label_acc: 0.0209
[599]: fg_loss: 4.5439, e_total_loss: 5.3914, e_dis_loss: 0.3717, d_total_loss: 0.0545, d_dis_loss: 1.5951, attack_loss: 0.0765, label_acc: 0.0262
[699]: fg_loss: 4.4305, e_total_loss: 5.3679, e_dis_loss: 0.2866, d_total_loss: 0.0561, d_dis_loss: 1.5907, attack_loss: 0.0777, label_acc: 0.0316
[799]: fg_loss: 4.3694, e_total_loss: 5.3698, e_dis_loss: 0.2364, d_total_loss: 0.0553, d_dis_loss: 1.6090, attack_loss: 0.0756, label_acc: 0.0329
[899]: fg_loss: 4.3157, e_total_loss: 5.3834, e_dis_loss: 0.2496, d_total_loss: 0.0586, d_dis_loss: 1.6432, attack_loss: 0.0737, label_acc: 0.0366
[999]: fg_loss: 4.2550, e_total_loss: 5.3628, e_dis_loss: 0.3372, d_total_loss: 0.0655, d_dis_loss: 1.6626, attack_loss: 0.0727, label_acc: 0.0430
[1099]: fg_loss: 4.1882, e_total_loss: 5.3355, e_dis_loss: 0.3081, d_total_loss: 0.0632, d_dis_loss: 1.6528, attack_loss: 0.0722, label_acc: 0.0452
[1199]: fg_loss: 4.1707, e_total_loss: 5.3395, e_dis_loss: 0.2693, d_total_loss: 0.0613, d_dis_loss: 1.6088, attack_loss: 0.0731, label_acc: 0.0505
[1299]: fg_loss: 4.1099, e_total_loss: 5.3176, e_dis_loss: 0.2545, d_total_loss: 0.0632, d_dis_loss: 1.6086, attack_loss: 0.0700, label_acc: 0.0523
[1399]: fg_loss: 4.0568, e_total_loss: 5.2921, e_dis_loss: 0.3015, d_total_loss: 0.0613, d_dis_loss: 1.6150, attack_loss: 0.0737, label_acc: 0.0616
[1499]: fg_loss: 4.0141, e_total_loss: 5.3211, e_dis_loss: 0.2399, d_total_loss: 0.0502, d_dis_loss: 1.6003, attack_loss: 0.0752, label_acc: 0.0641
[1599]: fg_loss: 3.9673, e_total_loss: 5.3230, e_dis_loss: 0.2012, d_total_loss: 0.0608, d_dis_loss: 1.6100, attack_loss: 0.0726, label_acc: 0.0659
[1699]: fg_loss: 3.9484, e_total_loss: 5.3239, e_dis_loss: 0.2589, d_total_loss: 0.0652, d_dis_loss: 1.6252, attack_loss: 0.0690, label_acc: 0.0660
[1799]: fg_loss: 3.9057, e_total_loss: 5.3860, e_dis_loss: 0.2669, d_total_loss: 0.0656, d_dis_loss: 1.5773, attack_loss: 0.0691, label_acc: 0.0686
[1899]: fg_loss: 3.8588, e_total_loss: 5.3331, e_dis_loss: 0.2898, d_total_loss: 0.0546, d_dis_loss: 1.5893, attack_loss: 0.0712, label_acc: 0.0737
[1999]: fg_loss: 3.7991, e_total_loss: 5.2951, e_dis_loss: 0.1838, d_total_loss: 0.0607, d_dis_loss: 1.5448, attack_loss: 0.0807, label_acc: 0.0740
[2099]: fg_loss: 3.8110, e_total_loss: 5.2709, e_dis_loss: 0.4617, d_total_loss: 0.0530, d_dis_loss: 1.5514, attack_loss: 0.0747, label_acc: 0.0768
[2199]: fg_loss: 3.7439, e_total_loss: 5.3120, e_dis_loss: 0.4368, d_total_loss: 0.0628, d_dis_loss: 1.5884, attack_loss: 0.0725, label_acc: 0.0778
[2299]: fg_loss: 3.7064, e_total_loss: 5.2734, e_dis_loss: 0.2613, d_total_loss: 0.0533, d_dis_loss: 1.5628, attack_loss: 0.0741, label_acc: 0.0881
[2399]: fg_loss: 3.6686, e_total_loss: 5.2316, e_dis_loss: 0.2631, d_total_loss: 0.0503, d_dis_loss: 1.5605, attack_loss: 0.0761, label_acc: 0.0926
[2499]: fg_loss: 3.6549, e_total_loss: 5.2573, e_dis_loss: 0.3731, d_total_loss: 0.0627, d_dis_loss: 1.5907, attack_loss: 0.0713, label_acc: 0.0886
[2599]: fg_loss: 3.6219, e_total_loss: 5.3051, e_dis_loss: 0.3715, d_total_loss: 0.0567, d_dis_loss: 1.5659, attack_loss: 0.0754, label_acc: 0.0900
[2699]: fg_loss: 3.5723, e_total_loss: 5.2805, e_dis_loss: 0.2983, d_total_loss: 0.0597, d_dis_loss: 1.5966, attack_loss: 0.0698, label_acc: 0.0980
[2799]: fg_loss: 3.5525, e_total_loss: 5.2121, e_dis_loss: 0.2514, d_total_loss: 0.0611, d_dis_loss: 1.5849, attack_loss: 0.0684, label_acc: 0.0965
[2899]: fg_loss: 3.5246, e_total_loss: 5.2271, e_dis_loss: 0.2979, d_total_loss: 0.0645, d_dis_loss: 1.5821, attack_loss: 0.0672, label_acc: 0.1002
[2999]: fg_loss: 3.5145, e_total_loss: 5.1925, e_dis_loss: 0.3485, d_total_loss: 0.0649, d_dis_loss: 1.5741, attack_loss: 0.0661, label_acc: 0.1058
[3099]: fg_loss: 3.4729, e_total_loss: 5.1908, e_dis_loss: 0.2599, d_total_loss: 0.0592, d_dis_loss: 1.5708, attack_loss: 0.0676, label_acc: 0.1137
[3199]: fg_loss: 3.4349, e_total_loss: 5.1631, e_dis_loss: 0.2760, d_total_loss: 0.0599, d_dis_loss: 1.5429, attack_loss: 0.0668, label_acc: 0.1168
[3299]: fg_loss: 3.3934, e_total_loss: 5.2077, e_dis_loss: 0.3053, d_total_loss: 0.0596, d_dis_loss: 1.5425, attack_loss: 0.0645, label_acc: 0.1243
[3399]: fg_loss: 3.4204, e_total_loss: 5.2041, e_dis_loss: 0.3056, d_total_loss: 0.0608, d_dis_loss: 1.5401, attack_loss: 0.0693, label_acc: 0.1232
[3499]: fg_loss: 3.3585, e_total_loss: 5.1876, e_dis_loss: 0.3047, d_total_loss: 0.0621, d_dis_loss: 1.5521, attack_loss: 0.0682, label_acc: 0.1218
[3599]: fg_loss: 3.3353, e_total_loss: 5.1536, e_dis_loss: 0.3033, d_total_loss: 0.0620, d_dis_loss: 1.5715, attack_loss: 0.0657, label_acc: 0.1306
