Start experiments on tinyimagenet at level=5 with {'e_lr': 0.001, 'e_dis_lr': 4e-05, 'lambda1': 0.04, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[99]: fg_loss: 5.2284, e_total_loss: 5.3914, e_dis_loss: 1.1144, d_total_loss: 0.0458, d_dis_loss: 1.4446, attack_loss: 0.0965, label_acc: 0.0066
[199]: fg_loss: 4.9503, e_total_loss: 5.3909, e_dis_loss: 1.0974, d_total_loss: 0.0350, d_dis_loss: 1.4249, attack_loss: 0.0947, label_acc: 0.0066
[299]: fg_loss: 4.6792, e_total_loss: 5.3674, e_dis_loss: 0.8481, d_total_loss: 0.0351, d_dis_loss: 1.4187, attack_loss: 0.1109, label_acc: 0.0104
[399]: fg_loss: 4.5280, e_total_loss: 5.2796, e_dis_loss: 0.8218, d_total_loss: 0.0362, d_dis_loss: 1.4272, attack_loss: 0.1217, label_acc: 0.0137
[499]: fg_loss: 4.3748, e_total_loss: 5.2155, e_dis_loss: 0.6555, d_total_loss: 0.0385, d_dis_loss: 1.4228, attack_loss: 0.1016, label_acc: 0.0184
[599]: fg_loss: 4.2732, e_total_loss: 5.1777, e_dis_loss: 0.5943, d_total_loss: 0.0389, d_dis_loss: 1.4224, attack_loss: 0.0949, label_acc: 0.0253
[699]: fg_loss: 4.1801, e_total_loss: 5.1645, e_dis_loss: 0.4570, d_total_loss: 0.0507, d_dis_loss: 1.4129, attack_loss: 0.0754, label_acc: 0.0292
[799]: fg_loss: 4.1372, e_total_loss: 5.0780, e_dis_loss: 0.5056, d_total_loss: 0.0413, d_dis_loss: 1.4331, attack_loss: 0.0881, label_acc: 0.0338
[899]: fg_loss: 4.0468, e_total_loss: 5.0482, e_dis_loss: 0.4810, d_total_loss: 0.0466, d_dis_loss: 1.4315, attack_loss: 0.0741, label_acc: 0.0406
[999]: fg_loss: 3.9916, e_total_loss: 5.0293, e_dis_loss: 0.3787, d_total_loss: 0.0493, d_dis_loss: 1.4418, attack_loss: 0.0672, label_acc: 0.0475
[1099]: fg_loss: 3.9272, e_total_loss: 5.0249, e_dis_loss: 0.3853, d_total_loss: 0.0434, d_dis_loss: 1.4447, attack_loss: 0.0659, label_acc: 0.0502
[1199]: fg_loss: 3.8912, e_total_loss: 5.0607, e_dis_loss: 0.4409, d_total_loss: 0.0412, d_dis_loss: 1.4486, attack_loss: 0.0726, label_acc: 0.0523
[1299]: fg_loss: 3.8311, e_total_loss: 5.0278, e_dis_loss: 0.3383, d_total_loss: 0.0395, d_dis_loss: 1.4286, attack_loss: 0.0570, label_acc: 0.0537
[1399]: fg_loss: 3.7817, e_total_loss: 4.9491, e_dis_loss: 0.2996, d_total_loss: 0.0437, d_dis_loss: 1.4257, attack_loss: 0.0567, label_acc: 0.0601
[1499]: fg_loss: 3.7268, e_total_loss: 4.9558, e_dis_loss: 0.4030, d_total_loss: 0.0431, d_dis_loss: 1.4278, attack_loss: 0.0599, label_acc: 0.0622
[1599]: fg_loss: 3.6819, e_total_loss: 4.9962, e_dis_loss: 0.4203, d_total_loss: 0.0481, d_dis_loss: 1.4109, attack_loss: 0.0680, label_acc: 0.0708
[1699]: fg_loss: 3.6714, e_total_loss: 4.9608, e_dis_loss: 0.3308, d_total_loss: 0.0451, d_dis_loss: 1.3885, attack_loss: 0.0604, label_acc: 0.0707
[1799]: fg_loss: 3.6037, e_total_loss: 4.9117, e_dis_loss: 0.3913, d_total_loss: 0.0437, d_dis_loss: 1.4070, attack_loss: 0.0553, label_acc: 0.0831
[1899]: fg_loss: 3.5665, e_total_loss: 4.8770, e_dis_loss: 0.4483, d_total_loss: 0.0391, d_dis_loss: 1.4152, attack_loss: 0.0522, label_acc: 0.0866
[1999]: fg_loss: 3.5025, e_total_loss: 4.8283, e_dis_loss: 0.4883, d_total_loss: 0.0360, d_dis_loss: 1.4228, attack_loss: 0.0456, label_acc: 0.1073
[2099]: fg_loss: 3.5281, e_total_loss: 4.8048, e_dis_loss: 0.5116, d_total_loss: 0.0373, d_dis_loss: 1.4199, attack_loss: 0.0471, label_acc: 0.1087
[2199]: fg_loss: 3.4583, e_total_loss: 4.8245, e_dis_loss: 0.4857, d_total_loss: 0.0430, d_dis_loss: 1.4191, attack_loss: 0.0469, label_acc: 0.1181
[2299]: fg_loss: 3.4343, e_total_loss: 4.7736, e_dis_loss: 0.4383, d_total_loss: 0.0345, d_dis_loss: 1.4215, attack_loss: 0.0456, label_acc: 0.1324
[2399]: fg_loss: 3.3889, e_total_loss: 4.7180, e_dis_loss: 0.4866, d_total_loss: 0.0353, d_dis_loss: 1.4316, attack_loss: 0.0447, label_acc: 0.1357
[2499]: fg_loss: 3.3752, e_total_loss: 4.7228, e_dis_loss: 0.5382, d_total_loss: 0.0283, d_dis_loss: 1.4377, attack_loss: 0.0418, label_acc: 0.1446
[2599]: fg_loss: 3.3477, e_total_loss: 4.6759, e_dis_loss: 0.4714, d_total_loss: 0.0304, d_dis_loss: 1.4489, attack_loss: 0.0404, label_acc: 0.1509
[2699]: fg_loss: 3.3078, e_total_loss: 4.5917, e_dis_loss: 0.4385, d_total_loss: 0.0266, d_dis_loss: 1.4546, attack_loss: 0.0401, label_acc: 0.1659
[2799]: fg_loss: 3.2861, e_total_loss: 4.6085, e_dis_loss: 0.5299, d_total_loss: 0.0272, d_dis_loss: 1.4480, attack_loss: 0.0393, label_acc: 0.1727
[2899]: fg_loss: 3.2564, e_total_loss: 4.5782, e_dis_loss: 0.4692, d_total_loss: 0.0260, d_dis_loss: 1.4521, attack_loss: 0.0387, label_acc: 0.1810
[2999]: fg_loss: 3.2419, e_total_loss: 4.5559, e_dis_loss: 0.4089, d_total_loss: 0.0270, d_dis_loss: 1.4516, attack_loss: 0.0404, label_acc: 0.1866
[3099]: fg_loss: 3.2083, e_total_loss: 4.5784, e_dis_loss: 0.4564, d_total_loss: 0.0280, d_dis_loss: 1.4570, attack_loss: 0.0395, label_acc: 0.1811
[3199]: fg_loss: 3.1886, e_total_loss: 4.4949, e_dis_loss: 0.4524, d_total_loss: 0.0264, d_dis_loss: 1.4506, attack_loss: 0.0391, label_acc: 0.1996
[3299]: fg_loss: 3.1344, e_total_loss: 4.5323, e_dis_loss: 0.4563, d_total_loss: 0.0225, d_dis_loss: 1.4435, attack_loss: 0.0375, label_acc: 0.2006
