Start experiments on tinyimagenet at level=3 with {'e_lr': 0.001, 'e_dis_lr': 4e-05, 'lambda1': 0.04, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.2}
Start running.
[3299]: fg_loss: 3.1495, e_total_loss: 4.5849, e_dis_loss: 0.1993, d_total_loss: 0.0187, d_dis_loss: 1.4757, attack_loss: 0.0379, label_acc: 0.2002
[3399]: fg_loss: 3.1665, e_total_loss: 4.6324, e_dis_loss: 0.1775, d_total_loss: 0.0183, d_dis_loss: 1.4881, attack_loss: 0.0372, label_acc: 0.1991
[3499]: fg_loss: 3.0948, e_total_loss: 4.5364, e_dis_loss: 0.1738, d_total_loss: 0.0185, d_dis_loss: 1.4726, attack_loss: 0.0329, label_acc: 0.2103
[3599]: fg_loss: 3.0930, e_total_loss: 4.5393, e_dis_loss: 0.1378, d_total_loss: 0.0152, d_dis_loss: 1.4914, attack_loss: 0.0329, label_acc: 0.2113
[3699]: fg_loss: 3.0775, e_total_loss: 4.5117, e_dis_loss: 0.2395, d_total_loss: 0.0170, d_dis_loss: 1.4706, attack_loss: 0.0344, label_acc: 0.2126
[3799]: fg_loss: 3.0656, e_total_loss: 4.5437, e_dis_loss: 0.1961, d_total_loss: 0.0169, d_dis_loss: 1.4842, attack_loss: 0.0296, label_acc: 0.2172
[3899]: fg_loss: 3.0253, e_total_loss: 4.5597, e_dis_loss: 0.2211, d_total_loss: 0.0140, d_dis_loss: 1.4850, attack_loss: 0.0294, label_acc: 0.2191
[3999]: fg_loss: 3.0213, e_total_loss: 4.5590, e_dis_loss: 0.1267, d_total_loss: 0.0147, d_dis_loss: 1.4837, attack_loss: 0.0334, label_acc: 0.2191
[4099]: fg_loss: 3.0102, e_total_loss: 4.4747, e_dis_loss: 0.2639, d_total_loss: 0.0160, d_dis_loss: 1.4788, attack_loss: 0.0302, label_acc: 0.2231
[4199]: fg_loss: 2.9658, e_total_loss: 4.5137, e_dis_loss: 0.2061, d_total_loss: 0.0134, d_dis_loss: 1.4855, attack_loss: 0.0288, label_acc: 0.2374
[4299]: fg_loss: 2.9489, e_total_loss: 4.5137, e_dis_loss: 0.2391, d_total_loss: 0.0130, d_dis_loss: 1.4771, attack_loss: 0.0303, label_acc: 0.2345
[4399]: fg_loss: 2.9494, e_total_loss: 4.4379, e_dis_loss: 0.2286, d_total_loss: 0.0151, d_dis_loss: 1.4914, attack_loss: 0.0289, label_acc: 0.2375
[4499]: fg_loss: 2.9185, e_total_loss: 4.4428, e_dis_loss: 0.2006, d_total_loss: 0.0148, d_dis_loss: 1.4805, attack_loss: 0.0307, label_acc: 0.2410
[4599]: fg_loss: 2.8916, e_total_loss: 4.4480, e_dis_loss: 0.2208, d_total_loss: 0.0128, d_dis_loss: 1.4724, attack_loss: 0.0284, label_acc: 0.2444
