Start vsl/resnet experiments on cifar10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8147, e_total_loss: 1.9366, e_dis_loss: 0.3373, d_total_loss: 0.0379, d_dis_loss: 1.5008, attack_loss: 0.0625
[199]: fg_loss: 1.4284, e_total_loss: 1.5946, e_dis_loss: 0.2753, d_total_loss: 0.0275, d_dis_loss: 1.4479, attack_loss: 0.0618
[299]: fg_loss: 1.2530, e_total_loss: 1.4221, e_dis_loss: 0.3960, d_total_loss: 0.0295, d_dis_loss: 1.4722, attack_loss: 0.0549
[399]: fg_loss: 1.1150, e_total_loss: 1.3169, e_dis_loss: 0.5333, d_total_loss: 0.0291, d_dis_loss: 1.4668, attack_loss: 0.0529
[499]: fg_loss: 1.0411, e_total_loss: 1.2225, e_dis_loss: 0.5789, d_total_loss: 0.0282, d_dis_loss: 1.5136, attack_loss: 0.0507
[599]: fg_loss: 0.9525, e_total_loss: 1.1452, e_dis_loss: 0.5684, d_total_loss: 0.0273, d_dis_loss: 1.4582, attack_loss: 0.0464
[699]: fg_loss: 0.8956, e_total_loss: 1.0961, e_dis_loss: 0.6283, d_total_loss: 0.0260, d_dis_loss: 1.4678, attack_loss: 0.0476
[799]: fg_loss: 0.8274, e_total_loss: 1.0631, e_dis_loss: 0.5437, d_total_loss: 0.0250, d_dis_loss: 1.4936, attack_loss: 0.0474
[899]: fg_loss: 0.7881, e_total_loss: 1.0191, e_dis_loss: 0.5484, d_total_loss: 0.0248, d_dis_loss: 1.4930, attack_loss: 0.0453
[999]: fg_loss: 0.7502, e_total_loss: 0.9718, e_dis_loss: 0.5984, d_total_loss: 0.0244, d_dis_loss: 1.4754, attack_loss: 0.0430
[1099]: fg_loss: 0.6811, e_total_loss: 0.9407, e_dis_loss: 0.6400, d_total_loss: 0.0235, d_dis_loss: 1.4625, attack_loss: 0.0455
[1199]: fg_loss: 0.6589, e_total_loss: 0.9300, e_dis_loss: 0.5666, d_total_loss: 0.0233, d_dis_loss: 1.4555, attack_loss: 0.0431
[1299]: fg_loss: 0.6179, e_total_loss: 0.8913, e_dis_loss: 0.5942, d_total_loss: 0.0222, d_dis_loss: 1.4770, attack_loss: 0.0423
[1399]: fg_loss: 0.6012, e_total_loss: 0.8822, e_dis_loss: 0.5440, d_total_loss: 0.0225, d_dis_loss: 1.4915, attack_loss: 0.0451
[1499]: fg_loss: 0.5558, e_total_loss: 0.8676, e_dis_loss: 0.4787, d_total_loss: 0.0218, d_dis_loss: 1.4813, attack_loss: 0.0409
[1599]: fg_loss: 0.5173, e_total_loss: 0.8201, e_dis_loss: 0.4678, d_total_loss: 0.0222, d_dis_loss: 1.4941, attack_loss: 0.0408
[1699]: fg_loss: 0.4962, e_total_loss: 0.8106, e_dis_loss: 0.5021, d_total_loss: 0.0218, d_dis_loss: 1.4767, attack_loss: 0.0408
[1799]: fg_loss: 0.4596, e_total_loss: 0.8183, e_dis_loss: 0.5106, d_total_loss: 0.0214, d_dis_loss: 1.4861, attack_loss: 0.0388
