Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[3799]: fg_loss: 0.1274, e_total_loss: 0.6169, e_dis_loss: 0.1622, d_total_loss: 0.0217, d_dis_loss: 0.0000, attack_loss: 0.0407
[3899]: fg_loss: 0.1182, e_total_loss: 0.6086, e_dis_loss: 0.1439, d_total_loss: 0.0213, d_dis_loss: 0.0000, attack_loss: 0.0373
[3999]: fg_loss: 0.1183, e_total_loss: 0.5551, e_dis_loss: 0.1477, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0409
[4099]: fg_loss: 0.1132, e_total_loss: 0.5466, e_dis_loss: 0.1507, d_total_loss: 0.0211, d_dis_loss: 0.0000, attack_loss: 0.0378
[4199]: fg_loss: 0.0998, e_total_loss: 0.5287, e_dis_loss: 0.1428, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0372
[4299]: fg_loss: 0.0874, e_total_loss: 0.4835, e_dis_loss: 0.1538, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0370
[4399]: fg_loss: 0.0752, e_total_loss: 0.4909, e_dis_loss: 0.1446, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0398
[4499]: fg_loss: 0.0894, e_total_loss: 0.4960, e_dis_loss: 0.1184, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0385
[4599]: fg_loss: 0.0880, e_total_loss: 0.4909, e_dis_loss: 0.1400, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0398
[4699]: fg_loss: 0.1051, e_total_loss: 0.4651, e_dis_loss: 0.1305, d_total_loss: 0.0205, d_dis_loss: 0.0000, attack_loss: 0.0363
[4799]: fg_loss: 0.1031, e_total_loss: 0.5119, e_dis_loss: 0.1549, d_total_loss: 0.0207, d_dis_loss: 0.0000, attack_loss: 0.0356
[4899]: fg_loss: 0.0802, e_total_loss: 0.4615, e_dis_loss: 0.1466, d_total_loss: 0.0203, d_dis_loss: 0.0000, attack_loss: 0.0381
[4999]: fg_loss: 0.0974, e_total_loss: 0.5165, e_dis_loss: 0.1423, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0362
[5099]: fg_loss: 0.0840, e_total_loss: 0.4684, e_dis_loss: 0.1358, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0363
[5199]: fg_loss: 0.0818, e_total_loss: 0.4475, e_dis_loss: 0.1269, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0349
[5299]: fg_loss: 0.0880, e_total_loss: 0.4325, e_dis_loss: 0.1535, d_total_loss: 0.0206, d_dis_loss: 0.0000, attack_loss: 0.0336
[5399]: fg_loss: 0.0950, e_total_loss: 0.4524, e_dis_loss: 0.1394, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0355
[5499]: fg_loss: 0.0770, e_total_loss: 0.4143, e_dis_loss: 0.1325, d_total_loss: 0.0213, d_dis_loss: 0.0000, attack_loss: 0.0341
[5599]: fg_loss: 0.0815, e_total_loss: 0.4052, e_dis_loss: 0.1393, d_total_loss: 0.0209, d_dis_loss: 0.0000, attack_loss: 0.0335
