Start vsl/resnet experiments on stl10 at l5 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 1.8261, e_total_loss: 2.0730, e_dis_loss: 0.7460, d_total_loss: 0.0482, d_dis_loss: 1.5045, attack_loss: 0.0652
[199]: fg_loss: 1.6176, e_total_loss: 1.8343, e_dis_loss: 0.3410, d_total_loss: 0.0366, d_dis_loss: 1.5171, attack_loss: 0.0514
[299]: fg_loss: 1.5075, e_total_loss: 1.7723, e_dis_loss: 0.3571, d_total_loss: 0.0410, d_dis_loss: 1.4997, attack_loss: 0.0458
[399]: fg_loss: 1.4362, e_total_loss: 1.7517, e_dis_loss: 0.2513, d_total_loss: 0.0411, d_dis_loss: 1.5055, attack_loss: 0.0488
[499]: fg_loss: 1.3615, e_total_loss: 1.7790, e_dis_loss: 0.1885, d_total_loss: 0.0402, d_dis_loss: 1.5075, attack_loss: 0.0459
[599]: fg_loss: 1.3186, e_total_loss: 1.6815, e_dis_loss: 0.1551, d_total_loss: 0.0364, d_dis_loss: 1.5239, attack_loss: 0.0474
[699]: fg_loss: 1.2226, e_total_loss: 1.6065, e_dis_loss: 0.1120, d_total_loss: 0.0374, d_dis_loss: 1.4940, attack_loss: 0.0442
[799]: fg_loss: 1.2158, e_total_loss: 1.5982, e_dis_loss: 0.1366, d_total_loss: 0.0401, d_dis_loss: 1.4810, attack_loss: 0.0414
[899]: fg_loss: 1.1359, e_total_loss: 1.5390, e_dis_loss: 0.1273, d_total_loss: 0.0358, d_dis_loss: 1.4788, attack_loss: 0.0432
[999]: fg_loss: 1.1198, e_total_loss: 1.4545, e_dis_loss: 0.1409, d_total_loss: 0.0371, d_dis_loss: 1.4964, attack_loss: 0.0472
[1099]: fg_loss: 1.0607, e_total_loss: 1.4861, e_dis_loss: 0.1098, d_total_loss: 0.0374, d_dis_loss: 1.5107, attack_loss: 0.0429
[1199]: fg_loss: 1.0942, e_total_loss: 1.4561, e_dis_loss: 0.1113, d_total_loss: 0.0393, d_dis_loss: 1.4689, attack_loss: 0.0392
[1299]: fg_loss: 1.0131, e_total_loss: 1.4386, e_dis_loss: 0.1454, d_total_loss: 0.0378, d_dis_loss: 1.4993, attack_loss: 0.0365
