Start vsl/resnet experiments on cifar100 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.02, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
Start running.
[99]: fg_loss: 4.4576, e_total_loss: 4.5193, e_dis_loss: 1.0033, d_total_loss: 0.0654, d_dis_loss: 1.5093, attack_loss: 0.0752
[199]: fg_loss: 4.0962, e_total_loss: 4.1686, e_dis_loss: 0.8479, d_total_loss: 0.0364, d_dis_loss: 1.4914, attack_loss: 0.0491
[299]: fg_loss: 3.9028, e_total_loss: 3.9661, e_dis_loss: 0.8348, d_total_loss: 0.0343, d_dis_loss: 1.4925, attack_loss: 0.0413
[399]: fg_loss: 3.7664, e_total_loss: 3.8586, e_dis_loss: 0.8796, d_total_loss: 0.0309, d_dis_loss: 1.5036, attack_loss: 0.0379
[499]: fg_loss: 3.6729, e_total_loss: 3.7647, e_dis_loss: 0.8846, d_total_loss: 0.0292, d_dis_loss: 1.5288, attack_loss: 0.0374
[599]: fg_loss: 3.5947, e_total_loss: 3.7000, e_dis_loss: 0.8936, d_total_loss: 0.0283, d_dis_loss: 1.5316, attack_loss: 0.0365
[699]: fg_loss: 3.5129, e_total_loss: 3.6464, e_dis_loss: 0.8524, d_total_loss: 0.0276, d_dis_loss: 1.5533, attack_loss: 0.0384
[799]: fg_loss: 3.4415, e_total_loss: 3.5770, e_dis_loss: 0.9182, d_total_loss: 0.0281, d_dis_loss: 1.5499, attack_loss: 0.0371
[899]: fg_loss: 3.3658, e_total_loss: 3.5183, e_dis_loss: 0.8561, d_total_loss: 0.0265, d_dis_loss: 1.5707, attack_loss: 0.0375
[999]: fg_loss: 3.2814, e_total_loss: 3.4436, e_dis_loss: 0.8769, d_total_loss: 0.0266, d_dis_loss: 1.5440, attack_loss: 0.0359
[1099]: fg_loss: 3.2315, e_total_loss: 3.3992, e_dis_loss: 0.8600, d_total_loss: 0.0259, d_dis_loss: 1.5517, attack_loss: 0.0337
[1199]: fg_loss: 3.1361, e_total_loss: 3.3335, e_dis_loss: 0.7735, d_total_loss: 0.0249, d_dis_loss: 1.5432, attack_loss: 0.0335
